Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9
2016-11-30 13:50:12, 19.73,    12,    11,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:50:13, 19.59,    13,    13,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:14, 19.64,    18,    14,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:50:15, 19.57,    19,    16,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:50:16, 19.90,    11,    10,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:50:17, 20.36,     0,     0,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:18, 20.57,    -2,     4,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:19, 20.23,    -1,     3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:20, 20.04,     5,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:50:21, 19.81,     8,     7,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:50:22, 19.68,     9,     9,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:23, 19.61,    11,     9,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:24, 19.45,     1,    12,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:50:25, 20.01,    -5,     3,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:26, 20.39,   -18,    -5,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:27, 20.39,     0,    -2,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:50:28, 20.17,     2,    -1,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:50:29, 19.99,     5,     9,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:30, 19.89,    10,    13,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:31, 19.79,     9,    14,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:50:32, 19.70,    14,    17,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:50:33, 19.56,    16,    18,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:50:34, 19.64,    12,    13,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
