Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9,load,displacement
2016/11/30 14:28,22.33,0,5,0,0,0,0,0,0,0,0,0,0,0
2016/11/30 14:28,22.28,1,5,0,0,0,0.008,0,0,0,0,0,0.05,-0.008
2016/11/30 14:28,22.27,1,6,0,0,0,0.054,0,0,0,0,0,0.06,-0.054
2016/11/30 14:28,22.22,1,6,0,0,0,0,0,0,0,0,0,0.11,0
2016/11/30 14:28,22.25,2,6,0,0,0,0.004,0,0,0,0,0,0.08,-0.004
2016/11/30 14:28,22.21,4,7,0,0,0,0.039,0,0,0,0,0,0.12,-0.039
2016/11/30 14:28,22.17,0,7,0,0,0,0.023,0,0,0,0,0,0.16,-0.023
2016/11/30 14:28,22.17,0,5,0,0,0,0.004,0,0,0,0,0,0.16,-0.004
2016/11/30 14:28,22.13,1,5,0,0,0,0.008,0,0,0,0,0,0.2,-0.008
2016/11/30 14:28,22.13,1,5,0,0,0,0.035,0,0,0,0,0,0.2,-0.035
2016/11/30 14:28,22.13,2,5,0,0,0,-0.004,0,0,0,0,0,0.2,0.004
2016/11/30 14:28,22.08,1,5,0,0,0,0.008,0,0,0,0,0,0.25,-0.008
2016/11/30 14:28,22.1,2,5,0,0,0,0.012,0,0,0,0,0,0.23,-0.012
2016/11/30 14:28,21.96,6,10,0,0,0,0.019,0,0,0,0,0,0.37,-0.019
2016/11/30 14:28,21.75,8,13,0,0,0,0,0,0,0,0,0,0.58,0
2016/11/30 14:28,21.59,14,17,0,0,0,0,0,0,0,0,0,0.74,0
2016/11/30 14:28,21.51,16,21,0,0,0,-0.008,0,0,0,0,0,0.82,0.008
2016/11/30 14:28,21.36,21,24,0,0,0,0.042,0,0,0,0,0,0.97,-0.042
2016/11/30 14:28,21.26,22,27,0,0,0,0,0,0,0,0,0,1.07,0
2016/11/30 14:28,21,28,31,0,0,0,0.019,0,0,0,0,0,1.33,-0.019
2016/11/30 14:28,20.79,8,41,0,0,0,0.004,0,0,0,0,0,1.54,-0.004
2016/11/30 14:28,20.23,17,6,0,0,0,0,0,0,0,0,0,2.1,0
2016/11/30 14:28,20.11,20,11,0,0,0,0.039,0,0,0,0,0,2.22,-0.039
2016/11/30 14:28,19.88,27,16,0,0,0,0,0,0,0,0,0,2.45,0
2016/11/30 14:28,19.63,29,20,0,0,0,0.004,0,0,0,0,0,2.7,-0.004
2016/11/30 14:28,19.52,35,24,0,0,0,0.031,0,0,0,0,0,2.81,-0.031
2016/11/30 14:28,19.32,38,27,0,0,0,0,0,0,0,0,0,3.01,0
2016/11/30 14:28,19.2,-4,28,0,0,0,0.046,0,0,0,0,0,3.13,-0.046
2016/11/30 14:28,19.71,-20,13,0,0,0,-0.004,0,0,0,0,0,2.62,0.004
2016/11/30 14:28,20.41,-36,-1,0,0,0,0.039,0,0,0,0,0,1.92,-0.039
2016/11/30 14:28,21.12,-51,-13,0,0,0,0.054,0,0,0,0,0,1.21,-0.054
2016/11/30 14:29,21.42,-54,-17,0,0,0,0,0,0,0,0,0,0.91,0
2016/11/30 14:29,21.16,-3,-11,0,0,0,0.027,0,0,0,0,0,1.17,-0.027
2016/11/30 14:29,20.8,5,-5,0,0,0,0,0,0,0,0,0,1.53,0
2016/11/30 14:29,21.12,-5,-16,0,0,0,0.058,0,0,0,0,0,1.21,-0.058
2016/11/30 14:29,21.28,-9,4,0,0,0,0.004,0,0,0,0,0,1.05,-0.004
2016/11/30 14:29,21.08,1,13,0,0,0,0,0,0,0,0,0,1.25,0
2016/11/30 14:29,20.76,9,17,0,0,0,0.062,0,0,0,0,0,1.57,-0.062
2016/11/30 14:29,20.8,-7,4,0,0,0,-0.004,0,0,0,0,0,1.53,0.004
2016/11/30 14:29,21.3,-1,8,0,0,0,0.062,0,0,0,0,0,1.03,-0.062
2016/11/30 14:29,20.97,2,13,0,0,0,0.069,0,0,0,0,0,1.36,-0.069
2016/11/30 14:29,20.8,9,19,0,0,0,-0.004,0,0,0,0,0,1.53,0.004
2016/11/30 14:29,21.04,-4,5,0,0,0,0,0,0,0,0,0,1.29,0
2016/11/30 14:29,21.19,-4,6,0,0,0,-0.004,0,0,0,0,0,1.14,0.004
2016/11/30 14:29,17.7,77,81,0,0,0,0.027,0,0,0,0,0,4.63,-0.027
2016/11/30 14:29,17.06,96,114,0,0,0,-0.012,0,0,0,0,0,5.27,0.012
2016/11/30 14:29,15.29,129,143,0,0,0,-0.012,0,0,0,0,0,7.04,0.012
2016/11/30 14:29,14.83,155,163,0,0,0,-0.015,0,0,0,0,0,7.5,0.015
2016/11/30 14:29,14.27,164,163,0,0,0,0.027,0,0,0,0,0,8.06,-0.027
2016/11/30 14:29,13.63,168,165,0,0,0,0.008,0,0,0,0,0,8.7,-0.008
