Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9,,Load £¨kN),Displacement mm
2016/11/30 14:39,20.8,19,19,0,0,0,-0.012,0,0,0,0,0,,0,0
2016/11/30 14:39,20.75,21,20,0,0,0,0.015,0,0,0,0,0,,0.05,-0.027
2016/11/30 14:39,20.76,20,19,0,0,0,0.035,0,0,0,0,0,,0.04,-0.047
2016/11/30 14:39,20.73,19,21,0,0,0,-0.008,0,0,0,0,0,,0.07,-0.004
2016/11/30 14:39,20.73,21,21,0,0,0,-0.012,0,0,0,0,0,,0.07,0
2016/11/30 14:39,20.73,-1,21,0,0,0,0.023,0,0,0,0,0,,0.07,-0.035
2016/11/30 14:39,20.65,-4,3,0,0,0,-0.008,0,0,0,0,0,,0.15,-0.004
2016/11/30 14:39,20.66,-2,3,0,0,0,0.027,0,0,0,0,0,,0.14,-0.039
2016/11/30 14:39,20.67,-2,4,0,0,0,0.008,0,0,0,0,0,,0.13,-0.02
2016/11/30 14:39,20.63,-1,2,0,0,0,0.004,0,0,0,0,0,,0.17,-0.016
2016/11/30 14:39,20.63,0,1,0,0,0,0.031,0,0,0,0,0,,0.17,-0.043
2016/11/30 14:39,20.61,1,3,0,0,0,-0.004,0,0,0,0,0,,0.19,-0.008
2016/11/30 14:39,20.63,3,2,0,0,0,0.039,0,0,0,0,0,,0.17,-0.051
2016/11/30 14:39,20.57,1,2,0,0,0,0.027,0,0,0,0,0,,0.23,-0.039
2016/11/30 14:39,20.61,0,2,0,0,0,-0.008,0,0,0,0,0,,0.19,-0.004
2016/11/30 14:39,20.57,1,4,0,0,0,-0.004,0,0,0,0,0,,0.23,-0.008
2016/11/30 14:39,20.59,0,4,0,0,0,0.008,0,0,0,0,0,,0.21,-0.02
2016/11/30 14:39,20.55,0,5,0,0,0,0.019,0,0,0,0,0,,0.25,-0.031
2016/11/30 14:39,20.53,3,5,0,0,0,-0.012,0,0,0,0,0,,0.27,0
2016/11/30 14:39,19.64,63,61,0,0,0,-0.004,0,0,0,0,0,,1.16,-0.008
2016/11/30 14:39,17.92,79,76,0,0,0,0.015,0,0,0,0,0,,2.88,-0.027
2016/11/30 14:39,16.46,103,100,0,0,0,0.023,0,0,0,0,0,,4.34,-0.035
2016/11/30 14:39,15.31,125,134,0,0,0,-0.012,0,0,0,0,0,,5.49,0
2016/11/30 14:39,14.6,130,145,0,0,0,-0.015,0,0,0,0,0,,6.2,0.003
2016/11/30 14:39,14.44,140,156,0,0,0,-0.012,0,0,0,0,0,,6.36,0
2016/11/30 14:39,14.04,154,168,0,0,0,-0.015,0,0,0,0,0,,6.76,0.003
