Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9
2016-11-30 14:50:03, 20.82,     8,    -1,     0,     0,     0,-0.015, 0.000,     0,     0,     0,     0
2016-11-30 14:50:04, 20.29,    14,     2,     0,     0,     0,-0.015, 0.000,     0,     0,     0,     0
2016-11-30 14:50:05, 20.72,     4,    -7,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 14:50:06, 20.96,     5,    -5,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 14:50:07, 20.33,    16,     6,     0,     0,     0,-0.015, 0.000,     0,     0,     0,     0
2016-11-30 14:50:08, 20.55,    -6,    -5,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 14:50:09, 20.92,   -12,     0,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 14:50:10, 20.56,     1,    14,     0,     0,     0,-0.015, 0.000,     0,     0,     0,     0
2016-11-30 14:50:11, 20.49,    -1,    12,     0,     0,     0, 0.012, 0.000,     0,     0,     0,     0
2016-11-30 14:50:12, 20.71,    -1,     2,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 14:50:13, 20.99,    -3,     0,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 14:50:14, 20.34,    14,    15,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 14:50:15, 20.53,     6,     5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 14:50:16, 20.91,    -4,    -2,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 14:50:17, 20.92,    19,    21,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 14:50:18, 19.77,    24,    26,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 14:50:19, 19.33,     3,    36,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 14:50:20, 19.36,     6,     8,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 14:50:21, 19.79,     0,    -6,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 14:50:22, 19.99,    -8,   -13,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 14:50:23, 19.56,     3,    12,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 14:50:24, 19.45,    -1,    13,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 14:50:25, 19.86,   -12,    -4,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 14:50:26, 19.77,    -8,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 14:50:27, 19.35,     0,     9,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 14:50:28, 19.22,    -1,    22,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 14:50:29, 17.60,    38,    53,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 14:50:30, 16.23,    70,    81,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 14:50:31, 15.08,   100,   104,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 14:50:32, 14.44,   110,   113,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 14:50:33, 14.27,   123,   129,     0,     0,     0,-0.015, 0.000,     0,     0,     0,     0
2016-11-30 14:50:34, 13.78,   135,   139,     0,     0,     0,-0.019, 0.000,     0,     0,     0,     0
2016-11-30 14:50:35, 13.22,   151,   153,     0,     0,     0,-0.019, 0.000,     0,     0,     0,     0
2016-11-30 14:50:36, 12.60,   154,   157,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 14:50:37, 12.06,   176,   177,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 14:50:38, 11.87,   184,   186,     0,     0,     0,-0.031, 0.000,     0,     0,     0,     0
2016-11-30 14:50:39, 10.92,   201,   204,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 14:50:40, 10.35,   216,   214,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 14:50:41, 10.02,   231,   229,     0,     0,     0,-0.035, 0.000,     0,     0,     0,     0
2016-11-30 14:50:42,  9.39,   244,   242,     0,     0,     0,-0.035, 0.000,     0,     0,     0,     0
2016-11-30 14:50:43,  8.83,   257,   256,     0,     0,     0,-0.035, 0.000,     0,     0,     0,     0
2016-11-30 14:50:44,  8.20,   272,   268,     0,     0,     0,-0.035, 0.000,     0,     0,     0,     0
2016-11-30 14:50:45,  7.66,   286,   281,     0,     0,     0,-0.031, 0.000,     0,     0,     0,     0
2016-11-30 14:50:46,  6.92,   302,   297,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:50:47,  5.77,   333,   326,     0,     0,     0,-0.039, 0.000,     0,     0,     0,     0
2016-11-30 14:50:48,  5.18,   344,   340,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 14:50:49,  4.29,   368,   359,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 14:50:50,  3.77,   385,   375,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 14:50:51,  2.92,   404,   393,     0,     0,     0,-0.039, 0.000,     0,     0,     0,     0
2016-11-30 14:50:52,  2.16,   420,   407,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
2016-11-30 14:50:53,  1.91,   423,   412,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:50:54,  1.66,   431,   415,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
2016-11-30 14:50:55,  1.44,   436,   420,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:50:56,  1.19,   441,   425,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
2016-11-30 14:50:57,  1.17,   440,   424,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 14:50:58,  1.17,   440,   424,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
2016-11-30 14:50:59,  1.19,   438,   423,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
2016-11-30 14:51:00,  1.20,   440,   424,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 14:51:01,  1.20,   437,   422,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:51:02,  1.18,   437,   424,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 14:51:03,  1.20,   437,   424,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:51:04,  1.15,   439,   423,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:51:05,  1.14,   437,   423,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:51:06,  1.12,   438,   423,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 14:51:07,  1.11,   439,   423,     0,     0,     0,-0.039, 0.000,     0,     0,     0,     0
2016-11-30 14:51:08,  1.12,   438,   423,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
2016-11-30 14:51:09,  1.16,   439,   423,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:51:10,  1.13,   438,   423,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
2016-11-30 14:51:11,  1.11,   438,   422,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 14:51:12,  1.04,   441,   426,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:51:13,  1.16,   437,   433,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:51:14, -0.65,   479,   466,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
2016-11-30 14:51:15, -1.37,   496,   483,     0,     0,     0,-0.046, 0.000,     0,     0,     0,     0
2016-11-30 14:51:16, -2.49,   518,   507,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
2016-11-30 14:51:17, -3.19,   536,   523,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
2016-11-30 14:51:18, -4.24,   567,   551,     0,     0,     0,-0.054, 0.000,     0,     0,     0,     0
2016-11-30 14:51:19, -5.49,   588,   576,     0,     0,     0,-0.054, 0.000,     0,     0,     0,     0
2016-11-30 14:51:20, -6.25,   621,   606,     0,     0,     0,-0.054, 0.000,     0,     0,     0,     0
2016-11-30 14:51:21, -6.99,   644,   627,     0,     0,     0,-0.054, 0.000,     0,     0,     0,     0
2016-11-30 14:51:22, -7.86,   661,   644,     0,     0,     0,-0.062, 0.000,     0,     0,     0,     0
2016-11-30 14:51:23, -9.08,   692,   677,     0,     0,     0,-0.069, 0.000,     0,     0,     0,     0
2016-11-30 14:51:24,-10.37,   719,   701,     0,     0,     0,-0.069, 0.000,     0,     0,     0,     0
2016-11-30 14:51:25,-10.86,   731,   711,     0,     0,     0,-0.100, 0.000,     0,     0,     0,     0
2016-11-30 14:51:26,-11.97,   763,   742,     0,     0,     0,-0.100, 0.000,     0,     0,     0,     0
2016-11-30 14:51:27,-13.45,   793,   773,     0,     0,     0,-0.116, 0.000,     0,     0,     0,     0
2016-11-30 14:51:28,-14.65,   828,   806,     0,     0,     0,-0.120, 0.000,     0,     0,     0,     0
2016-11-30 14:51:29,-15.54,   849,   826,     0,     0,     0,-0.116, 0.000,     0,     0,     0,     0
2016-11-30 14:51:30,-17.24,   881,   859,     0,     0,     0,-0.120, 0.000,     0,     0,     0,     0
2016-11-30 14:51:31,-18.08,   909,   889,     0,     0,     0,-0.120, 0.000,     0,     0,     0,     0
2016-11-30 14:51:32,-19.44,   927,   901,     0,     0,     0,-0.123, 0.000,     0,     0,     0,     0
2016-11-30 14:51:33,-21.01,   969,   945,     0,     0,     0,-0.127, 0.000,     0,     0,     0,     0
2016-11-30 14:51:34,-22.18,  1012,   985,     0,     0,     0,-0.123, 0.000,     0,     0,     0,     0
2016-11-30 14:51:35,-24.01,  1030,  1004,     0,     0,     0,-0.120, 0.000,     0,     0,     0,     0
2016-11-30 14:51:36,-25.71,  1089,  1060,     0,     0,     0,-0.127, 0.000,     0,     0,     0,     0
2016-11-30 14:51:37,-26.75,  1112,  1084,     0,     0,     0,-0.120, 0.000,     0,     0,     0,     0
2016-11-30 14:51:38,-28.65,  1159,  1126,     0,     0,     0,-0.127, 0.000,     0,     0,     0,     0
2016-11-30 14:51:39,-29.46,  1165,  1140,     0,     0,     0,-0.131, 0.000,     0,     0,     0,     0
2016-11-30 14:51:40,-31.26,  1221,  1174,     0,     0,     0,-0.131, 0.000,     0,     0,     0,     0
2016-11-30 14:51:41,-32.11,  1248,  1215,     0,     0,     0,-0.131, 0.000,     0,     0,     0,     0
2016-11-30 14:51:42,-33.52,  1282,  1253,     0,     0,     0,-0.135, 0.000,     0,     0,     0,     0
2016-11-30 14:51:43,-35.23,  1322,  1290,     0,     0,     0,-0.139, 0.000,     0,     0,     0,     0
2016-11-30 14:51:44,-36.86,  1341,  1307,     0,     0,     0,-0.143, 0.000,     0,     0,     0,     0
