Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9
2016-11-30 12:44:03, 19.85,    -2,     5,     0,     0,     0, 0.027, 0.000,     0,     0,     0,     0
2016-11-30 12:44:04, 19.59,     3,    12,     0,     0,     0, 0.066, 0.000,     0,     0,     0,     0
2016-11-30 12:44:05, 19.24,     4,    13,     0,     0,     0, 0.050, 0.000,     0,     0,     0,     0
2016-11-30 12:44:06, 19.49,     3,    11,     0,     0,     0, 0.023, 0.000,     0,     0,     0,     0
2016-11-30 12:44:07, 19.59,     0,     8,     0,     0,     0, 0.031, 0.000,     0,     0,     0,     0
2016-11-30 12:44:08, 19.79,    -3,     5,     0,     0,     0, 0.073, 0.000,     0,     0,     0,     0
2016-11-30 12:44:09, 19.90,    -4,     4,     0,     0,     0, 0.085, 0.000,     0,     0,     0,     0
2016-11-30 12:44:10, 19.93,    -5,     4,     0,     0,     0, 0.023, 0.000,     0,     0,     0,     0
2016-11-30 12:44:11, 20.02,    -6,     3,     0,     0,     0, 0.046, 0.000,     0,     0,     0,     0
2016-11-30 12:44:12, 20.03,    -1,     2,     0,     0,     0, 0.027, 0.000,     0,     0,     0,     0
2016-11-30 12:44:13, 20.09,    -2,     1,     0,     0,     0, 0.019, 0.000,     0,     0,     0,     0
2016-11-30 12:44:14, 20.11,    -1,     3,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 12:44:15, 19.80,     4,     9,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 12:44:16, 19.36,    10,    14,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 12:44:17, 19.14,    11,    15,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 12:44:18, 19.40,     8,    12,     0,     0,     0, 0.012, 0.000,     0,     0,     0,     0
2016-11-30 12:44:19, 19.52,     5,     9,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 12:44:20, 19.74,     4,     7,     0,     0,     0, 0.066, 0.000,     0,     0,     0,     0
2016-11-30 12:44:21, 19.86,     2,     5,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 12:44:22, 19.91,     1,     5,     0,     0,     0, 0.062, 0.000,     0,     0,     0,     0
2016-11-30 12:44:23, 20.02,     0,     2,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 12:44:24, 20.03,     0,     3,     0,     0,     0, 0.012, 0.000,     0,     0,     0,     0
2016-11-30 12:44:25, 20.08,     0,     0,     0,     0,     0, 0.046, 0.000,     0,     0,     0,     0
2016-11-30 12:44:26, 19.67,     9,    10,     0,     0,     0, 0.012, 0.000,     0,     0,     0,     0
2016-11-30 12:44:27, 19.19,    16,    16,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 12:44:28, 19.22,    12,    14,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 12:44:29, 19.47,     8,    10,     0,     0,     0, 0.062, 0.000,     0,     0,     0,     0
2016-11-30 12:44:30, 19.61,     6,     9,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 12:44:31, 19.76,     4,     6,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 12:44:32, 19.88,     3,     5,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 12:44:33, 19.93,     0,     3,     0,     0,     0, 0.054, 0.000,     0,     0,     0,     0
2016-11-30 12:44:34, 17.35,    38,    43,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 12:44:35, 16.21,    54,    67,     0,     0,     0, 0.023, 0.000,     0,     0,     0,     0
2016-11-30 12:44:36, 15.51,    73,    84,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 12:44:37, 14.23,    85,    97,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 12:44:38, 13.67,    92,   102,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 12:44:39, 13.50,   100,   106,     0,     0,     0, 0.031, 0.000,     0,     0,     0,     0
2016-11-30 12:44:40, 13.09,   104,   112,     0,     0,     0, 0.039, 0.000,     0,     0,     0,     0
2016-11-30 12:44:41, 12.59,   111,   118,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 12:44:42, 12.24,   118,   124,     0,     0,     0, 0.039, 0.000,     0,     0,     0,     0
2016-11-30 12:44:43, 11.41,   128,   132,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
