Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9
2016-11-30 9:59:55, 17.49,    -1,     5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 9:59:56, 17.38,     0,     6,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:59:57, 17.43,     0,     8,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:59:58, 17.43,    -1,     8,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:59:59, 17.41,     0,     7,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:00, 17.37,     0,     7,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:01, 17.64,    -4,     3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:02, 17.60,    -4,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:03, 17.50,    -4,     6,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:04, 17.41,    -3,     8,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:05, 17.39,    -2,     8,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:00:06, 17.38,    -3,     7,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:07, 17.41,    -1,     8,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:08, 17.41,     1,     9,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:09, 17.77,    -5,     3,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:10, 17.61,    -2,     5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:11, 17.54,    -2,     6,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:12, 17.44,     1,     7,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:13, 17.44,     0,     7,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 10:00:14, 17.47,     3,     8,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:15, 17.41,     0,     8,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:16, 17.40,     1,     3,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:17, 17.62,    -2,    -2,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:18, 17.60,    -1,     0,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:19, 17.48,    -1,     2,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:00:20, 17.39,     2,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:21, 17.38,     2,     3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:22, 17.42,     3,     3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:23, 17.37,     0,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:24, 17.33,     0,     3,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:25, 17.63,    -3,    -1,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:26, 17.60,     1,     0,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:27, 17.50,     2,     1,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:28, 17.43,     1,     3,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:29, 17.49,     1,     0,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:30, 17.53,     1,     0,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:00:31, 17.59,     1,    -1,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:32, 17.59,    -2,     0,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:33, 17.64,    -1,    -2,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:34, 17.70,    -1,    -4,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 10:00:35, 17.68,    -1,    -3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:36, 17.68,    -2,    -3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:37, 17.77,    -5,    -3,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:38, 17.79,    -1,    -4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:39, 17.80,    -3,    -5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:40, 17.85,    -1,    -5,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 10:00:41, 17.87,    -3,    -5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 10:00:42, 17.85,    -4,    -6,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
