Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9
2016-11-30 9:10:50, 15.14,    -1,     1,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:10:51, 15.09,    -2,     1,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:10:52, 15.11,    -1,     1,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:10:53, 15.12,     0,     1,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:10:54, 15.10,     2,     1,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:10:55, 15.11,     0,     2,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:10:56, 15.10,     2,     1,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:10:57, 15.13,     0,     0,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:10:58, 15.09,     0,     1,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:10:59, 15.15,     2,    -4,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:00, 18.52,    76,  -177,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:01, 18.44,    74,  -177,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:02, 18.32,    76,  -176,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 9:11:03, 18.33,    76,  -175,     0,     0,     0, 0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:11:04, 18.34,    75,  -176,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 9:11:05, 18.30,    73,  -175,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:06, 18.27,    75,  -174,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:07, 18.31,    76,  -176,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:08, 18.31,    77,  -175,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:09, 18.29,    74,  -175,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:10, 18.31,     1,  -175,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:11, 18.33,    -2,  -174,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 9:11:12, 18.30,    -1,  -175,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:13, 18.31,     3,     3,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:14, 18.29,    -1,     5,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:15, 18.29,     0,     4,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:16, 18.33,    -2,     5,     0,     0,     0, 0.015, 0.000,     0,     0,     0,     0
2016-11-30 9:11:17, 18.32,    -1,     3,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:18, 18.29,     0,     5,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:19, 18.29,     0,     5,     0,     0,     0, 0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:11:20, 18.27,     3,     5,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:21, 18.27,     2,     4,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:22, 18.31,     1,     5,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:23, 18.31,     0,     5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 9:11:24, 18.33,     0,     5,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:25, 18.31,    -2,     4,     0,     0,     0, 0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:11:26, 18.31,    -1,     5,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:27, 18.35,    -3,     5,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:28, 18.36,    -3,     4,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:29, 16.86,    18,    31,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:30, 14.68,    48,    58,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:31, 14.04,    59,    77,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:32, 13.02,    74,    90,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:33, 12.82,    91,   107,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:34, 11.68,   101,   112,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 9:11:35, 11.02,   112,   125,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:36, 10.43,   125,   131,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:37,  9.94,   132,   138,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:38,  9.42,   141,   147,     0,     0,     0, 0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:11:39,  8.31,   158,   161,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:40,  7.92,   175,   173,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:41,  6.76,   180,   185,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:42,  5.70,   202,   203,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:43,  4.97,   214,   210,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 9:11:44,  4.03,   225,   223,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 9:11:45,  2.76,   247,   246,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:46,  2.04,   256,   253,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:47,  1.13,   269,   270,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 9:11:48,  0.15,   286,   285,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:49, -0.65,   296,   289,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:11:50, -0.92,   309,   306,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:51, -1.65,   319,   307,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:52, -1.93,   327,   306,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:11:53, -2.02,   336,   309,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:54, -2.31,   341,   310,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:55, -2.51,   345,   314,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:11:56, -2.90,   351,   314,     0,     0,     0,-0.015, 0.000,     0,     0,     0,     0
2016-11-30 9:11:57, -2.88,   354,   313,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:11:58, -2.90,   354,   313,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:11:59, -2.86,   351,   313,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:12:00, -2.87,   352,   312,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:12:01, -2.89,   351,   314,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:12:02, -2.88,   352,   312,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:12:03, -2.91,   354,   313,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:12:04, -2.88,   352,   313,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:12:05, -2.99,   354,   314,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:12:06, -3.34,   356,   320,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:12:07, -3.77,   364,   331,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:12:08, -3.92,   363,   336,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 9:12:09, -4.17,   365,   344,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:12:10, -4.49,   363,   356,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:12:11, -4.85,   366,   364,     0,     0,     0,-0.015, 0.000,     0,     0,     0,     0
2016-11-30 9:12:12, -5.78,   385,   380,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 9:12:13, -7.07,   405,   404,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 9:12:14, -8.07,   405,   412,     0,     0,     0,-0.015, 0.000,     0,     0,     0,     0
2016-11-30 9:12:15, -8.84,   432,   424,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
