Ê±¼ä,9_1,7_1,7_2,7_3,7_4,7_5,9_10,9_9,7_6,7_7,7_8,7_9
2016-11-30 13:10:35, 19.16,     0,     7,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:10:36, 19.31,    -5,     2,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:10:37, 20.05,   -16,    -8,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:10:38, 20.10,   -13,    -7,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:10:39, 20.01,   -14,    -5,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:10:40, 19.95,     0,    -6,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:10:41, 19.92,     3,     0,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:10:42, 19.87,     0,     3,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:10:43, 19.87,     3,     3,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:10:44, 19.76,     1,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:10:45, 19.75,     4,     5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:10:46, 19.71,     3,     6,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:10:47, 19.66,     3,     5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:10:48, 19.65,    -2,     6,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:10:49, 19.66,    -2,     1,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:10:50, 19.61,    -2,     3,     0,     0,     0, 0.012, 0.000,     0,     0,     0,     0
2016-11-30 13:10:51, 19.61,    -1,     2,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:10:52, 19.53,     0,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:10:53, 19.53,    -1,     4,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:10:54, 19.50,     0,     4,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:10:55, 19.49,     1,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:10:56, 19.46,     1,     5,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:10:57, 19.49,     2,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:10:58, 19.48,     0,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:10:59, 19.51,     1,     4,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:11:00, 19.49,     0,     5,     0,     0,     0, 0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:11:01, 19.47,     1,     4,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:02, 17.78,    26,    33,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:03, 16.66,    44,    55,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:04, 15.70,    60,    65,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:11:05, 15.00,    79,    84,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:06, 14.11,    85,    83,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:07, 13.65,    92,    91,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:08, 13.51,   100,    97,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:09, 13.31,   104,   100,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:11:10, 12.80,   110,   107,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:11:11, 12.02,   122,   116,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:12, 11.31,   132,   115,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:11:13, 10.88,   137,   132,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:14, 10.36,   144,   138,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:11:15,  9.71,   153,   146,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:11:16,  9.76,   164,   155,     0,     0,     0, 0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:17,  9.09,   174,   162,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:18,  8.22,   186,   173,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:19,  7.17,   193,   181,     0,     0,     0, 0.000, 0.000,     0,     0,     0,     0
2016-11-30 13:11:20,  6.51,   210,   195,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:21,  6.12,   218,   195,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:22,  5.66,   221,   210,     0,     0,     0,-0.004, 0.000,     0,     0,     0,     0
2016-11-30 13:11:23,  4.82,   241,   222,     0,     0,     0,-0.008, 0.000,     0,     0,     0,     0
2016-11-30 13:11:24,  4.17,   253,   230,     0,     0,     0,-0.019, 0.000,     0,     0,     0,     0
2016-11-30 13:11:25,  3.70,   260,   243,     0,     0,     0,-0.012, 0.000,     0,     0,     0,     0
2016-11-30 13:11:26,  2.72,   273,   250,     0,     0,     0,-0.015, 0.000,     0,     0,     0,     0
2016-11-30 13:11:27,  2.17,   276,   259,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:28,  1.63,   291,   265,     0,     0,     0,-0.019, 0.000,     0,     0,     0,     0
2016-11-30 13:11:29,  1.15,   295,   271,     0,     0,     0,-0.019, 0.000,     0,     0,     0,     0
2016-11-30 13:11:30,  0.84,   303,   272,     0,     0,     0,-0.019, 0.000,     0,     0,     0,     0
2016-11-30 13:11:31,  0.63,   307,   275,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 13:11:32,  0.31,   313,   276,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:33,  0.18,   316,   277,     0,     0,     0,-0.015, 0.000,     0,     0,     0,     0
2016-11-30 13:11:34,  0.27,   315,   277,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 13:11:35,  0.23,   316,   277,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 13:11:36,  0.23,   315,   277,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 13:11:37,  0.23,   313,   278,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:38,  0.20,   313,   276,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:39,  0.18,   315,   276,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:40,  0.23,   317,   277,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:41,  0.19,   315,   276,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 13:11:42,  0.15,   315,   277,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:43,  0.18,   315,   277,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 13:11:44,  0.17,   314,   277,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:45,  0.13,   317,   277,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:46,  0.11,   317,   277,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 13:11:47, -0.03,   318,   279,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 13:11:48, -0.48,   322,   289,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:49, -0.80,   330,   296,     0,     0,     0,-0.031, 0.000,     0,     0,     0,     0
2016-11-30 13:11:50, -1.17,   330,   303,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 13:11:51, -1.34,   340,   310,     0,     0,     0,-0.027, 0.000,     0,     0,     0,     0
2016-11-30 13:11:52, -2.36,   353,   325,     0,     0,     0,-0.023, 0.000,     0,     0,     0,     0
2016-11-30 13:11:53, -3.11,   363,   335,     0,     0,     0,-0.031, 0.000,     0,     0,     0,     0
2016-11-30 13:12:03,-12.34,   516,   474,     0,     0,     0,-0.042, 0.000,     0,     0,     0,     0
2016-11-30 13:12:04,-13.78,   532,   491,     0,     0,     0,-0.058, 0.000,     0,     0,     0,     0
2016-11-30 13:12:05,-13.82,   547,   507,     0,     0,     0,-0.050, 0.000,     0,     0,     0,     0
