?? [s],A.dY [mm],A.dY [mm],B.dY [mm],B.dY [mm],C.dY [mm],C.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.039097,0.039097,0.039628,0.039628,0.039654,0.039654,0.037738
20.000000,0.174996,0.174996,0.175735,0.175735,0.175224,0.175224,0.174209
30.000000,0.213115,0.213115,0.213907,0.213907,0.212938,0.212938,0.212638
40.000000,0.239879,0.239879,0.240431,0.240431,0.239919,0.239919,0.239330
50.000000,0.305108,0.305108,0.305118,0.305118,0.303391,0.303391,0.302863
60.000000,0.370651,0.370651,0.373629,0.373629,0.370956,0.370956,0.371501
70.000000,0.398198,0.398198,0.400635,0.400635,0.397720,0.397720,0.399121
80.000000,0.441073,0.441073,0.443571,0.443571,0.440239,0.440239,0.442336
90.000000,0.523710,0.523710,0.528771,0.528771,0.523157,0.523157,0.526957
100.000000,0.561837,0.561837,0.567599,0.567599,0.561658,0.561658,0.567293
110.000000,0.575512,0.575512,0.581736,0.581736,0.575209,0.575209,0.580294
120.000000,0.692510,0.692510,0.699459,0.699459,0.692155,0.692155,0.697417
130.000000,0.746231,0.746231,0.754345,0.754345,0.745873,0.745873,0.752649
140.000000,0.772688,0.772688,0.779991,0.779991,0.771110,0.771110,0.778203
150.000000,0.833551,0.833551,0.842736,0.842736,0.832937,0.832937,0.841322
160.000000,0.901096,0.901096,0.910969,0.910969,0.900314,0.900314,0.909782
170.000000,0.929021,0.929021,0.940041,0.940041,0.928919,0.928919,0.938234
180.000000,1.046782,1.046782,1.059091,1.059091,1.045943,1.045943,1.057005
190.000000,1.098818,1.098818,1.111084,1.111084,1.098256,1.098256,1.109881
200.000000,1.132067,1.132067,1.144447,1.144447,1.131545,1.131545,1.143055
210.000000,1.181792,1.181792,1.193921,1.193921,1.181058,1.181058,1.193404
220.000000,1.322039,1.322039,1.336354,1.336354,1.321543,1.321543,1.334291
230.000000,1.378312,1.378312,1.392108,1.392108,1.378188,1.378188,1.391101
240.000000,1.418651,1.418651,1.432590,1.432590,1.418744,1.418744,1.431571
250.000000,1.516423,1.516423,1.530041,1.530041,1.515887,1.515887,1.529320
260.000000,1.583114,1.583114,1.597703,1.597703,1.583192,1.583192,1.595667
270.000000,1.684851,1.684851,1.699246,1.699246,1.684692,1.684692,1.697706
280.000000,1.753990,1.753990,1.768235,1.768235,1.753793,1.753793,1.766926
290.000000,1.845073,1.845073,1.859519,1.859519,1.845115,1.845115,1.858880
300.000000,1.968818,1.968818,1.983633,1.983633,1.969441,1.969441,1.981776
310.000000,2.034623,2.034623,2.048008,2.048008,2.034060,2.034060,2.046834
320.000000,2.053635,2.053635,2.071573,2.071573,2.055740,2.055740,2.068079
330.000000,2.125406,2.125406,2.140695,2.140695,2.125430,2.125430,2.140147
340.000000,2.209753,2.209753,2.227207,2.227207,2.210593,2.210593,2.226255
350.000000,2.240940,2.240940,2.257923,2.257923,2.241150,2.241150,2.255365
360.000000,2.260524,2.260524,2.278570,2.278570,2.261438,2.261438,2.278069
370.000000,2.333195,2.333195,2.352146,2.352146,2.333207,2.333207,2.350198
380.000000,2.383549,2.383549,2.403632,2.403632,2.384354,2.384354,2.402444
390.000000,2.476092,2.476092,2.495884,2.495884,2.477609,2.477609,2.494714
400.000000,2.659216,2.659216,2.680240,2.680240,2.660319,2.660319,2.678895
410.000000,2.520121,2.520121,2.543664,2.543664,2.521285,2.521285,2.542871
420.000000,2.694319,2.694319,2.717127,2.717127,2.695193,2.695193,2.715840
430.000000,2.768635,2.768635,2.792649,2.792649,2.769729,2.769729,2.792229
440.000000,2.827259,2.827259,2.854487,2.854487,2.829612,2.829612,2.853246
450.000000,2.864636,2.864636,2.890798,2.890798,2.866025,2.866025,2.889915
460.000000,2.895034,2.895034,2.923982,2.923982,2.896940,2.896940,2.922087
470.000000,2.956685,2.956685,2.987125,2.987125,2.958862,2.958862,2.986529
480.000000,2.994546,2.994546,3.024913,3.024913,2.996713,2.996713,3.025051
490.000000,3.058261,3.058261,3.092830,3.092830,3.061830,3.061830,3.093298
500.000000,3.113200,3.113200,3.149348,3.149348,3.116520,3.116520,3.148342
510.000000,3.137323,3.137323,3.173518,3.173518,3.140559,3.140559,3.173851
520.000000,3.190923,3.190923,3.228814,3.228814,3.194523,3.194523,3.228726
530.000000,3.249971,3.249971,3.290982,3.290982,3.254085,3.254085,3.290118
540.000000,3.280956,3.280956,3.322427,3.322427,3.284920,3.284920,3.322306
550.000000,3.342259,3.342259,3.387227,3.387227,3.346751,3.346751,3.387835
560.000000,3.377695,3.377695,3.424428,3.424428,3.382924,3.382924,3.424422
570.000000,3.430014,3.430014,3.479587,3.479587,3.435391,3.435391,3.479847
580.000000,3.472042,3.472042,3.524026,3.524026,3.478082,3.478082,3.523431
590.000000,3.516376,3.516376,3.569231,3.569231,3.522348,3.522348,3.569154
600.000000,3.597013,3.597013,3.654268,3.654268,3.603766,3.603766,3.655032
610.000000,3.629102,3.629102,3.688294,3.688294,3.637039,3.637039,3.688446
620.000000,3.649916,3.649916,3.711563,3.711563,3.657374,3.657374,3.711718
630.000000,3.714637,3.714637,3.778513,3.778513,3.722972,3.722972,3.780584
640.000000,3.750576,3.750576,3.816151,3.816151,3.759099,3.759099,3.817766
650.000000,3.795943,3.795943,3.866547,3.866547,3.806350,3.806350,3.868813
660.000000,3.837253,3.837253,3.910690,3.910690,3.846980,3.846980,3.913211
670.000000,3.880112,3.880112,3.956861,3.956861,3.890254,3.890254,3.959324
680.000000,3.918482,3.918482,3.998654,3.998654,3.929545,3.929545,4.001038
690.000000,3.971256,3.971256,4.055971,4.055971,3.983256,3.983256,4.059127
700.000000,4.004659,4.004659,4.092240,4.092240,4.017393,4.017393,4.093953
710.000000,4.056433,4.056433,4.149491,4.149491,4.070212,4.070212,4.152766
717.091998,4.088231,4.088231,4.183659,4.183659,4.102028,4.102028,4.186272
722.091998,4.095724,4.095724,4.191675,4.191675,4.109714,4.109714,4.194729
727.091998,4.125828,4.125828,4.224611,4.224611,4.140535,4.140535,4.228154
732.091998,4.136210,4.136210,4.236695,4.236695,4.150947,4.150947,4.240059
737.091998,4.170278,4.170278,4.274435,4.274435,4.186006,4.186006,4.277829
742.091998,4.199661,4.199661,4.304719,4.304719,4.215405,4.215405,4.308550
747.091998,4.208047,4.208047,4.314673,4.314673,4.223662,4.223662,4.318455
752.091998,4.216558,4.216558,4.325528,4.325528,4.232581,4.232581,4.328650
757.091998,4.253379,4.253379,4.366498,4.366498,4.270587,4.270587,4.371427
762.091998,4.270964,4.270964,4.386837,4.386837,4.288337,4.288337,4.391866
767.091998,4.301674,4.301674,4.418468,4.418468,4.319374,4.319374,4.422138
772.091998,4.311919,4.311919,4.429898,4.429898,4.329532,4.329532,4.434702
777.091998,4.326929,4.326929,4.448807,4.448807,4.345104,4.345104,4.453194
782.091998,4.364709,4.364709,4.490032,4.490032,4.383575,4.383575,4.495481
787.091998,4.378676,4.378676,4.507090,4.507090,4.397713,4.397713,4.511638
792.091998,4.388955,4.388955,4.520155,4.520155,4.408204,4.408204,4.525053
797.091998,4.389712,4.389712,4.521795,4.521795,4.410097,4.410097,4.527315
802.091998,4.433455,4.433455,4.571452,4.571452,4.455252,4.455252,4.576754
807.091998,4.485625,4.485625,4.628691,4.628691,4.507162,4.507162,4.634840
810.304806,4.494730,4.494730,4.640150,4.640150,4.516485,4.516485,4.646358
810.804806,4.495355,4.495355,4.640821,4.640821,4.516801,4.516801,4.647063
811.304806,4.496958,4.496958,4.643645,4.643645,4.519057,4.519057,4.649270
811.804806,4.499467,4.499467,4.645881,4.645881,4.521218,4.521218,4.651423
812.304806,4.502156,4.502156,4.649558,4.649558,4.523930,4.523930,4.655251
812.804806,4.502263,4.502263,4.649756,4.649756,4.524318,4.524318,4.655893
813.304806,4.502489,4.502489,4.650142,4.650142,4.524627,4.524627,4.656300
813.804806,4.503595,4.503595,4.651574,4.651574,4.525849,4.525849,4.657933
814.304806,4.504611,4.504611,4.652521,4.652521,4.526574,4.526574,4.658640
814.804806,4.505774,4.505774,4.654294,4.654294,4.527860,4.527860,4.660394
815.304806,4.507792,4.507792,4.656842,4.656842,4.530390,4.530390,4.662897
815.804806,4.508844,4.508844,4.657520,4.657520,4.530477,4.530477,4.664853
816.304806,4.509065,4.509065,4.658367,4.658367,4.531307,4.531307,4.665312
816.804806,4.509284,4.509284,4.658615,4.658615,4.531837,4.531837,4.665499
817.304806,4.509108,4.509108,4.658528,4.658528,4.531525,4.531525,4.664637
817.804806,4.509413,4.509413,4.659001,4.659001,4.531857,4.531857,4.665310
818.304806,4.508278,4.508278,4.658019,4.658019,4.531033,4.531033,4.664226
818.804806,4.509058,4.509058,4.658312,4.658312,4.531510,4.531510,4.664881
819.304806,4.510012,4.510012,4.659188,4.659188,4.532093,4.532093,4.665713
819.804806,4.510033,4.510033,4.659425,4.659425,4.532316,4.532316,4.665685
820.304806,4.510507,4.510507,4.660196,4.660196,4.532950,4.532950,4.666989
820.804806,4.510822,4.510822,4.661038,4.661038,4.533247,4.533247,4.667637
821.304806,4.512078,4.512078,4.661841,4.661841,4.534115,4.534115,4.668438
821.804806,4.512929,4.512929,4.663312,4.663312,4.535376,4.535376,4.669992
822.304806,4.514378,4.514378,4.665039,4.665039,4.536499,4.536499,4.671905
822.804806,4.517411,4.517411,4.668063,4.668063,4.539486,4.539486,4.674420
823.304806,4.518142,4.518142,4.669587,4.669587,4.541234,4.541234,4.676351
823.804806,4.536485,4.536485,4.684914,4.684914,4.557937,4.557937,4.691744
824.304806,4.537574,4.537574,4.686505,4.686505,4.559272,4.559272,4.692832
824.804806,4.538015,4.538015,4.687753,4.687753,4.560486,4.560486,4.693930
825.304806,4.539391,4.539391,4.688184,4.688184,4.561176,4.561176,4.694101
825.804806,4.539384,4.539384,4.688747,4.688747,4.561402,4.561402,4.695171
826.304806,4.539573,4.539573,4.688766,4.688766,4.561638,4.561638,4.694808
826.804806,4.539489,4.539489,4.687917,4.687917,4.561140,4.561140,4.694837
827.304806,4.539254,4.539254,4.688295,4.688295,4.561209,4.561209,4.694451
827.804806,4.538145,4.538145,4.687818,4.687818,4.560257,4.560257,4.694774
828.304806,4.540291,4.540291,4.689932,4.689932,4.562383,4.562383,4.696222
828.804806,4.540871,4.540871,4.690850,4.690850,4.562893,4.562893,4.697402
829.304806,4.542507,4.542507,4.693129,4.693129,4.564587,4.564587,4.699121
829.804806,4.543918,4.543918,4.693887,4.693887,4.565548,4.565548,4.700162
830.304806,4.544545,4.544545,4.695055,4.695055,4.566289,4.566289,4.700697
830.804806,4.544339,4.544339,4.694136,4.694136,4.566000,4.566000,4.700225
831.304806,4.544563,4.544563,4.695830,4.695830,4.566850,4.566850,4.701870
831.804806,4.546033,4.546033,4.697649,4.697649,4.568229,4.568229,4.704045
832.304806,4.550432,4.550432,4.703075,4.703075,4.572959,4.572959,4.709362
832.804806,4.553839,4.553839,4.707451,4.707451,4.576450,4.576450,4.714052
833.304806,4.557388,4.557388,4.712640,4.712640,4.580293,4.580293,4.719423
833.804806,4.560090,4.560090,4.715139,4.715139,4.582865,4.582865,4.722206
834.304806,4.562353,4.562353,4.719211,4.719211,4.585684,4.585684,4.726257
834.804806,4.562361,4.562361,4.720520,4.720520,4.585910,4.585910,4.728165
835.304806,4.564176,4.564176,4.723021,4.723021,4.588576,4.588576,4.729295
835.804806,4.564463,4.564463,4.723518,4.723518,4.587778,4.587778,4.731090
836.304806,4.567368,4.567368,4.726281,4.726281,4.591238,4.591238,4.732935
836.804806,4.568660,4.568660,4.728935,4.728935,4.593114,4.593114,4.736929
837.304806,4.572448,4.572448,4.732523,4.732523,4.595544,4.595544,4.738448
837.804806,4.573618,4.573618,4.734239,4.734239,4.596953,4.596953,4.741944
838.304806,4.576405,4.576405,4.736941,4.736941,4.599883,4.599883,4.743945
838.804806,4.575234,4.575234,4.737609,4.737609,4.599603,4.599603,4.744776
839.304806,4.576169,4.576169,4.738903,4.738903,4.600345,4.600345,4.745916
839.804806,4.577898,4.577898,4.741282,4.741282,4.602263,4.602263,4.748387
840.304806,4.581132,4.581132,4.744491,4.744491,4.604829,4.604829,4.751102
840.804806,4.583487,4.583487,4.746520,4.746520,4.607523,4.607523,4.752836
841.304806,4.584131,4.584131,4.747581,4.747581,4.608112,4.608112,4.754528
841.804806,4.582457,4.582457,4.745539,4.745539,4.606238,4.606238,4.752589
842.304806,4.583128,4.583128,4.745441,4.745441,4.606477,4.606477,4.752612
842.804806,4.582244,4.582244,4.746311,4.746311,4.606589,4.606589,4.752191
843.304806,4.583242,4.583242,4.748641,4.748641,4.607900,4.607900,4.754624
843.804806,4.585596,4.585596,4.749452,4.749452,4.609316,4.609316,4.755967
844.304806,4.586536,4.586536,4.751164,4.751164,4.610565,4.610565,4.757819
844.804806,4.586696,4.586696,4.751796,4.751796,4.611100,4.611100,4.758769
845.304806,4.588775,4.588775,4.754145,4.754145,4.612279,4.612279,4.760690
845.804806,4.592328,4.592328,4.757268,4.757268,4.616161,4.616161,4.763799
846.304806,4.594045,4.594045,4.759640,4.759640,4.617419,4.617419,4.766673
846.804806,4.613597,4.613597,4.776545,4.776545,4.636533,4.636533,4.783552
847.304806,4.615939,4.615939,4.779602,4.779602,4.639380,4.639380,4.786054
847.804806,4.615654,4.615654,4.780456,4.780456,4.639505,4.639505,4.786764
848.304806,4.616675,4.616675,4.781577,4.781577,4.640251,4.640251,4.787892
848.804806,4.619046,4.619046,4.784983,4.784983,4.643139,4.643139,4.791436
849.304806,4.620769,4.620769,4.787972,4.787972,4.645157,4.645157,4.794698
849.804806,4.624386,4.624386,4.791846,4.791846,4.648643,4.648643,4.798181
850.304806,4.626292,4.626292,4.793911,4.793911,4.650398,4.650398,4.800144
850.804806,4.626814,4.626814,4.795255,4.795255,4.651389,4.651389,4.801549
851.304806,4.629286,4.629286,4.798016,4.798016,4.653595,4.653595,4.804669
851.804806,4.630816,4.630816,4.800416,4.800416,4.655443,4.655443,4.806431
852.304806,4.633216,4.633216,4.802853,4.802853,4.657679,4.657679,4.809885
852.804806,4.634234,4.634234,4.804739,4.804739,4.658622,4.658622,4.811506
853.304806,4.633278,4.633278,4.804796,4.804796,4.658383,4.658383,4.811669
