?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.121935,0.120473,0.120059,0.119859,0.120639
20.000000,0.220747,0.220296,0.219263,0.219079,0.220084
30.000000,0.339432,0.339947,0.339367,0.339125,0.339511
40.000000,0.418178,0.418738,0.419289,0.418526,0.419287
50.000000,0.561070,0.562581,0.563531,0.562487,0.562828
60.000000,0.630394,0.632989,0.633600,0.632115,0.632722
70.000000,0.803482,0.805761,0.806833,0.804675,0.805305
80.000000,0.913158,0.915204,0.915618,0.914610,0.915079
90.000000,1.088597,1.089648,1.087840,1.088781,1.088935
100.000000,1.221470,1.221748,1.219641,1.220549,1.221433
110.000000,1.410687,1.410576,1.409191,1.409882,1.410737
120.000000,1.578740,1.578876,1.577590,1.578203,1.578621
130.000000,1.725047,1.726160,1.724982,1.725203,1.725587
140.000000,1.882792,1.885066,1.885755,1.884173,1.884795
150.000000,1.994962,1.998316,1.999737,1.997484,1.997572
160.000000,2.105142,2.108923,2.109181,2.107593,2.107948
170.000000,2.212850,2.216389,2.216232,2.215034,2.216025
180.000000,2.293736,2.298064,2.297685,2.297201,2.297911
190.000000,2.403259,2.407578,2.406783,2.406452,2.407738
200.000000,2.476662,2.482636,2.481847,2.481772,2.482293
210.000000,2.591023,2.596986,2.594816,2.595616,2.597018
220.000000,2.659098,2.665945,2.663661,2.665360,2.665945
230.000000,2.769986,2.777924,2.774672,2.777058,2.778232
240.000000,2.846159,2.855189,2.851333,2.854355,2.855205
250.000000,2.934601,2.944811,2.939541,2.943500,2.945064
260.000000,3.022766,3.034687,3.027981,3.032957,3.035209
270.000000,3.098254,3.112122,3.104744,3.110643,3.113012
280.000000,3.183869,3.199123,3.190630,3.198090,3.200109
290.000000,3.274801,3.291681,3.281759,3.290747,3.293043
300.000000,3.355320,3.373597,3.361690,3.372689,3.375615
310.000000,3.428800,3.449928,3.436214,3.448994,3.452467
320.000000,3.515876,3.539930,3.523762,3.538585,3.542553
330.000000,3.604005,3.631169,3.612026,3.629692,3.633868
340.000000,3.684370,3.713272,3.692164,3.712037,3.716330
