?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.005577,0.005148,0.005312,0.005977,0.005281
20.000000,0.048002,0.046741,0.045262,0.047049,0.047203
30.000000,0.168258,0.167688,0.165342,0.166571,0.167195
40.000000,0.261206,0.259605,0.257216,0.259351,0.259309
50.000000,0.318198,0.317406,0.314674,0.316756,0.318137
60.000000,0.339576,0.339119,0.336789,0.338832,0.338365
70.000000,0.368091,0.367834,0.365615,0.367557,0.368656
80.000000,0.471670,0.471965,0.470624,0.472578,0.471294
90.000000,0.545974,0.546052,0.544109,0.545675,0.545798
100.000000,0.583977,0.583966,0.582414,0.583657,0.583109
110.000000,0.618667,0.618738,0.617463,0.619270,0.618001
120.000000,0.731789,0.731857,0.729891,0.731399,0.731230
130.000000,0.790928,0.790992,0.789447,0.791214,0.791847
140.000000,0.828660,0.828861,0.827130,0.828373,0.828400
150.000000,0.856960,0.857462,0.855999,0.857828,0.856657
160.000000,0.945710,0.945855,0.944530,0.946238,0.945365
170.000000,1.025532,1.025779,1.024228,1.025657,1.026273
180.000000,1.061112,1.061801,1.059636,1.061160,1.061377
190.000000,1.139057,1.140018,1.138355,1.139962,1.139300
200.000000,1.196017,1.196849,1.194841,1.196521,1.196056
210.000000,1.235302,1.236081,1.234213,1.235885,1.234661
220.000000,1.306829,1.307302,1.304969,1.307141,1.307690
230.000000,1.413898,1.414504,1.412604,1.415189,1.413993
240.000000,1.474132,1.475118,1.472424,1.474659,1.473491
250.000000,1.550585,1.550682,1.548846,1.551262,1.550056
260.000000,1.685227,1.685963,1.683494,1.685971,1.685821
270.000000,1.753202,1.754164,1.751478,1.753876,1.752971
280.000000,1.788029,1.788614,1.786125,1.789126,1.788158
290.000000,1.906224,1.906425,1.903549,1.905800,1.905778
300.000000,1.992964,1.993810,1.991473,1.993280,1.992337
310.000000,2.044255,2.045052,2.042360,2.044086,2.044023
320.000000,2.178544,2.178745,2.175516,2.178374,2.177592
330.000000,2.253658,2.253890,2.250904,2.254483,2.253548
340.000000,2.292424,2.292301,2.289493,2.291943,2.292185
350.000000,2.317755,2.318136,2.314507,2.317528,2.316378
360.000000,2.397981,2.398674,2.395524,2.398774,2.397287
370.000000,2.453955,2.455088,2.451412,2.454547,2.452981
380.000000,2.482225,2.483090,2.479878,2.482812,2.482369
390.000000,2.555349,2.556941,2.553472,2.556194,2.555049
400.000000,2.627258,2.628776,2.625835,2.629193,2.627940
410.000000,2.676678,2.678490,2.675666,2.678360,2.677164
420.000000,2.700219,2.702505,2.699381,2.702102,2.701277
430.000000,2.746655,2.749248,2.746017,2.748652,2.748512
440.000000,2.831886,2.835336,2.832231,2.834425,2.834001
450.000000,2.871406,2.874812,2.872162,2.874533,2.873199
460.000000,2.916991,2.920516,2.917718,2.920184,2.919301
470.000000,2.998262,3.001821,2.998791,3.001527,3.000818
480.000000,3.039223,3.042558,3.039607,3.042514,3.042432
490.000000,3.071540,3.075776,3.072815,3.075024,3.074698
500.000000,3.148011,3.153378,3.150311,3.152990,3.151440
510.000000,3.203388,3.210215,3.207205,3.209206,3.208428
520.000000,3.232565,3.239375,3.236455,3.239599,3.238204
530.000000,3.301795,3.309259,3.306596,3.308637,3.308258
540.000000,3.387160,3.395605,3.391913,3.394854,3.393809
550.000000,3.429211,3.438550,3.434550,3.437842,3.436379
560.000000,3.466526,3.476083,3.471909,3.475343,3.474037
570.000000,3.508387,3.518405,3.514407,3.518303,3.517353
580.000000,3.613796,3.622338,3.617770,3.621752,3.620725
590.000000,3.667824,3.676809,3.672191,3.675709,3.675016
600.000000,3.692878,3.701970,3.697176,3.702143,3.701744
610.000000,3.735590,3.746713,3.742103,3.746730,3.746505
620.000000,3.826032,3.838517,3.833108,3.838693,3.838568
630.000000,3.858059,3.870842,3.864752,3.870159,3.869588
640.000000,3.883765,3.896876,3.890431,3.896210,3.896066
650.000000,3.950993,3.964863,3.957154,3.965137,3.965344
660.000000,4.012358,4.027515,4.018988,4.027755,4.028384
670.000000,4.029948,4.045471,4.036709,4.044753,4.045678
680.000000,4.076432,4.092276,4.082640,4.091830,4.093053
690.000000,4.140637,4.157697,4.146904,4.158542,4.159887
700.000000,4.154436,4.172229,4.161484,4.171929,4.173391
710.000000,4.222610,4.241552,4.229430,4.242143,4.243337
720.000000,4.282629,4.302744,4.289711,4.303741,4.305670
730.000000,4.292950,4.313909,4.300211,4.313681,4.315485
740.000000,4.359452,4.381723,4.367215,4.382073,4.384277
750.000000,4.389704,4.413502,4.397256,4.413325,4.415533
760.000000,4.418841,4.441944,4.426202,4.442797,4.445117
770.000000,4.483645,4.509784,4.490761,4.510105,4.512894
780.000000,4.535514,4.562763,4.543774,4.563223,4.566980
790.000000,4.542775,4.569429,4.549908,4.570322,4.573786
800.000000,4.611241,4.641035,4.618997,4.641883,4.645233
810.000000,4.668281,4.699256,4.676545,4.699852,4.703661
820.000000,4.690784,4.722782,4.698826,4.724421,4.728938
830.000000,4.704907,4.738421,4.713076,4.738966,4.742856
840.000000,4.787703,4.823226,4.795632,4.824318,4.829357
850.000000,4.834168,4.869983,4.841985,4.871339,4.876430
860.000000,4.845793,4.882882,4.854211,4.883729,4.888647
870.000000,4.925428,4.965779,4.933725,4.966918,4.972517
880.000000,4.954100,4.996152,4.962786,4.997672,5.003794
890.000000,4.998314,5.040423,5.007216,5.042044,5.048114
900.000000,5.025334,5.070171,5.033859,5.071275,5.077211
910.000000,5.097962,5.145849,5.107074,5.147859,5.154982
920.000000,5.113679,5.162692,5.122270,5.164126,5.170823
930.000000,5.141522,5.192870,5.151559,5.195638,5.203482
940.000000,5.223181,5.277457,5.233151,5.279901,5.288445
950.000000,5.245376,5.301936,5.255237,5.303628,5.311437
960.000000,5.284222,5.340581,5.294082,5.342540,5.350537
970.000000,5.329184,5.390312,5.339927,5.392919,5.401628
980.000000,5.383041,5.444862,5.393139,5.447098,5.455644
990.000000,5.412397,5.477184,5.423614,5.480432,5.489931
1000.000000,5.445335,5.513421,5.456327,5.516865,5.526932
1010.000000,5.492789,5.562075,5.503819,5.565586,5.576224
1020.000000,5.551760,5.629902,5.564592,5.633093,5.643750
1030.000000,5.611697,5.691401,5.623963,5.694712,5.706081
1040.000000,5.634802,5.716875,5.647836,5.720453,5.731044
1050.000000,5.658297,5.743835,5.671325,5.748142,5.760227
1060.000000,5.721988,5.824602,5.734129,5.830429,5.843384
1071.748274,5.779772,5.887544,5.792897,5.893842,5.906137
1076.748274,5.780547,5.891961,5.795509,5.897772,5.910100
1081.748274,5.776800,5.898438,5.798109,5.904247,5.917111
1086.748274,3.168098,7.492814,3.102453,7.501699,7.503864
1091.748274,3.140949,7.567181,3.071530,7.576016,7.576883
1092.671261,3.141575,7.580795,3.072225,7.589647,7.591677
1093.171261,3.140291,7.588108,3.070738,7.596883,7.599092
1093.671261,3.139721,7.594848,3.070167,7.604120,7.605750
1094.171261,3.138443,7.596101,3.068800,7.605367,7.606857
1094.671261,3.137967,7.597005,3.068524,7.605785,7.607683
