?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.029970,0.030656,0.030376,0.030288,0.029965
20.000000,0.190572,0.189154,0.188098,0.189277,0.189193
30.000000,0.274239,0.272929,0.270779,0.272481,0.272336
40.000000,0.328610,0.327542,0.325566,0.327199,0.326920
50.000000,0.366311,0.365307,0.363681,0.364921,0.364461
60.000000,0.395717,0.394720,0.393253,0.394514,0.393878
70.000000,0.478857,0.477561,0.476136,0.477389,0.477146
80.000000,0.543988,0.542985,0.541548,0.542590,0.541885
90.000000,0.594863,0.593833,0.592067,0.593365,0.592743
100.000000,0.626359,0.624701,0.622670,0.624294,0.623533
110.000000,0.750769,0.749740,0.748048,0.749771,0.749505
120.000000,0.804423,0.802986,0.801185,0.801881,0.801514
130.000000,0.830152,0.829171,0.827781,0.828275,0.827135
140.000000,0.907002,0.905896,0.904584,0.905525,0.904802
150.000000,0.977278,0.975565,0.974556,0.975195,0.974003
160.000000,1.011575,1.010094,1.009008,1.009361,1.008203
170.000000,1.083161,1.081101,1.080012,1.080710,1.079911
180.000000,1.180589,1.179092,1.177718,1.178158,1.177645
190.000000,1.240187,1.238433,1.237468,1.238080,1.236933
200.000000,1.276278,1.274480,1.272911,1.273451,1.272657
210.000000,1.408768,1.406670,1.404703,1.406253,1.405333
220.000000,1.487955,1.485991,1.484343,1.485360,1.483590
230.000000,1.516148,1.513224,1.511652,1.512870,1.511538
240.000000,1.656865,1.654463,1.653266,1.653933,1.652989
250.000000,1.736828,1.734906,1.733624,1.734652,1.733721
260.000000,1.765299,1.763836,1.761884,1.762742,1.761141
270.000000,1.916742,1.915298,1.913553,1.914232,1.913037
280.000000,2.007279,2.005929,2.004554,2.005183,2.003703
290.000000,2.056810,2.055856,2.054747,2.054839,2.053249
300.000000,2.126941,2.126061,2.126013,2.124964,2.124023
310.000000,2.238236,2.238078,2.238345,2.237294,2.235831
320.000000,2.270395,2.269486,2.269599,2.269002,2.268079
330.000000,2.294103,2.293433,2.292717,2.292288,2.290858
340.000000,2.346255,2.345856,2.345352,2.344960,2.343573
350.000000,2.411309,2.410239,2.409977,2.409120,2.408169
360.000000,2.434817,2.434062,2.433892,2.433033,2.430944
370.000000,2.510391,2.509399,2.509380,2.508328,2.507324
380.000000,2.587911,2.587296,2.587583,2.586019,2.584346
390.000000,2.628075,2.627450,2.627622,2.626061,2.624048
400.000000,2.675950,2.675899,2.675763,2.675112,2.673261
410.000000,2.739351,2.738696,2.738296,2.737247,2.735455
420.000000,2.760470,2.760251,2.759508,2.759475,2.757869
430.000000,2.836904,2.835955,2.835147,2.834889,2.833439
440.000000,2.889920,2.888972,2.887852,2.887548,2.886287
450.000000,2.904549,2.903315,2.902225,2.901884,2.900047
460.000000,2.970658,2.969496,2.968362,2.968468,2.966560
470.000000,3.067206,3.067159,3.064977,3.065451,3.063876
480.000000,3.086966,3.086588,3.084196,3.084962,3.083144
490.000000,3.112177,3.111666,3.109241,3.110165,3.108313
500.000000,3.185046,3.184795,3.181549,3.183214,3.181414
510.000000,3.223238,3.222591,3.219013,3.221187,3.219572
520.000000,3.263396,3.262438,3.259115,3.260945,3.259370
530.000000,3.337648,3.337674,3.333992,3.336471,3.334653
540.000000,3.382118,3.382131,3.378155,3.380694,3.378655
550.000000,3.393599,3.393913,3.389439,3.392661,3.390799
560.000000,3.488401,3.489440,3.484268,3.487565,3.485670
570.000000,3.533635,3.534655,3.529027,3.533042,3.531126
580.000000,3.572099,3.572884,3.567095,3.571529,3.569288
590.000000,3.627472,3.628470,3.621980,3.627199,3.624929
600.000000,3.690033,3.691465,3.683641,3.689828,3.688354
610.000000,3.710388,3.711511,3.704068,3.710511,3.708524
620.000000,3.768624,3.770961,3.762899,3.769723,3.768021
630.000000,3.849938,3.852530,3.843588,3.851436,3.849518
640.000000,3.884847,3.887777,3.878635,3.886676,3.885218
650.000000,3.897989,3.901169,3.891942,3.900352,3.898856
660.000000,3.956262,3.959520,3.949586,3.958710,3.957396
670.000000,4.012439,4.016146,4.005195,4.015224,4.014159
680.000000,4.047083,4.051509,4.040115,4.051135,4.049869
690.000000,4.106268,4.111700,4.098969,4.111124,4.110104
700.000000,4.144243,4.148515,4.136577,4.148076,4.146953
710.000000,4.209515,4.215811,4.201731,4.215717,4.215267
720.000000,4.239822,4.246368,4.231973,4.246277,4.245790
730.000000,4.281173,4.287655,4.272888,4.287856,4.286946
740.000000,4.357019,4.365186,4.348387,4.365381,4.365081
750.000000,4.378027,4.386872,4.370110,4.387323,4.387640
760.000000,4.423315,4.432881,4.415174,4.433433,4.433309
770.000000,4.486185,4.497229,4.477394,4.498279,4.498760
780.000000,4.508381,4.519446,4.499887,4.520707,4.521297
790.000000,4.574902,4.587783,4.566140,4.588662,4.589622
800.000000,4.614310,4.626684,4.605512,4.628341,4.629283
810.000000,4.675167,4.688650,4.665266,4.690379,4.691445
820.000000,4.697663,4.712295,4.688802,4.714539,4.715701
830.000000,4.782646,4.798964,4.772904,4.801418,4.803353
840.000000,4.835255,4.852156,4.825843,4.854548,4.856578
850.000000,4.853081,4.871632,4.843377,4.874661,4.876960
860.000000,4.876172,4.895211,4.866205,4.898543,4.900941
870.000000,4.978151,4.997923,4.967773,5.001835,5.004287
880.000000,5.003141,5.025085,4.991896,5.029243,5.032440
890.000000,5.008797,5.031012,4.997765,5.035070,5.038244
897.736213,5.070248,5.093730,5.059864,5.098376,5.102010
902.736213,5.096916,5.121635,5.085714,5.126958,5.130893
907.736213,5.108531,5.133772,5.096712,5.138755,5.142659
912.736213,5.113052,5.138314,5.101418,5.143057,5.146927
917.736213,5.118477,5.144282,5.107389,5.149767,5.153739
922.736213,5.185870,5.212857,5.173214,5.218690,5.222966
