?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm],E.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.057764,0.058665,0.057224,0.058704,0.059332
20.000000,0.160516,0.161829,0.161318,0.162052,0.162727
30.000000,0.196409,0.196385,0.197327,0.197381,0.198728
40.000000,0.216448,0.216616,0.217591,0.217118,0.218373
50.000000,0.320510,0.319786,0.320769,0.320568,0.321653
60.000000,0.376043,0.375454,0.375413,0.376190,0.376417
70.000000,0.411723,0.412722,0.412100,0.412632,0.413420
80.000000,0.472236,0.470580,0.471840,0.472014,0.472847
90.000000,0.546662,0.545804,0.547619,0.546870,0.549033
100.000000,0.575184,0.573749,0.575118,0.574840,0.575989
110.000000,0.632189,0.631934,0.633286,0.632665,0.633516
120.000000,0.668734,0.669188,0.671064,0.670134,0.671611
130.000000,0.737041,0.737269,0.740163,0.738201,0.738837
140.000000,0.800314,0.801067,0.803476,0.801580,0.802857
150.000000,0.838057,0.839314,0.842340,0.840565,0.841137
160.000000,0.892424,0.893144,0.897919,0.894581,0.895671
170.000000,0.943276,0.944859,0.949125,0.945473,0.946807
180.000000,1.016374,1.018727,1.022961,1.019985,1.021392
190.000000,1.064045,1.066534,1.070962,1.067698,1.070044
200.000000,1.118743,1.120367,1.124910,1.121131,1.122402
210.000000,1.174796,1.176024,1.181422,1.177846,1.178930
220.000000,1.262631,1.265181,1.271129,1.266328,1.267574
230.000000,1.309730,1.311674,1.318509,1.313687,1.314549
240.000000,1.335193,1.338561,1.343987,1.340133,1.340446
250.000000,1.466310,1.469461,1.475347,1.470750,1.471813
260.000000,1.547950,1.551093,1.556114,1.552294,1.553169
270.000000,1.609860,1.611724,1.617433,1.613218,1.614498
280.000000,1.666955,1.668788,1.675369,1.670745,1.672848
290.000000,1.767722,1.769625,1.775638,1.770932,1.772045
300.000000,1.856115,1.857639,1.864582,1.859604,1.860987
310.000000,1.991670,1.992773,1.999971,1.994937,1.996247
320.000000,2.041706,2.042695,2.047699,2.044472,2.045456
330.000000,2.067073,2.067821,2.072446,2.069169,2.071407
340.000000,2.167953,2.167128,2.170596,2.168875,2.170675
350.000000,2.206715,2.207450,2.211351,2.209429,2.210580
360.000000,2.219693,2.220163,2.224198,2.221962,2.223909
370.000000,2.333192,2.332520,2.336650,2.335062,2.337206
380.000000,2.378756,2.378304,2.382984,2.379954,2.382377
390.000000,2.415166,2.414362,2.419041,2.416392,2.418769
400.000000,2.433842,2.433615,2.437738,2.435667,2.436567
410.000000,2.530083,2.530143,2.534113,2.532204,2.534822
420.000000,2.567758,2.567819,2.571968,2.569508,2.571812
430.000000,2.589880,2.589708,2.593746,2.592371,2.594408
440.000000,2.642030,2.641900,2.646150,2.644490,2.646572
450.000000,2.683545,2.683139,2.687203,2.685971,2.687986
