?? [s],A.dY [mm],B.dY [mm],C.dY [mm],D.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000
5.000175,-0.000985,-0.000885,-0.001104,-0.000490
10.000175,-0.000133,-0.000035,-0.000234,-0.000520
15.000175,0.002025,0.002384,0.001544,0.002055
39.200427,0.331918,0.330517,0.326786,0.329890
39.820208,0.338173,0.336968,0.332984,0.336111
40.320208,0.339665,0.338725,0.334825,0.338353
40.820208,0.344433,0.342593,0.338569,0.342459
41.320208,0.348443,0.346935,0.342392,0.346802
41.820208,0.351074,0.349793,0.345686,0.349344
42.320208,0.353469,0.352049,0.347856,0.351128
42.820208,0.355555,0.353988,0.349388,0.353384
43.320208,0.357336,0.355725,0.351463,0.355313
43.820208,0.359386,0.357920,0.353571,0.357473
44.320208,0.361006,0.359324,0.355371,0.359513
44.820208,0.364961,0.363079,0.359066,0.363022
45.320208,0.368652,0.366961,0.363039,0.366291
45.820208,0.372276,0.370371,0.366615,0.369885
67.243944,0.442002,0.440929,0.437302,0.440561
77.243944,0.493974,0.493063,0.489783,0.492711
87.243944,0.543084,0.542003,0.539322,0.541512
97.243944,0.594044,0.593738,0.591085,0.592920
107.243944,0.644478,0.643820,0.641370,0.643411
117.243944,0.702191,0.701277,0.698373,0.700733
127.243944,0.746640,0.745958,0.743034,0.745966
137.243944,0.844512,0.843977,0.840945,0.843521
147.243944,0.883318,0.883394,0.880288,0.882927
157.243944,0.913649,0.913635,0.910302,0.913311
167.243944,1.028065,1.027410,1.024433,1.027274
177.243944,1.092490,1.092659,1.089449,1.091752
187.243944,1.119451,1.119514,1.116315,1.118898
197.243944,1.224065,1.224014,1.220125,1.223026
207.243944,1.298895,1.298817,1.294991,1.297883
217.243944,1.333826,1.333494,1.329111,1.332795
227.243944,1.461830,1.460865,1.456802,1.460064
237.243944,1.531434,1.531167,1.526915,1.530218
247.243944,1.604491,1.603839,1.599765,1.602715
257.243944,1.692195,1.691642,1.687859,1.690711
267.243944,1.771995,1.771712,1.767435,1.770994
277.243944,1.868175,1.867787,1.863481,1.866514
287.243944,1.924886,1.924340,1.919866,1.923318
297.243944,2.032319,2.032296,2.028228,2.031611
307.243944,2.081488,2.081537,2.077163,2.080202
317.243944,2.165668,2.165561,2.162173,2.165059
327.243944,2.220031,2.220561,2.216412,2.219475
337.243944,2.255331,2.255911,2.252191,2.255873
347.243944,2.334971,2.336317,2.332618,2.336338
357.243944,2.365850,2.367829,2.364123,2.367339
367.243944,2.389157,2.391263,2.387431,2.390267
377.243944,2.441216,2.443676,2.439595,2.443506
387.243944,2.496677,2.499404,2.495165,2.498815
397.243944,2.534106,2.537296,2.533123,2.536630
407.243944,2.597897,2.601634,2.597207,2.601228
417.243944,2.640054,2.643674,2.638636,2.642910
427.243944,2.694055,2.698336,2.692811,2.697383
437.243944,2.730111,2.734453,2.729013,2.734149
447.243944,2.785456,2.790966,2.784808,2.789979
457.243944,2.864934,2.870751,2.864454,2.871004
467.243944,2.922947,2.929522,2.922068,2.929340
477.243944,2.949250,2.955647,2.948694,2.956189
487.243944,2.967841,2.974455,2.966969,2.974671
497.243944,3.069293,3.077565,3.068874,3.077639
507.243944,3.100946,3.108982,3.100313,3.110076
517.243944,3.119934,3.128443,3.119057,3.128523
527.243944,3.196846,3.205910,3.195891,3.206644
537.243944,3.225664,3.235172,3.224387,3.235960
547.243944,3.280194,3.290903,3.279485,3.292155
557.243944,3.325350,3.336651,3.324474,3.338190
567.243944,3.354483,3.366423,3.353236,3.368036
577.243944,3.439568,3.452532,3.438144,3.453903
587.243944,3.470449,3.483678,3.469353,3.486024
597.243944,3.501086,3.515147,3.499450,3.517581
607.243944,3.586236,3.601858,3.584447,3.604344
617.243944,3.615806,3.631624,3.614369,3.634308
627.243944,3.632486,3.649491,3.630637,3.651546
637.243944,3.690183,3.708303,3.688336,3.711126
647.243944,3.732758,3.752177,3.731491,3.755084
657.243944,3.775322,3.795830,3.774116,3.798751
667.243944,3.847866,3.869878,3.846611,3.873156
677.243944,3.887903,3.910547,3.886696,3.914455
687.243944,3.904645,3.928517,3.903318,3.931790
697.243944,3.966905,3.992537,3.966094,3.996378
707.243944,4.000082,4.026282,3.998971,4.030561
717.243944,4.054882,4.082292,4.053831,4.087140
727.243944,4.104629,4.134060,4.103702,4.139381
737.243944,4.131845,4.162079,4.130792,4.167809
747.243944,4.179240,4.211218,4.178769,4.216482
757.243944,4.226108,4.260041,4.225629,4.265500
767.243944,4.273169,4.308448,4.273248,4.314538
777.243944,4.313891,4.350530,4.313633,4.356994
787.243944,4.379270,4.417702,4.379258,4.424033
797.243944,4.403117,4.443367,4.403369,4.450279
807.243944,4.454309,4.496471,4.454906,4.503790
817.243944,4.505131,4.549981,4.506385,4.557758
827.243944,4.555111,4.600795,4.556418,4.609004
837.243944,4.591934,4.638925,4.593148,4.647332
847.243944,4.650545,4.700221,4.652349,4.709085
857.243944,4.686578,4.738937,4.688749,4.748105
867.243944,4.734701,4.789647,4.737590,4.798861
905.335361,4.901376,4.964638,4.906148,4.975763
910.335508,4.921289,4.986068,4.925669,4.997402
915.335508,4.932946,4.998849,4.938261,5.010548
920.335508,4.947314,5.014734,4.953192,5.026903
925.335508,4.984780,5.053419,4.990873,5.064889
930.335508,5.002182,5.073230,5.008744,5.084602
935.335508,5.014600,5.086912,5.021551,5.098883
940.335508,5.046111,5.119434,5.053743,5.131276
945.335508,5.084514,5.161880,5.093370,5.174260
950.335508,5.101021,5.180567,5.110332,5.193455
955.335508,5.128685,5.208833,5.138298,5.221515
960.335508,5.134179,5.214711,5.143887,5.226864
965.335508,5.157748,5.240606,5.168249,5.253646
970.335508,5.174971,5.261713,5.186854,5.274479
975.335508,5.187799,5.275835,5.199759,5.289043
980.335508,5.221442,5.310763,5.234196,5.324234
985.335508,5.237906,5.329752,5.250966,5.343620
990.335508,5.254065,5.349156,5.268734,5.362900
995.335508,5.294470,5.391686,5.310138,5.405559
1000.335508,5.312764,5.413318,5.329457,5.427418
1005.335508,5.328479,5.432389,5.346229,5.446694
1010.335508,5.341741,5.449773,5.361616,5.464233
1015.335508,5.360153,5.471929,5.381293,5.486524
1020.335508,5.396587,5.509259,5.418386,5.523849
1025.335508,5.413272,5.530092,5.436566,5.545591
1030.335508,5.422768,5.545014,5.448088,5.560120
1035.335508,5.443821,5.573411,5.472986,5.589421
1040.335508,5.474726,5.605294,5.504107,5.620463
1045.335508,5.500688,5.639917,5.534456,5.656172
1050.335508,5.516413,5.671062,5.558798,5.688038
1055.335508,5.530243,5.692675,5.576048,5.709416
1060.335508,5.531737,5.697548,5.578993,5.714244
1065.335508,5.561768,5.730324,5.610831,5.746052
1070.335508,5.580941,5.751396,5.630755,5.768598
1075.335508,5.596700,5.787562,5.658011,5.804721
1080.335508,5.601054,5.806498,5.670000,5.823476
1085.335508,5.605744,5.822915,5.680952,5.840504
1090.335508,5.611962,5.879726,5.716383,5.896939
1095.335508,5.586509,5.929220,5.736488,5.946455
1100.335508,4.439369,6.633661,5.624346,6.626708
1105.335508,4.443601,6.637444,5.628392,6.630801
