?? [s],A 1.dY [mm],A 2.dY [mm],B2.dY [mm],B 1.dY [mm],C2.dY [mm],C 1.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.000280,0.000232,0.000318,0.000180,0.000196,0.000237
20.000000,0.000446,0.000441,0.000377,0.000366,0.000371,0.000346
30.000000,0.001073,0.000995,0.000876,0.000741,0.000931,0.001048
40.000000,0.017855,0.017885,0.017351,0.017263,0.017469,0.017537
50.000000,0.114044,0.113936,0.113319,0.113204,0.113051,0.113116
60.000000,0.243728,0.243854,0.242253,0.242382,0.242060,0.242292
70.000000,0.390323,0.390500,0.388159,0.388715,0.388234,0.388625
80.000000,0.484047,0.484308,0.481158,0.481841,0.481614,0.482227
90.000000,0.584369,0.584291,0.581379,0.581803,0.581396,0.582054
100.000000,0.693819,0.693611,0.690586,0.690859,0.690173,0.690875
110.000000,0.823835,0.823750,0.820754,0.820855,0.819241,0.819932
120.000000,0.976100,0.976056,0.972983,0.973284,0.970755,0.971446
130.000000,1.137515,1.137486,1.134766,1.135148,1.131609,1.132459
140.000000,1.303340,1.303116,1.300424,1.301026,1.297322,1.298266
150.000000,1.462663,1.462591,1.459385,1.460155,1.457054,1.457893
160.000000,1.614756,1.614723,1.610777,1.611309,1.609453,1.610155
170.000000,1.740789,1.741013,1.735936,1.736707,1.735578,1.736266
180.000000,1.845606,1.845836,1.839966,1.840786,1.839685,1.840511
190.000000,1.937383,1.937497,1.930678,1.932060,1.930250,1.931410
200.000000,2.038062,2.037754,2.030415,2.031768,2.029595,2.030819
210.000000,2.138137,2.137662,2.129307,2.130532,2.127984,2.129486
220.000000,2.244585,2.244093,2.234625,2.235816,2.232734,2.234361
230.000000,2.354153,2.353704,2.343346,2.344795,2.341053,2.342926
240.000000,2.462822,2.462328,2.450561,2.452483,2.448352,2.450388
250.000000,2.561165,2.560578,2.547439,2.549478,2.545192,2.547430
260.000000,2.657534,2.656973,2.641821,2.644004,2.639305,2.641796
270.000000,2.753410,2.752817,2.735777,2.738043,2.732732,2.735558
280.000000,2.845881,2.845170,2.825908,2.828824,2.822731,2.825717
290.000000,2.934535,2.933878,2.912087,2.915607,2.908780,2.912118
300.000000,3.025666,3.024894,3.000611,3.004808,2.997107,3.000688
