?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.087755,0.086975,0.086380
20.000000,0.218298,0.216084,0.214529
30.000000,0.358501,0.354977,0.352137
40.000000,0.452717,0.449060,0.445617
50.000000,0.553526,0.550512,0.546967
60.000000,0.644854,0.642681,0.639491
70.000000,0.737467,0.736105,0.733292
80.000000,0.833103,0.832336,0.829692
90.000000,0.953677,0.953439,0.950551
100.000000,1.098848,1.098768,1.095477
110.000000,1.258653,1.258211,1.254854
120.000000,1.426218,1.425628,1.422553
130.000000,1.592965,1.592365,1.589450
140.000000,1.758625,1.758635,1.755852
150.000000,1.899447,1.899628,1.896755
160.000000,2.025468,2.025766,2.022617
170.000000,2.129638,2.130323,2.126414
180.000000,2.222573,2.224432,2.220408
190.000000,2.312440,2.316094,2.312251
200.000000,2.400644,2.406193,2.402903
210.000000,2.487052,2.494460,2.490898
220.000000,2.568780,2.577788,2.573999
230.000000,2.650807,2.661727,2.657016
240.000000,2.737072,2.750240,2.745167
250.000000,2.817270,2.832973,2.827101
260.000000,2.900192,2.918250,2.912177
270.000000,2.983903,3.004558,2.997507
280.000000,3.067312,3.090587,3.082864
290.000000,3.152394,3.178386,3.169349
300.000000,3.237560,3.265948,3.255843
310.000000,3.321730,3.352885,3.341247
320.000000,3.407177,3.441229,3.428068
330.000000,3.492860,3.530051,3.515080
340.000000,3.579364,3.619346,3.602441
350.000000,3.662690,3.705669,3.686662
360.000000,3.746569,3.792531,3.771252
370.000000,3.835566,3.885068,3.861336
380.000000,3.922558,3.975459,3.949041
390.000000,4.004522,4.060760,4.031690
400.000000,4.084949,4.144406,4.112032
410.000000,4.167059,4.229940,4.194359
420.000000,4.255043,4.321638,4.281978
430.000000,4.342431,4.412754,4.369579
440.000000,4.427448,4.501559,4.454337
450.000000,4.514774,4.592957,4.541879
460.000000,4.598743,4.680901,4.625514
470.000000,4.659344,4.744530,4.685973
471.000014,4.691760,4.778731,4.718156
472.000014,4.706134,4.793954,4.732527
473.000014,4.720303,4.808908,4.746721
474.000014,4.732019,4.821617,4.758671
475.000014,4.742035,4.832121,4.768640
476.000014,4.750267,4.841038,4.776977
477.000014,4.757501,4.848500,4.783982
478.000014,4.762681,4.854059,4.789157
479.000014,4.767385,4.858700,4.793518
480.000014,4.771675,4.862698,4.797438
481.000014,4.775621,4.866928,4.801340
482.000014,4.779727,4.871422,4.805539
483.000014,4.785823,4.878220,4.812012
484.000014,4.794048,4.886915,4.820282
485.000014,4.804093,4.897404,4.830101
486.000014,4.815101,4.908996,4.840867
487.000014,4.827086,4.921684,4.852735
488.000014,4.839478,4.934866,4.865126
489.000014,4.851718,4.947942,4.877407
490.000014,4.863004,4.959753,4.888583
491.000014,4.871780,4.969289,4.897452
492.000014,4.880171,4.977889,4.905468
493.000014,4.887697,4.985743,4.912864
494.000014,4.893773,4.991828,4.918833
495.000014,4.898196,4.996663,4.923310
496.000014,4.902287,5.000949,4.927287
497.000014,4.906211,5.005312,4.931206
498.000014,4.912215,5.011983,4.937297
499.000014,4.920326,5.020873,4.945343
500.000014,4.931489,5.032689,4.956532
501.000014,4.944141,5.045897,4.969148
502.000014,4.956541,5.059182,4.981648
503.000014,4.969112,5.072572,4.993961
504.000014,4.979948,5.084074,5.004591
505.000014,4.988720,5.093375,5.013097
506.000014,4.996267,5.101617,5.020630
507.000014,5.002129,5.107945,5.026509
508.000014,5.008058,5.114149,5.032577
509.000014,5.013562,5.119788,5.037960
510.000014,5.019667,5.126219,5.043702
511.000014,5.025929,5.133028,5.049934
512.000014,5.033591,5.141433,5.057655
513.000014,5.044384,5.152914,5.068375
514.000014,5.057562,5.166789,5.080974
515.000014,5.070410,5.180308,5.093162
