?? [s],A 1.dY [mm],B 1.dY [mm],C 1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.000675,0.000684,0.000545
20.000000,0.001693,0.001697,0.001527
30.000000,0.003081,0.003028,0.002568
40.000000,0.043262,0.043667,0.043159
50.000000,0.151267,0.152470,0.151900
60.000000,0.277443,0.279526,0.279101
70.000000,0.410404,0.412898,0.412424
80.000000,0.509784,0.512593,0.511976
90.000000,0.627678,0.631110,0.630278
100.000000,0.731978,0.736156,0.735284
110.000000,0.850559,0.855336,0.854270
120.000000,0.988589,0.993412,0.992309
130.000000,1.147652,1.152519,1.151398
140.000000,1.307750,1.312482,1.311490
150.000000,1.469858,1.474636,1.473695
160.000000,1.631536,1.636118,1.635239
170.000000,1.793077,1.797753,1.796808
180.000000,1.927684,1.932727,1.931694
190.000000,2.042021,2.047737,2.046373
200.000000,2.139065,2.145661,2.143815
210.000000,2.248140,2.255086,2.252896
220.000000,2.353917,2.361312,2.358491
230.000000,2.462413,2.470251,2.466450
240.000000,2.558228,2.566788,2.561515
250.000000,2.654087,2.662753,2.656143
260.000000,2.742303,2.751537,2.743646
270.000000,2.828161,2.838091,2.828862
280.000000,2.914418,2.925872,2.914928
290.000000,3.005203,3.017873,3.005269
300.000000,3.096991,3.110850,3.096700
310.000000,3.186181,3.201206,3.185567
320.000000,3.268859,3.284923,3.267806
330.000000,3.350924,3.368435,3.349573
340.000000,3.437145,3.456135,3.435239
350.000000,3.529088,3.549778,3.526742
360.000000,3.623427,3.645637,3.620389
370.000000,3.709562,3.733375,3.706208
380.000000,3.795152,3.820814,3.791466
390.000000,3.880992,3.908475,3.876989
400.000000,3.971143,4.000447,3.966760
410.000000,4.059623,4.090663,4.054813
420.000000,4.143003,4.176011,4.137967
430.000000,4.230791,4.266098,4.225611
440.000000,4.320219,4.357788,4.314744
450.000000,4.413193,4.453073,4.407267
460.000000,4.500600,4.542482,4.494029
470.000000,4.560937,4.604364,4.554171
471.000014,4.594632,4.638937,4.587909
472.000014,4.604395,4.649034,4.597781
473.000014,4.612934,4.657706,4.606161
474.000014,4.619432,4.664370,4.612596
475.000014,4.625837,4.671033,4.619036
476.000014,4.632874,4.678307,4.626238
477.000014,4.639771,4.685564,4.633244
478.000014,4.646791,4.692783,4.640322
479.000014,4.655047,4.701158,4.648201
480.000014,4.666550,4.712974,4.659642
481.000014,4.679117,4.725933,4.672156
482.000014,4.690269,4.737579,4.683563
483.000014,4.699309,4.746711,4.692371
484.000014,4.706898,4.754467,4.700000
485.000014,4.713364,4.761120,4.706500
486.000014,4.718126,4.766250,4.711517
487.000014,4.722473,4.770864,4.715801
488.000014,4.728652,4.777309,4.721928
489.000014,4.738277,4.787151,4.731347
490.000014,4.750590,4.799846,4.743649
491.000014,4.764587,4.814216,4.757599
492.000014,4.778101,4.828042,4.771101
493.000014,4.789425,4.839730,4.782437
494.000014,4.799054,4.849747,4.792199
495.000014,4.806624,4.857707,4.799915
496.000014,4.813712,4.864899,4.806790
497.000014,4.818816,4.870064,4.811805
498.000014,4.822606,4.873855,4.815441
499.000014,4.826671,4.877984,4.819632
500.000014,4.832474,4.884040,4.825546
501.000014,4.840706,4.892767,4.833922
502.000014,4.852236,4.904777,4.845377
503.000014,4.864832,4.917714,4.857841
504.000014,4.877853,4.931033,4.870722
505.000014,4.889197,4.942696,4.882074
506.000014,4.899346,4.953102,4.892127
507.000014,4.908042,4.962025,4.900871
508.000014,4.914899,4.969313,4.907944
509.000014,4.921449,4.976333,4.914794
510.000014,4.929354,4.984582,4.922696
511.000014,4.937740,4.993101,4.930893
512.000014,4.945591,5.001105,4.938551
513.000014,4.953499,5.009344,4.946614
514.000014,4.961427,5.017578,4.954694
515.000014,4.969151,5.025487,4.962457
516.000014,4.976274,5.032716,4.969320
517.000014,4.984432,5.041037,4.977334
518.000014,4.993037,5.050050,4.986069
519.000014,5.002370,5.059961,4.995741
520.000014,5.013309,5.071280,5.006618
521.000014,5.026087,5.084452,5.019192
522.000014,5.037872,5.096495,5.030816
523.000014,5.048211,5.107492,5.041368
524.000014,5.056445,5.116080,5.049558
525.000014,5.063875,5.123798,5.056861
526.000014,5.070671,5.130665,5.063584
527.000014,5.075548,5.135735,5.068596
528.000014,5.080093,5.140467,5.073330
529.000014,5.082877,5.143458,5.076208
530.000014,5.087977,5.148874,5.081370
531.000014,5.096616,5.157853,5.089871
532.000014,5.109630,5.171349,5.102805
533.000014,5.125359,5.187617,5.118467
534.000014,5.141763,5.204512,5.134893
535.000014,5.155907,5.219217,5.149193
536.000014,5.167486,5.231246,5.160830
537.000014,5.177413,5.241582,5.170559
538.000014,5.185193,5.249478,5.178040
539.000014,5.192136,5.256610,5.184887
540.000014,5.197134,5.261810,5.190035
541.000014,5.202457,5.267557,5.195492
542.000014,5.205879,5.271211,5.198978
543.000014,5.208455,5.274046,5.201603
544.000014,5.211402,5.277137,5.204646
545.000014,5.215231,5.281141,5.208525
546.000014,5.222140,5.288155,5.215338
547.000014,5.232003,5.298377,5.225133
