?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,-0.003179,-0.003271,-0.003256
20.000000,0.002254,0.002374,0.001925
30.000000,0.073587,0.073682,0.072579
40.000000,0.179652,0.180069,0.178234
50.000000,0.299327,0.300124,0.297567
60.000000,0.387136,0.388493,0.385265
70.000000,0.494562,0.495786,0.492124
80.000000,0.639482,0.640760,0.637140
90.000000,0.802738,0.803963,0.800555
100.000000,0.972963,0.974749,0.971366
110.000000,1.135258,1.137118,1.133745
120.000000,1.281499,1.283555,1.280124
130.000000,1.406150,1.408259,1.404778
140.000000,1.513706,1.516214,1.512477
150.000000,1.618203,1.621575,1.617508
160.000000,1.722584,1.726481,1.722021
170.000000,1.824901,1.829456,1.824368
180.000000,1.927665,1.932313,1.926441
190.000000,2.030249,2.035882,2.029078
200.000000,2.131252,2.137464,2.129805
210.000000,2.231921,2.239213,2.230703
220.000000,2.332625,2.340923,2.331389
230.000000,2.435619,2.445700,2.434996
240.000000,2.534531,2.546017,2.534060
250.000000,2.630843,2.643555,2.630405
260.000000,2.727357,2.740986,2.726557
270.000000,2.828859,2.844689,2.828877
280.000000,2.924457,2.941789,2.924471
290.000000,3.017942,3.036716,3.017996
300.000000,3.112527,3.131805,3.111511
310.000000,3.208684,3.229438,3.207360
320.000000,3.302601,3.325490,3.301494
330.000000,3.393482,3.418732,3.393208
340.000000,3.451861,3.478985,3.452863
350.000000,3.497243,3.525988,3.498942
360.000000,3.550774,3.582056,3.553253
370.000000,3.631705,3.665652,3.634227
380.000000,3.729050,3.765549,3.731545
390.000000,3.816495,3.855412,3.819043
400.000000,3.907698,3.949011,3.910170
410.000000,3.992385,4.036453,3.995119
420.000000,4.079503,4.125420,4.081706
430.000000,4.169162,4.217668,4.171355
440.000000,4.262164,4.313280,4.264353
450.000000,4.349658,4.403637,4.351991
460.000000,4.434095,4.491158,4.436651
470.000000,4.516804,4.577361,4.520002
480.000000,4.609656,4.673287,4.612710
490.000000,4.700646,4.767918,4.704225
500.000000,4.793066,4.863940,4.796865
510.000000,4.875965,4.950233,4.879823
520.000000,4.962949,5.041183,4.967149
530.000000,5.046431,5.128501,5.050715
540.000000,5.135415,5.221227,5.139248
550.000000,5.223122,5.313088,5.226291
560.000000,5.312351,5.405793,5.313884
570.000000,5.393899,5.492384,5.394846
580.000000,5.480668,5.584132,5.479764
590.000000,5.540921,5.648537,5.538751
591.000014,5.579245,5.689742,5.576402
592.000014,5.584007,5.695006,5.581017
593.000014,5.588905,5.700517,5.585912
594.000014,5.594031,5.705854,5.590568
595.000014,5.600408,5.712520,5.596475
596.000014,5.609661,5.722725,5.605911
597.000014,5.620327,5.734265,5.616562
598.000014,5.633751,5.749471,5.630777
599.000014,5.644681,5.762060,5.642202
600.000014,5.655793,5.774040,5.653133
601.000014,5.664584,5.782868,5.660669
602.000014,5.672541,5.790392,5.666971
603.000014,5.678077,5.796613,5.671978
604.000014,5.682859,5.801839,5.676395
605.000014,5.687246,5.807153,5.680765
606.000014,5.695158,5.815821,5.688485
607.000014,5.705457,5.827230,5.698616
608.000014,5.720047,5.842817,5.712967
609.000014,5.732471,5.856330,5.724830
610.000014,5.744295,5.870057,5.736815
611.000014,5.752392,5.879812,5.744705
612.000014,5.762337,5.890919,5.754054
613.000014,5.769511,5.898406,5.759952
614.000014,5.776811,5.906148,5.766178
615.000014,5.780840,5.910989,5.770001
616.000014,5.784506,5.915311,5.773288
617.000014,5.789172,5.920670,5.777740
