?? [s],a 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.003828,0.003991,0.003802
20.000000,0.065370,0.064980,0.063278
30.000000,0.209465,0.208977,0.205832
40.000000,0.403058,0.402882,0.398584
50.000000,0.551016,0.551551,0.547681
60.000000,0.623671,0.624529,0.620984
70.000000,0.715766,0.716694,0.712966
80.000000,0.839162,0.840921,0.836893
90.000000,0.982859,0.985297,0.981190
100.000000,1.132531,1.135217,1.131473
110.000000,1.277266,1.279738,1.276127
120.000000,1.456145,1.458537,1.454786
130.000000,1.610118,1.612288,1.608032
140.000000,1.758143,1.760135,1.755244
150.000000,1.881466,1.883437,1.877830
160.000000,1.987388,1.989916,1.983655
170.000000,2.093299,2.096572,2.089633
180.000000,2.195581,2.199687,2.191943
190.000000,2.298714,2.303552,2.295079
200.000000,2.401586,2.407344,2.398003
210.000000,2.505230,2.511951,2.501681
220.000000,2.609248,2.617159,2.605587
230.000000,2.711853,2.720851,2.708074
240.000000,2.810981,2.821048,2.806866
250.000000,2.909171,2.920419,2.904891
260.000000,3.013622,3.026122,3.008724
270.000000,3.113288,3.126957,3.107710
280.000000,3.208569,3.223511,3.202309
290.000000,3.240888,3.254228,3.234120
300.000000,3.247861,3.259519,3.240860
310.000000,3.266869,3.278079,3.259115
320.000000,3.335178,3.349108,3.326950
330.000000,3.441203,3.458607,3.432249
340.000000,3.526345,3.545625,3.516739
350.000000,3.624927,3.646124,3.614525
360.000000,3.715225,3.738229,3.703980
370.000000,3.814577,3.839945,3.802890
380.000000,3.906020,3.933826,3.893775
390.000000,3.993163,4.023185,3.980426
400.000000,4.081757,4.114119,4.068371
410.000000,4.173829,4.208767,4.159875
420.000000,4.266462,4.304171,4.252048
430.000000,4.352078,4.392476,4.337180
440.000000,4.441211,4.484535,4.426014
450.000000,4.529774,4.576148,4.514339
460.000000,4.616659,4.666221,4.600895
470.000000,4.672614,4.724231,4.656586
471.000014,4.707119,4.759998,4.690863
472.000014,4.720122,4.773356,4.703868
473.000014,4.733198,4.786881,4.716922
474.000014,4.745417,4.799611,4.729052
475.000014,4.757506,4.812254,4.741121
476.000014,4.766743,4.822070,4.750365
477.000014,4.774997,4.830690,4.758652
478.000014,4.781728,4.837753,4.765340
479.000014,4.788029,4.844138,4.771541
480.000014,4.792960,4.849230,4.776390
481.000014,4.796940,4.853348,4.780334
482.000014,4.801646,4.858219,4.784910
483.000014,4.807706,4.864653,4.791030
484.000014,4.819190,4.876536,4.802511
485.000014,4.832993,4.890944,4.816469
486.000014,4.848410,4.906880,4.831884
487.000014,4.862701,4.921774,4.846199
488.000014,4.874449,4.934027,4.857790
489.000014,4.884514,4.944598,4.867686
490.000014,4.892021,4.952503,4.875087
491.000014,4.899006,4.959820,4.882089
492.000014,4.904834,4.965904,4.887945
493.000014,4.910418,4.971726,4.893549
494.000014,4.915251,4.976911,4.898437
495.000014,4.920795,4.982660,4.903897
496.000014,4.925714,4.987742,4.908694
497.000014,4.932405,4.994610,4.915222
498.000014,4.942618,5.005203,4.925469
499.000014,4.957242,5.020290,4.940237
500.000014,4.972294,5.035908,4.955449
501.000014,4.984377,5.048568,4.967695
502.000014,4.993328,5.058075,4.976707
503.000014,5.001000,5.066066,4.984228
504.000014,5.007562,5.072867,4.990603
505.000014,5.012352,5.077981,4.995288
506.000014,5.016967,5.083018,5.000041
507.000014,5.022989,5.089440,5.006139
508.000014,5.033130,5.099885,5.016194
509.000014,5.045883,5.113152,5.028860
510.000014,5.060041,5.127951,5.043089
511.000014,5.073076,5.141583,5.056112
512.000014,5.083942,5.153055,5.066896
513.000014,5.093815,5.163438,5.076603
514.000014,5.101142,5.171368,5.083952
515.000014,5.107592,5.178156,5.090503
516.000014,5.112397,5.183239,5.095294
517.000014,5.116151,5.187252,5.099080
518.000014,5.120927,5.192269,5.103690
519.000014,5.126894,5.198605,5.109500
520.000014,5.137306,5.209384,5.119861
521.000014,5.149976,5.222560,5.132599
522.000014,5.164541,5.237774,5.147162
523.000014,5.177217,5.251289,5.159893
524.000014,5.188038,5.262858,5.170743
525.000014,5.196157,5.271516,5.179022
526.000014,5.203818,5.279517,5.186489
527.000014,5.210428,5.286362,5.192888
528.000014,5.215488,5.291750,5.197805
529.000014,5.219481,5.296015,5.201828
530.000014,5.222610,5.299563,5.205053
531.000014,5.227655,5.304922,5.210157
532.000014,5.236220,5.314031,5.218895
533.000014,5.248182,5.326520,5.230866
534.000014,5.262468,5.341464,5.245216
535.000014,5.275138,5.354780,5.257760
536.000014,5.286865,5.367193,5.269463
537.000014,5.295652,5.376552,5.278075
538.000014,5.303076,5.384594,5.285543
539.000014,5.310232,5.392327,5.292732
540.000014,5.316023,5.398620,5.298735
541.000014,5.320076,5.403011,5.302793
542.000014,5.323204,5.406433,5.305978
543.000014,5.328512,5.412074,5.311162
544.000014,5.338513,5.422663,5.321226
545.000014,5.351192,5.436009,5.333974
546.000014,5.366131,5.451735,5.348894
547.000014,5.380649,5.467074,5.363400
548.000014,5.392767,5.480092,5.375448
549.000014,5.403730,5.492104,5.386624
550.000014,5.411852,5.501007,5.394673
551.000014,5.419361,5.509075,5.402063
552.000014,5.425117,5.515275,5.407757
553.000014,5.430162,5.520785,5.412915
554.000014,5.435656,5.526800,5.418576
