?? [s],a.dY [mm],b.dY [mm],c.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.054881,0.054546,0.054208
20.000000,0.143792,0.143332,0.142385
30.000000,0.265430,0.264775,0.263855
40.000000,0.371477,0.371411,0.371072
50.000000,0.479771,0.480015,0.480398
60.000000,0.580153,0.580757,0.581613
70.000000,0.694870,0.695381,0.696222
80.000000,0.824046,0.824922,0.825807
90.000000,0.970496,0.971291,0.972000
100.000000,1.123375,1.124122,1.124726
110.000000,1.286264,1.286766,1.287274
120.000000,1.449641,1.450102,1.450666
130.000000,1.609503,1.609941,1.611008
140.000000,1.767565,1.768082,1.769595
150.000000,1.905460,1.905935,1.907552
160.000000,2.024499,2.025066,2.026395
170.000000,2.122696,2.123216,2.124025
180.000000,2.227366,2.228024,2.228624
190.000000,2.333397,2.334094,2.334089
200.000000,2.436348,2.437088,2.436586
210.000000,2.538983,2.539984,2.538645
220.000000,2.644328,2.645840,2.644062
230.000000,2.755062,2.757190,2.754901
240.000000,2.845186,2.847228,2.845121
250.000000,2.917958,2.920565,2.917596
260.000000,2.988912,2.992150,2.988369
270.000000,3.073137,3.077814,3.072416
280.000000,3.172763,3.178446,3.172092
290.000000,3.270428,3.277522,3.269869
300.000000,3.371751,3.380467,3.371328
310.000000,3.467416,3.477958,3.467248
320.000000,3.559691,3.571847,3.559588
330.000000,3.651735,3.665814,3.651785
340.000000,3.742728,3.759012,3.742891
350.000000,3.836842,3.855789,3.837317
360.000000,3.929939,3.951376,3.930759
370.000000,4.024848,4.048797,4.025815
380.000000,4.115294,4.141744,4.116096
390.000000,4.205150,4.234491,4.205602
400.000000,4.294717,4.326664,4.294611
410.000000,4.387613,4.422365,4.387046
420.000000,4.473871,4.511311,4.472703
430.000000,4.562056,4.602526,4.560378
440.000000,4.649869,4.693779,4.647671
450.000000,4.745815,4.793375,4.743114
460.000000,4.834338,4.885719,4.831248
470.000000,4.897116,4.950970,4.893773
471.000014,4.931215,4.986511,4.927785
472.000014,4.944398,5.000275,4.940903
473.000014,4.955408,5.011791,4.951721
474.000014,4.965097,5.022038,4.961356
475.000014,4.973269,5.030517,4.969521
476.000014,4.980626,5.038129,4.976793
477.000014,4.986241,5.043909,4.982249
478.000014,4.990771,5.048710,4.986681
479.000014,4.995055,5.053372,4.990983
480.000014,4.999782,5.058486,4.995692
481.000014,5.005150,5.064106,5.000962
482.000014,5.012217,5.071470,5.008073
483.000014,5.020307,5.079811,5.016186
484.000014,5.031548,5.091555,5.027461
485.000014,5.044126,5.104653,5.039941
486.000014,5.057787,5.119023,5.053665
487.000014,5.070356,5.132262,5.066200
488.000014,5.082171,5.144827,5.078041
489.000014,5.091802,5.155042,5.087588
490.000014,5.100856,5.164458,5.096610
491.000014,5.108139,5.171935,5.103740
492.000014,5.114033,5.177985,5.109461
493.000014,5.118223,5.182461,5.113545
494.000014,5.121834,5.186409,5.117077
495.000014,5.126609,5.191551,5.121812
496.000014,5.134434,5.199777,5.129753
497.000014,5.145187,5.210987,5.140541
498.000014,5.158959,5.225505,5.154358
499.000014,5.172251,5.239465,5.167571
500.000014,5.184063,5.251924,5.179407
501.000014,5.194138,5.262384,5.189374
502.000014,5.202511,5.271339,5.197631
503.000014,5.209901,5.279293,5.204944
504.000014,5.215689,5.285524,5.210760
505.000014,5.220384,5.290407,5.215451
506.000014,5.224438,5.294710,5.219596
507.000014,5.229843,5.300315,5.224885
508.000014,5.238708,5.309684,5.233674
509.000014,5.251714,5.323267,5.246595
510.000014,5.268128,5.340519,5.263014
511.000014,5.284950,5.358262,5.279873
512.000014,5.299820,5.373932,5.294682
513.000014,5.312978,5.387972,5.307814
514.000014,5.323432,5.399035,5.318097
515.000014,5.331766,5.408027,5.326250
516.000014,5.338593,5.415458,5.333120
517.000014,5.344791,5.422051,5.339441
518.000014,5.349922,5.427499,5.344714
519.000014,5.353088,5.430859,5.347947
520.000014,5.355860,5.433898,5.350689
521.000014,5.358924,5.437153,5.353619
522.000014,5.363076,5.441622,5.357529
523.000014,5.369048,5.448042,5.363320
524.000014,5.377947,5.457599,5.372325
525.000014,5.390595,5.470817,5.385031
526.000014,5.404188,5.485234,5.398674
527.000014,5.418265,5.500094,5.412718
528.000014,5.430474,5.513199,5.424990
529.000014,5.440835,5.524330,5.435380
530.000014,5.448467,5.532661,5.442883
530.500026,5.453571,5.538222,5.447787
531.000026,5.456639,5.541572,5.450744
531.500026,5.458742,5.543798,5.452694
532.000026,5.460607,5.546010,5.454576
532.500026,5.462973,5.548663,5.456980
533.000026,5.465800,5.551787,5.459909
533.500026,5.468529,5.554675,5.462746
534.000026,5.470883,5.557249,5.465157
534.500026,5.473458,5.560052,5.467867
535.000026,5.476877,5.563733,5.471304
535.500026,5.481943,5.569049,5.476338
536.000026,5.488026,5.575535,5.482343
536.500026,5.494738,5.582634,5.488976
537.000026,5.500999,5.589350,5.495224
537.500026,5.507003,5.595838,5.501258
538.000026,5.512689,5.602054,5.507083
538.500026,5.518040,5.607801,5.512535
539.000026,5.523145,5.613196,5.517614
539.500026,5.528019,5.618317,5.522302
540.000026,5.532542,5.623236,5.526667
540.500026,5.536523,5.627691,5.530541
541.000026,5.539747,5.631293,5.533736
541.500026,5.542701,5.634561,5.536723
542.000026,5.545538,5.637716,5.539625
542.500026,5.548185,5.640799,5.542396
543.000026,5.550795,5.643799,5.545082
543.500026,5.553686,5.646962,5.548017
544.000026,5.557612,5.651185,5.551987
544.500026,5.561674,5.655482,5.556034
545.000026,5.565289,5.659339,5.559634
545.500026,5.568192,5.662460,5.562412
546.000026,5.571434,5.665941,5.565550
546.500026,5.575516,5.670457,5.569606
547.000026,5.581036,5.676437,5.575199
547.500026,5.587492,5.683540,5.581783
548.000026,5.594186,5.690918,5.588676
548.500026,5.600705,5.697971,5.595230
549.000026,5.606695,5.704430,5.601213
549.500026,5.612406,5.710394,5.606709
550.000026,5.617493,5.715921,5.611700
550.500026,5.621908,5.720791,5.616000
551.000026,5.625421,5.724895,5.619533
551.500026,5.628422,5.728370,5.622582
552.000026,5.631443,5.731948,5.625849
552.500026,5.634884,5.735743,5.629430
553.000026,5.637987,5.739235,5.632664
553.500026,5.640318,5.741766,5.634979
554.000026,5.641769,5.743444,5.636405
554.500026,5.643373,5.745299,5.637928
555.000026,5.646281,5.748409,5.640729
555.500026,5.650593,5.753021,5.644869
556.000026,5.655887,5.758611,5.650060
556.500026,5.661767,5.765024,5.655940
557.000026,5.667810,5.771740,5.662159
557.500026,5.673915,5.778532,5.668506
558.000026,5.680261,5.785508,5.675003
558.500026,5.687335,5.793074,5.682092
559.000026,5.694759,5.801078,5.689400
559.500026,5.701557,5.808475,5.696034
560.000026,5.706980,5.814720,5.701456
560.500026,5.711121,5.819574,5.705627
561.000026,5.714932,5.824167,5.709665
561.500026,5.719305,5.829149,5.714215
562.000026,5.724102,5.834517,5.719174
562.500026,5.728117,5.838919,5.723150
563.000026,5.731420,5.842534,5.726293
563.500026,5.734106,5.845532,5.728848
564.000026,5.736724,5.848519,5.731447
564.500026,5.738996,5.851163,5.733672
565.000026,5.741064,5.853669,5.735719
565.500026,5.743016,5.855963,5.737515
566.000026,5.744816,5.858130,5.739294
566.500026,5.746638,5.860216,5.741066
567.000026,5.748690,5.862603,5.743203
567.500026,5.750874,5.865178,5.745503
568.000026,5.753654,5.868360,5.748377
568.500026,5.757720,5.872974,5.752616
569.000026,5.764175,5.879917,5.759204
569.500026,5.771789,5.888079,5.766874
570.000026,5.779111,5.895896,5.774098
570.500026,5.785255,5.902686,5.780173
571.000026,5.791241,5.909492,5.786202
571.500026,5.797684,5.916848,5.792932
572.000026,5.804133,5.924201,5.799630
572.500026,5.809568,5.930419,5.805249
573.000026,5.814300,5.935931,5.809897
573.500026,5.818474,5.940710,5.813842
574.000026,5.822608,5.945489,5.817808
574.500026,5.826579,5.949980,5.821661
575.000026,5.830386,5.954545,5.825553
575.500026,5.833613,5.958517,5.828876
576.000026,5.836063,5.961689,5.831481
576.500026,5.837904,5.963969,5.833496
577.000026,5.839717,5.966176,5.835463
577.500026,5.841245,5.968241,5.837220
578.000026,5.842851,5.970374,5.839054
578.500026,5.844753,5.972740,5.841072
579.000026,5.847475,5.975816,5.843767
579.500026,5.851046,5.979797,5.847107
580.000026,5.854833,5.983910,5.850591
580.500026,5.860080,5.989536,5.855525
581.000026,5.866533,5.996568,5.861961
581.500026,5.874423,6.005456,5.870178
582.000026,5.882163,6.014349,5.878296
582.500026,5.889548,6.022858,5.885890
583.000026,5.896660,6.031019,5.892989
583.500026,5.903565,6.038908,5.899727
584.000026,5.909936,6.046548,5.906079
584.500026,5.915417,6.053379,5.911706
585.000026,5.920142,6.059596,5.916811
585.500026,5.924375,6.065079,5.921423
586.000026,5.928734,6.070605,5.926005
586.500026,5.932533,6.075357,5.929925
587.000026,5.935755,6.079425,5.933173
587.500026,5.938404,6.082625,5.935734
588.000026,5.941097,6.085748,5.938225
588.500026,5.944096,6.089182,5.940847
589.000026,5.946852,6.092494,5.943351
589.500026,5.949114,6.095407,5.945549
590.000026,5.951050,6.097927,5.947485
590.500026,5.953091,6.100763,5.949808
591.000026,5.954949,6.103317,5.951813
591.500026,5.956291,6.105397,5.953343
592.000026,5.957077,6.106543,5.954044
592.500026,5.957456,6.107243,5.954374
593.000026,5.958159,6.108274,5.955161
593.500026,5.959090,6.109605,5.956240
594.000026,5.960509,6.111529,5.957839
594.500026,5.962206,6.113578,5.959586
595.000026,5.964242,6.116087,5.961717
595.500026,5.967215,6.119594,5.964895
596.000026,5.970795,6.123914,5.968822
596.500026,5.974969,6.128708,5.973082
597.000026,5.980912,6.135247,5.978884
597.500026,5.988189,6.143184,5.985911
598.000026,5.996671,6.152680,5.994509
598.500026,6.004549,6.161920,6.002832
599.000026,6.012133,6.171043,6.010803
599.500026,6.019433,6.179894,6.018132
600.000026,6.026550,6.188614,6.024991
600.500026,6.033181,6.197092,6.031530
601.000026,6.039722,6.205939,6.038453
601.500026,6.046433,6.215152,6.045806
602.000026,6.053374,6.224475,6.053240
602.500026,6.059335,6.232407,6.059254
603.000026,6.063991,6.238726,6.063711
603.500026,6.067910,6.244100,6.067375
604.000026,6.071766,6.249436,6.071275
604.500026,6.075873,6.255055,6.075450
605.000026,6.079703,6.260399,6.079646
605.500026,6.083224,6.265410,6.083426
606.000026,6.085839,6.269270,6.086310
606.500026,6.087768,6.272432,6.088361
607.000026,6.089697,6.275463,6.090472
607.500026,6.092197,6.279069,6.093176
608.000026,6.095003,6.282782,6.096066
608.500026,6.097369,6.286075,6.098476
609.000026,6.098758,6.288273,6.099892
609.500026,6.099386,6.289698,6.100563
610.000026,6.099796,6.290667,6.100910
610.500026,6.100382,6.291733,6.101426
611.000026,6.101675,6.293425,6.102631
611.500026,6.103332,6.295508,6.104177
612.000026,6.105005,6.297731,6.105772
612.500026,6.106928,6.300230,6.107569
613.000026,6.109405,6.303306,6.109909
613.500026,6.112250,6.306866,6.112617
614.000026,6.116104,6.311666,6.116552
614.500026,6.121105,6.318071,6.122027
615.000026,6.128077,6.326572,6.129602
615.500026,6.135299,6.335382,6.137231
616.000026,6.142395,6.343911,6.144302
616.500026,6.148872,6.351928,6.150485
617.000026,6.154838,6.359738,6.156294
617.500026,6.160173,6.367435,6.161899
618.000026,6.164840,6.374702,6.167060
618.500026,6.168884,6.381341,6.171563
619.000026,6.172394,6.387238,6.175410
619.500026,6.175737,6.392886,6.179073
620.000026,6.179056,6.398239,6.182555
620.500026,6.182490,6.403548,6.185955
621.000026,6.185181,6.407802,6.188457
621.500026,6.187467,6.411672,6.190647
622.000026,6.189686,6.415253,6.192707
622.500026,6.192080,6.418990,6.195107
623.000026,6.193732,6.421725,6.196732
623.500026,6.194224,6.423361,6.197259
624.000026,6.194844,6.424964,6.197794
624.500026,6.197065,6.428382,6.200052
625.000026,6.200175,6.432727,6.203274
625.500026,6.203858,6.437799,6.207169
626.000026,6.207046,6.442663,6.210664
626.500026,6.211349,6.448926,6.215400
627.000026,6.216944,6.456750,6.221293
627.500026,6.223623,6.465685,6.228050
628.000026,6.230489,6.474797,6.234687
628.500026,6.236999,6.483975,6.241240
629.000026,6.243076,6.493218,6.247634
629.500026,6.248585,6.502498,6.253743
630.000026,6.253062,6.510917,6.258802
630.500026,6.257308,6.518987,6.263412
631.000026,6.260962,6.526206,6.267332
631.500026,6.264510,6.533071,6.270953
