?? [s],A 1.dY [mm],B1.dY [mm],B2.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.045120,0.045670,0.045709,0.045164
20.000000,0.166524,0.167604,0.167961,0.166068
30.000000,0.310091,0.311848,0.312503,0.309193
40.000000,0.423338,0.425399,0.426461,0.422376
50.000000,0.504449,0.507368,0.508678,0.504107
60.000000,0.584601,0.587845,0.589420,0.583960
70.000000,0.696511,0.700546,0.702485,0.695886
80.000000,0.814043,0.818549,0.820520,0.813370
90.000000,0.958480,0.963458,0.965624,0.958179
100.000000,1.116174,1.121224,1.123470,1.115751
110.000000,1.275630,1.280591,1.283144,1.275087
120.000000,1.438057,1.442905,1.445720,1.437152
130.000000,1.589916,1.594357,1.597331,1.587869
140.000000,1.723797,1.728002,1.731271,1.719983
150.000000,1.828276,1.832822,1.836147,1.822880
160.000000,1.918830,1.924029,1.927640,1.912065
170.000000,2.012645,2.018935,2.023001,2.005113
180.000000,2.107632,2.115323,2.119731,2.099489
190.000000,2.180150,2.187964,2.192196,2.172768
200.000000,2.229282,2.237032,2.240909,2.222404
210.000000,2.313678,2.322025,2.326263,2.306419
220.000000,2.417409,2.428196,2.433253,2.408925
230.000000,2.535585,2.548776,2.554771,2.525844
240.000000,2.627910,2.643001,2.649475,2.617764
250.000000,2.722817,2.739910,2.746791,2.712061
260.000000,2.819408,2.839016,2.846266,2.808559
270.000000,2.919537,2.941622,2.949509,2.908317
280.000000,3.009925,3.034563,3.043025,2.998465
290.000000,3.109394,3.136865,3.146011,3.097494
300.000000,3.197649,3.228395,3.238046,3.185650
310.000000,3.291387,3.325508,3.335836,3.279262
320.000000,3.382844,3.420695,3.431798,3.370649
330.000000,3.472011,3.513569,3.525350,3.459768
340.000000,3.563839,3.609368,3.621863,3.551299
350.000000,3.650994,3.700504,3.713766,3.638207
360.000000,3.741997,3.795713,3.809833,3.728997
370.000000,3.828045,3.886053,3.900965,3.815000
380.000000,3.915036,3.977754,3.993319,3.902024
390.000000,4.003599,4.071262,4.087604,3.990281
400.000000,4.094293,4.167413,4.184714,4.080890
410.000000,4.181558,4.260260,4.278358,4.168271
420.000000,4.265636,4.350182,4.369112,4.252832
430.000000,4.351202,4.442073,4.461778,4.338975
440.000000,4.441582,4.539526,4.560270,4.429829
450.000000,4.528740,4.634328,4.655996,4.517826
460.000000,4.615755,4.729844,4.752481,4.606064
470.000000,4.673834,4.794224,4.817367,4.665424
471.000014,4.711273,4.835795,4.859171,4.703748
472.000014,4.720281,4.846203,4.869579,4.713051
473.000014,4.729433,4.856346,4.879861,4.722263
474.000014,4.736935,4.864768,4.888429,4.729809
475.000014,4.744197,4.872784,4.896564,4.737304
476.000014,4.749462,4.878826,4.902658,4.742886
477.000014,4.752979,4.883071,4.906990,4.746744
478.000014,4.757605,4.888369,4.912497,4.751414
479.000014,4.763273,4.894777,4.918983,4.757019
480.000014,4.772878,4.905383,4.929792,4.766599
481.000014,4.784466,4.918516,4.943090,4.778746
482.000014,4.797504,4.933272,4.957991,4.792350
483.000014,4.810017,4.947563,4.972221,4.805311
