?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm],? 1.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],? 1-4.dY [mm],? 2.dY [mm],? 3.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.023910,0.024475,0.023456,0.007025,0.007269,0.008097,0.008101,0.006779,0.006682,0.006461
20.000000,0.123474,0.123440,0.120860,0.078039,0.074728,0.080916,0.077427,0.077476,0.076130,0.071632
30.000000,0.256642,0.256557,0.252363,0.299618,0.299939,0.298476,0.299461,0.299971,0.296820,0.291872
40.000000,0.387857,0.386630,0.381999,0.407675,0.405399,0.404805,0.407772,0.407672,0.405493,0.398136
50.000000,0.492532,0.491901,0.487007,0.469792,0.469845,0.472363,0.469600,0.470399,0.467562,0.463038
60.000000,0.593760,0.592931,0.588126,0.614518,0.614766,0.617371,0.614772,0.614522,0.611663,0.604089
70.000000,0.666118,0.664542,0.659792,0.712074,0.711297,0.710098,0.712122,0.712360,0.708412,0.712630
80.000000,0.691010,0.689023,0.684548,0.685481,0.682639,0.691250,0.684773,0.686007,0.681426,0.677876
90.000000,0.684677,0.682438,0.678241,0.688962,0.688580,0.689515,0.688709,0.689174,0.684962,0.681221
100.000000,0.710924,0.709319,0.705043,0.692332,0.693940,0.696327,0.691892,0.691897,0.688119,0.682895
110.000000,0.727403,0.725423,0.721403,0.765664,0.765152,0.768092,0.765847,0.765829,0.761637,0.758103
120.000000,0.751687,0.749583,0.745133,0.738077,0.738520,0.738449,0.737626,0.737663,0.733377,0.728781
130.000000,0.823599,0.821692,0.816471,0.764266,0.762963,0.767436,0.765124,0.764641,0.761230,0.757024
140.000000,1.006021,1.004682,0.998293,0.981492,0.983640,0.984017,0.984852,0.981689,0.978444,0.979514
150.000000,1.228256,1.227171,1.220064,1.284875,1.286242,1.285930,1.285299,1.285378,1.282100,1.273856
160.000000,1.413846,1.413622,1.406438,1.431288,1.429362,1.433187,1.431664,1.431978,1.428463,1.422035
170.000000,1.575303,1.575582,1.568557,1.540024,1.540669,1.539119,1.540875,1.541032,1.537128,1.528796
180.000000,1.712062,1.713325,1.705749,1.770949,1.772330,1.774887,1.771846,1.771092,1.768878,1.763129
190.000000,1.849019,1.850950,1.842701,1.843697,1.844801,1.845111,1.846889,1.844853,1.841760,1.833281
200.000000,1.941668,1.944250,1.934701,1.950569,1.950567,1.952289,1.951706,1.951448,1.949461,1.940518
210.000000,2.045440,2.049719,2.039241,2.048620,2.048422,2.050546,2.050678,2.050401,2.049196,2.037629
220.000000,2.151099,2.157172,2.144821,2.155738,2.153994,2.155241,2.157880,2.156962,2.157851,2.145522
230.000000,2.251218,2.259586,2.245286,2.268102,2.268766,2.270908,2.269561,2.269517,2.272084,2.259905
240.000000,2.301137,2.308230,2.293815,2.350004,2.348221,2.353072,2.353071,2.351399,2.354972,2.348642
250.000000,2.307183,2.312277,2.299177,2.303425,2.305902,2.305799,2.304432,2.304823,2.303313,2.291960
260.000000,2.312531,2.316893,2.304159,2.283975,2.283190,2.283503,2.283931,2.285246,2.283028,2.271756
270.000000,2.392296,2.399672,2.383933,2.364990,2.364110,2.370109,2.366324,2.367078,2.368391,2.352874
280.000000,2.509597,2.520167,2.500371,2.544435,2.543330,2.546145,2.547921,2.547459,2.551208,2.529939
290.000000,2.624424,2.637503,2.614568,2.637308,2.638032,2.642832,2.637558,2.640083,2.645812,2.624999
300.000000,2.712077,2.727941,2.702451,2.710184,2.708272,2.715620,2.710483,2.713832,2.720549,2.696598
310.000000,2.802663,2.821557,2.793331,2.809789,2.810896,2.814364,2.814350,2.813644,2.822430,2.798991
320.000000,2.896229,2.918950,2.887914,2.910215,2.910749,2.914619,2.915976,2.914752,2.925469,2.897306
330.000000,2.990172,3.015108,2.980889,2.993798,2.993192,3.001002,3.000004,2.998810,3.011285,2.981028
340.000000,3.077774,3.106541,3.068848,3.089395,3.086260,3.094245,3.095257,3.094466,3.109818,3.076371
350.000000,3.167945,3.199178,3.157702,3.176021,3.174458,3.178665,3.181784,3.181872,3.199228,3.164205
360.000000,3.255178,3.290405,3.245249,3.263777,3.264806,3.267914,3.270533,3.269865,3.289749,3.260992
370.000000,3.340001,3.378787,3.329676,3.353737,3.353747,3.356376,3.363640,3.360975,3.383180,3.345827
380.000000,3.430728,3.473909,3.420586,3.431269,3.431896,3.436508,3.440035,3.438785,3.463767,3.420662
390.000000,3.515917,3.563709,3.506210,3.537021,3.536054,3.543486,3.550081,3.545669,3.574211,3.525278
400.000000,3.605180,3.657666,3.595450,3.611497,3.610782,3.614562,3.625310,3.621007,3.651879,3.601605
410.000000,3.661476,3.717098,3.651636,3.699876,3.699675,3.705375,3.715002,3.710239,3.744333,3.688979
411.000014,3.695646,3.752220,3.685028,3.706960,3.706866,3.715655,3.720079,3.716935,3.751703,3.694364
412.000014,3.702531,3.758667,3.690984,3.712271,3.707982,3.721148,3.723441,3.721922,3.757322,3.700153
413.000014,3.709794,3.765937,3.697589,3.718790,3.717270,3.727374,3.730469,3.728504,3.764044,3.708195
414.000014,3.718669,3.776164,3.706872,3.728162,3.726748,3.738691,3.744453,3.738548,3.774082,3.719718
415.000014,3.728893,3.787377,3.717636,3.740799,3.738469,3.745286,3.756755,3.751277,3.787304,3.729895
416.000014,3.740240,3.800048,3.729513,3.750368,3.737662,3.759734,3.762234,3.760389,3.797519,3.738081
417.000014,3.752140,3.812101,3.740961,3.764053,3.762618,3.769384,3.780186,3.774403,3.811756,3.754341
418.000014,3.764090,3.824426,3.752786,3.775118,3.774171,3.785953,3.791400,3.786225,3.823418,3.766697
419.000014,3.775228,3.835798,3.763712,3.785601,3.783330,3.794661,3.802672,3.796420,3.834412,3.774172
420.000014,3.784909,3.846158,3.773067,3.796073,3.794169,3.802279,3.809500,3.806337,3.845443,3.784061
421.000014,3.793285,3.855092,3.780868,3.804910,3.802722,3.810341,3.822130,3.815823,3.854550,3.795122
422.000014,3.801859,3.863736,3.789102,3.810808,3.810584,3.817068,3.827989,3.822066,3.860728,3.801569
423.000014,3.808671,3.870620,3.795957,3.821028,3.820410,3.830043,3.838408,3.832198,3.871539,3.811198
424.000014,3.816093,3.878529,3.803685,3.824316,3.824141,3.832119,3.841881,3.835398,3.875083,3.813555
425.000014,3.819846,3.883560,3.808492,3.833070,3.822790,3.842595,3.846659,3.843841,3.884392,3.821344
426.000014,3.825028,3.889196,3.813846,3.835282,3.833849,3.846680,3.848999,3.845912,3.886940,3.823517
427.000014,3.828762,3.893514,3.817877,3.841065,3.840437,3.845756,3.859459,3.852126,3.892951,3.838313
428.000014,3.835913,3.900717,3.824251,3.846516,3.845391,3.851183,3.864340,3.857710,3.898189,3.836729
429.000014,3.843938,3.909081,3.832143,3.855620,3.854771,3.865606,3.874383,3.867447,3.907950,3.846513
430.000014,3.853204,3.918521,3.841309,3.864502,3.862086,3.872017,3.882779,3.876051,3.917379,3.853683
431.000014,3.862517,3.928155,3.850472,3.872625,3.873167,3.878739,3.889827,3.883996,3.926421,3.861009
432.000014,3.871833,3.939105,3.860134,3.883118,3.873797,3.890963,3.902114,3.894045,3.936996,3.875042
433.000014,3.882388,3.951008,3.871149,3.894882,3.892926,3.903654,3.913973,3.907425,3.949490,3.887684
434.000014,3.893848,3.963052,3.882677,3.905963,3.903301,3.913029,3.926011,3.917912,3.961151,3.895197
435.000014,3.904796,3.974176,3.893564,3.917583,3.915487,3.928964,3.931971,3.928913,3.973519,3.905810
436.000014,3.915825,3.985580,3.904068,3.927557,3.926398,3.936588,3.944317,3.939697,3.983913,3.917557
437.000014,3.925931,3.996844,3.914421,3.939280,3.939162,3.950953,3.958774,3.951615,3.995895,3.930787
438.000014,3.937195,4.008936,3.925613,3.949495,3.948545,3.961035,3.969441,3.961823,4.006874,3.938636
439.000014,3.946652,4.018794,3.934790,3.960658,3.951097,3.968016,3.980894,3.972927,4.018946,3.948726
440.000014,3.956104,4.028792,3.943582,3.966704,3.965246,3.974917,3.987092,3.978963,4.024587,3.956114
441.000014,3.963524,4.036372,3.950469,3.977250,3.972410,3.986401,3.997547,3.990328,4.036402,3.968239
442.000014,3.970108,4.044915,3.958553,3.982309,3.978097,3.993089,4.002542,3.995650,4.041623,3.973863
443.000014,3.975010,4.050194,3.964159,3.990046,3.986424,4.000090,4.010372,4.003160,4.050353,3.979699
444.000014,3.980711,4.056747,3.970529,3.992205,3.989060,4.001582,4.012719,4.004847,4.052591,3.981522
445.000014,3.986513,4.062220,3.975658,4.000662,,4.006785,4.018277,4.013160,4.061375,3.988858
446.000014,3.992951,4.069244,3.981886,4.005784,3.998850,4.013201,4.024402,4.018848,4.066816,3.995236
447.000014,3.997929,4.074625,3.986772,4.012014,4.010819,4.016666,4.032772,4.025319,4.073205,4.010675
448.000014,4.006213,4.083168,3.994866,4.016520,4.016032,4.023384,4.038084,4.029936,4.078103,4.007371
449.000014,4.014504,4.092097,4.003361,4.030855,4.029929,4.041643,4.051807,4.044021,4.093274,4.020732
450.000014,4.025994,4.104157,4.014581,4.037033,4.033618,4.043615,4.058201,4.050018,4.100108,4.025916
451.000014,4.036113,4.114995,4.024091,4.050267,4.048831,4.059350,4.072077,4.063602,4.113950,4.040284
452.000014,4.048768,4.127641,4.035776,4.060699,4.058104,4.065088,4.082916,4.075043,4.125072,4.053096
453.000014,4.058297,4.138416,4.045911,4.072794,4.072727,4.082086,4.095343,4.086686,4.137980,4.062737
454.000014,4.069598,4.150399,4.057521,4.080248,4.078524,4.087168,4.101804,4.093836,4.146051,4.068992
455.000014,4.078840,4.161335,4.067192,4.095053,4.091861,4.103919,4.117721,4.108644,4.161117,4.094152
456.000014,4.090262,4.173135,4.078267,4.103323,4.101711,4.111528,4.126345,4.117628,4.170529,4.095786
457.000014,4.099278,4.182597,4.086959,4.113898,4.111141,4.123016,4.137213,4.127926,4.181511,4.103968
458.000014,4.108369,4.191709,4.095857,4.121178,4.119902,4.128598,4.144101,4.134989,4.189547,4.110232
459.000014,4.115881,4.199807,4.103059,4.128903,4.122792,4.137213,4.152415,4.143189,4.197751,4.126474
460.000014,4.122333,4.207226,4.109429,4.136205,4.133747,4.144641,4.160465,4.150663,4.205027,4.135212
461.000014,4.127703,4.213171,4.114475,4.141878,4.139432,4.147206,4.165542,4.156682,4.211328,4.133533
462.000014,4.131214,4.217869,4.118842,4.145998,4.142969,4.161365,4.170838,4.161287,4.216045,4.138210
463.000014,4.136601,4.223306,4.124477,4.149719,4.147218,4.159189,4.173653,4.164612,4.220101,4.140936
464.000014,4.142704,4.230167,4.131288,4.157030,4.153437,4.166989,4.181570,4.171650,4.227386,4.147160
465.000014,4.152276,4.240079,4.140646,4.164608,4.163188,4.172858,4.188367,4.178816,4.235697,4.153799
466.000014,4.161451,4.250044,4.149547,4.177493,4.176211,4.185034,4.202428,4.192486,4.249511,4.176380
467.000014,4.173168,4.262211,4.160856,4.185092,4.181375,4.194571,4.210747,4.201056,4.258179,4.178460
468.000014,4.183897,4.273131,4.171018,4.199083,4.198670,4.209959,4.224910,4.214108,4.272608,4.189227
469.000014,4.194484,4.284660,4.181892,4.207618,4.205325,4.218140,4.232470,4.222614,4.281629,4.196932
470.000014,4.203256,4.295060,4.190955,4.217414,4.216406,4.225526,4.242670,4.232781,4.291856,4.217440
471.000014,4.213604,4.305941,4.200601,4.227432,4.225560,4.239942,4.254956,4.243657,4.303118,4.220109
472.000014,4.222456,4.315988,4.209901,4.237906,4.236134,4.249831,4.264658,4.253726,4.314157,4.229074
473.000014,4.231216,4.324925,4.218755,4.245390,4.241911,4.252023,4.271377,4.260888,4.322305,4.235126
474.000014,4.237962,4.332401,4.226006,4.253168,4.250120,4.261141,4.278771,4.268686,4.330406,4.251013
475.000014,4.245291,4.339637,4.232336,4.259356,4.257682,4.265601,4.286044,4.275446,4.337265,4.258622
476.000014,4.252778,4.348234,4.240004,4.265529,4.261105,4.269972,4.292656,4.282103,4.343889,4.258807
477.000014,4.259671,4.356403,4.247186,4.277594,4.274888,4.290777,4.305310,4.293912,4.356700,4.269452
478.000014,4.267247,4.364830,4.255067,4.281088,4.280154,4.291697,4.308087,4.297048,4.360731,4.272327
479.000014,4.276345,4.374242,4.263487,4.288492,4.288420,4.299043,4.315822,4.304814,4.368926,4.278157
480.000014,4.286574,4.384855,4.273125,4.303021,4.299513,4.312241,4.330475,4.320013,4.383908,4.296834
