?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm],,? 1.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],?2.dY [mm],?3.dY [mm],? 3-1.dY [mm],? 3-2.dY [mm],? 3-3.dY [mm],,deformation2-1,deformation2-3
0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0
10,0.048889,0.049482,0.04845,,0.013109,0.013493,0.014579,0.014096,0.014321,0.013141,0.012947,0.013143,0.013776,,0.001212,0.00118
20,0.163943,0.165251,0.162476,,0.153422,0.154348,0.154639,0.154061,0.155665,0.151458,0.149933,0.152559,0.152209,,0.002243,0.004207
30,0.302582,0.304837,0.300306,,0.344753,0.345502,0.346443,0.347056,0.347879,0.341682,0.343045,0.342091,0.343384,,0.003126,0.006197
40,0.438562,0.440868,0.4356,,0.429502,0.430571,0.431629,0.4317,0.432131,0.426171,0.427031,0.426418,0.427028,,0.002629,0.00596
50,0.537462,0.540349,0.534435,,0.561705,0.561692,0.56296,0.564083,0.564605,0.557911,0.557958,0.558199,0.559142,,0.0029,0.006694
60,0.642859,0.64622,0.639787,,0.641651,0.64249,0.644339,0.64534,0.645449,0.638818,0.639274,0.639299,0.640389,,0.003798,0.006631
70,0.74575,0.750153,0.742288,,0.74645,0.748133,0.748264,0.747852,0.750416,0.742453,0.742239,0.743798,0.74405,,0.003966,0.007963
80,0.862492,0.866707,0.857964,,0.871061,0.872217,0.873275,0.872394,0.874544,0.865465,0.865191,0.867903,0.867668,,0.003483,0.009079
90,1.008963,1.013069,1.003419,,0.99258,0.993646,0.994822,0.994304,0.995808,0.985585,0.985503,0.988264,0.988125,,0.003228,0.010223
100,1.163973,1.167542,1.157977,,1.186258,1.188194,1.188204,1.189676,1.189938,1.179273,1.179733,1.18065,1.181737,,0.00368,0.010665
110,1.335323,1.338795,1.329248,,1.33596,1.337621,1.338294,1.337904,1.339223,1.32856,1.32821,1.33003,1.330318,,0.003263,0.010663
120,1.496308,1.499422,1.489991,,1.506634,1.509044,1.50898,1.509442,1.51002,1.49868,1.499195,1.500574,1.501281,,0.003386,0.01134
130,1.659388,1.662515,1.653034,,1.668918,1.669572,1.671543,1.670649,1.671626,1.660608,1.660099,1.66252,1.663137,,0.002708,0.011018
140,1.806745,1.810646,1.800537,,1.825033,1.825577,1.827261,1.827314,1.828517,1.817781,1.817999,1.820372,1.820378,,0.003484,0.010736
150,1.925536,1.930706,1.919608,,1.949131,1.950509,1.951369,1.951579,1.954015,1.94166,1.941931,1.944445,1.944737,,0.004884,0.012355
160,2.012197,2.01894,2.006091,,2.026447,2.027814,2.028488,2.029727,2.032063,2.018173,2.020132,2.021343,2.021651,,0.005616,0.01389
170,2.081604,2.090246,2.075541,,2.085079,2.086497,2.088763,2.08908,2.093536,2.077513,2.07745,2.080466,2.081149,,0.008457,0.016023
180,2.15788,2.166493,2.150623,,2.158029,2.159683,2.161547,2.16208,2.167856,2.150198,2.150816,2.15353,2.154498,,0.009827,0.017658
190,2.215922,2.223982,2.206936,,2.253809,2.255103,2.257129,2.259195,2.261109,2.24674,2.247532,2.248849,2.249014,,0.0073,0.014369
200,2.289526,2.297984,2.279059,,2.258964,2.258341,2.262081,2.264533,2.267247,2.252507,2.254743,2.253982,2.255165,,0.008283,0.01474
210,2.367164,2.378719,2.356345,,2.377832,2.381061,2.382376,2.385568,2.390868,2.370422,2.371069,2.372815,2.374017,,0.013036,0.020446
220,2.468431,2.483872,2.45812,,2.488169,2.491935,2.492394,2.494532,2.503175,2.480092,2.482206,2.484063,2.48565,,0.015006,0.023083
230,2.565165,2.583684,2.55521,,2.564786,2.566643,2.569084,2.570618,2.581337,2.556805,2.560838,2.559892,2.562405,,0.016551,0.024532
240,2.656149,2.677707,2.646908,,2.669197,2.671279,2.674845,2.679001,2.690076,2.662688,2.663564,2.666151,2.667987,,0.020879,0.027388
250,2.746511,2.771204,2.737815,,2.761884,2.764189,2.767981,2.770537,2.785324,2.754186,2.758162,2.759424,2.76192,,0.02344,0.031138
260,2.837353,2.865458,2.828728,,2.835461,2.838666,2.842649,2.84641,2.862656,2.829077,2.831429,2.834562,2.836615,,0.027195,0.033579
270,2.924176,2.955604,2.916011,,2.943147,2.9481,2.949431,2.953249,2.972888,2.936679,2.939778,2.942582,2.945218,,0.029741,0.036209
280,3.015902,3.051126,3.008352,,3.023664,3.027644,3.030659,3.03388,3.056282,3.017015,3.021364,3.023801,3.026962,,0.032618,0.039267
290,3.103799,3.14303,3.096754,,3.112307,3.117983,3.120326,3.126127,3.148601,3.106188,3.110689,3.114082,3.116465,,0.036294,0.042413
300,3.190725,3.234146,3.18363,,3.207308,3.21123,3.216584,3.221228,3.248421,3.201895,3.206477,3.210048,3.213465,,0.041113,0.046526
310,3.276938,3.324698,3.269744,,3.285022,3.290707,3.294972,3.30095,3.329095,3.279762,3.283586,3.288201,3.291526,,0.044073,0.049333
