?? [s],A.dY [mm],B.dY [mm],C.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.032361,0.032217,0.032041
20.000000,0.122280,0.121791,0.120983
30.000000,0.192632,0.192040,0.190947
40.000000,0.282653,0.282324,0.281058
50.000000,0.350934,0.350790,0.349481
60.000000,0.420439,0.420811,0.419627
70.000000,0.476614,0.476915,0.475708
80.000000,0.538403,0.538841,0.537641
90.000000,0.602267,0.602121,0.600540
100.000000,0.691683,0.690919,0.688473
110.000000,0.802093,0.800398,0.797059
120.000000,0.944131,0.941739,0.937525
130.000000,1.103691,1.100700,1.096190
140.000000,1.263902,1.260715,1.255974
150.000000,1.424416,1.421510,1.417219
160.000000,1.568752,1.567178,1.564130
170.000000,1.692275,1.691996,1.690112
180.000000,1.809462,1.810271,1.809308
190.000000,1.908066,1.908970,1.907640
200.000000,2.010143,2.011161,2.009432
210.000000,2.092262,2.093011,2.090415
220.000000,2.170856,2.171496,2.168185
230.000000,2.252280,2.252711,2.248539
240.000000,2.338078,2.338794,2.333414
250.000000,2.423800,2.424535,2.417995
260.000000,2.508047,2.508885,2.501036
270.000000,2.591483,2.592027,2.582930
280.000000,2.677635,2.678185,2.667682
290.000000,2.762969,2.763857,2.752092
300.000000,2.847985,2.849330,2.836327
310.000000,2.930537,2.932627,2.918249
320.000000,3.011395,3.014195,2.998454
330.000000,3.094900,3.098558,3.081478
340.000000,3.181373,3.185960,3.167595
350.000000,3.270988,3.276744,3.256954
360.000000,3.352026,3.358976,3.337742
370.000000,3.429633,3.437694,3.415148
380.000000,3.510155,3.519198,3.495197
390.000000,3.593965,3.604346,3.578836
400.000000,3.685711,3.697742,3.670419
410.000000,3.738805,3.750508,3.722394
420.000000,3.781112,3.792827,3.763800
430.000000,3.819758,3.831337,3.801483
440.000000,3.897576,3.911111,3.879333
450.000000,3.985073,4.000243,3.966718
460.000000,4.072945,4.089940,4.054711
470.000000,4.157261,4.176116,4.139280
480.000000,4.244112,4.264959,4.226306
490.000000,4.330745,4.353706,4.313164
500.000000,4.418435,4.443698,4.401240
510.000000,4.506235,4.534024,4.489533
520.000000,4.587575,4.617764,4.571320
530.000000,4.668010,4.700577,4.652043
540.000000,4.746752,4.781690,4.731148
550.000000,4.831506,4.869106,4.816377
560.000000,4.919228,4.959949,4.904962
570.000000,5.009072,5.053313,4.995829
580.000000,5.095177,5.142739,5.082751
590.000000,5.154746,5.204392,5.142592
591.000014,5.188822,5.239427,5.176780
592.000014,5.202308,5.253352,5.190374
593.000014,5.213570,5.265242,5.202036
594.000014,5.223460,5.275533,5.211993
595.000014,5.232153,5.284370,5.220687
596.000014,5.239044,5.291292,5.227421
597.000014,5.244956,5.297487,5.233400
598.000014,5.249455,5.302407,5.237971
599.000014,5.254677,5.308144,5.243435
600.000014,5.260165,5.314025,5.249101
601.000014,5.266275,5.320200,5.255102
602.000014,5.272925,5.326729,5.261503
603.000014,5.281082,5.335174,5.269522
604.000014,5.291574,5.346564,5.280512
605.000014,5.304057,5.359641,5.293174
606.000014,5.316036,5.371938,5.305282
607.000014,5.326472,5.382525,5.315627
608.000014,5.334550,5.391174,5.323969
609.000014,5.340912,5.397968,5.330509
610.000014,5.346371,5.403408,5.335815
611.000014,5.351590,5.408619,5.340874
612.000014,5.358816,5.416015,5.348035
613.000014,5.368178,5.425977,5.357655
614.000014,5.380020,5.438281,5.369592
615.000014,5.391659,5.450176,5.381169
616.000014,5.402054,5.460939,5.391521
617.000014,5.410601,5.469878,5.400181
618.000014,5.417033,5.476961,5.406978
619.000014,5.422107,5.482301,5.412217
620.000014,5.427156,5.487460,5.417222
621.000014,5.433284,5.493591,5.423159
622.000014,5.442377,5.502987,5.432236
623.000014,5.454061,5.515553,5.444323
624.000014,5.467822,5.529898,5.458220
625.000014,5.481232,5.543893,5.471740
626.000014,5.492081,5.555116,5.482602
627.000014,5.500973,5.564506,5.491630
628.000014,5.509914,5.573741,5.500546
629.000014,5.516876,5.580911,5.507408
630.000014,5.523058,5.587180,5.513528
631.000014,5.527045,5.591418,5.517650
632.000014,5.531648,5.596194,5.522292
633.000014,5.537390,5.602414,5.528205
634.000014,5.545449,5.610830,5.536280
635.000014,5.556885,5.622780,5.547819
636.000014,5.569670,5.636089,5.560623
637.000014,5.582781,5.650043,5.574022
638.000014,5.594653,5.662373,5.585974
639.000014,5.604766,5.672961,5.596252
640.000014,5.613230,5.681722,5.604751
641.000014,5.620092,5.689149,5.611731
642.000014,5.625912,5.695349,5.617661
643.000014,5.630176,5.699693,5.621830
644.000014,5.635190,5.704826,5.626849
645.000014,5.641759,5.711743,5.633457
646.000014,5.651525,5.722033,5.643375
647.000014,5.662532,5.733793,5.654752
648.000014,5.675427,5.747173,5.667728
649.000014,5.687388,5.759780,5.679784
650.000014,5.699118,5.771892,5.691446
651.000014,5.708749,5.782184,5.701431
652.000014,5.716895,5.790568,5.709658
653.000014,5.724038,5.797986,5.716832
654.000014,5.729534,5.803511,5.722085
655.000014,5.734098,5.808388,5.726683
656.000014,5.738124,5.812675,5.730773
657.000014,5.743157,5.818070,5.735888
658.000014,5.751785,5.827072,5.744543
659.000014,5.763307,5.839159,5.756060
660.000014,5.776748,5.853260,5.769743
661.000014,5.790904,5.868159,5.784079
662.000014,5.803436,5.881312,5.796802
663.000014,5.814979,5.893407,5.808361
664.000014,5.824369,5.903411,5.817952
665.000014,5.832591,5.912110,5.826360
666.000014,5.839310,5.919304,5.833243
667.000014,5.844828,5.925097,5.838894
668.000014,5.849794,5.930386,5.843921
669.000014,5.855218,5.935965,5.849369
670.000014,5.860605,5.941608,5.854746
671.000014,5.866736,5.948001,5.860923
672.000014,5.874284,5.956051,5.868653
673.000014,5.884437,5.966686,5.878894
674.000014,5.897100,5.980089,5.891722
675.000014,5.911342,5.995097,5.906044
676.000014,5.924485,6.008998,5.919432
677.000014,5.936695,6.021891,5.931821
678.000014,5.947169,6.033006,5.942501
679.000014,5.956232,6.042892,5.951912
680.000014,5.963835,6.050964,5.959624
681.000014,5.969620,6.057095,5.965547
682.000014,5.974655,6.062251,5.970450
683.000014,5.979585,6.067554,5.975446
684.000014,5.983365,6.071587,5.979264
685.000014,5.986231,6.074672,5.982147
686.000014,5.989222,6.077802,5.985125
687.000014,5.994108,6.082976,5.989902
688.000014,6.002295,6.091637,5.998190
689.000014,6.013589,6.103658,6.009741
690.000014,6.028218,6.119257,6.024799
691.000014,6.044817,6.136840,6.041589
692.000014,6.059504,6.152583,6.056530
693.000014,6.072898,6.166852,6.069960
694.000014,6.083468,6.178157,6.080856
695.000014,6.092607,6.187820,6.090218
696.000014,6.100524,6.196255,6.098396
697.000014,6.107296,6.203524,6.105236
698.000014,6.112580,6.209180,6.110470
699.000014,6.116299,6.213154,6.114310
700.000014,6.119554,6.216713,6.117742
701.000014,6.123140,6.220602,6.121589
702.000014,6.126823,6.224489,6.125343
703.000014,6.131676,6.229624,6.130180
704.000014,6.139181,6.237663,6.137718
705.000014,6.149429,6.248765,6.148147
706.000014,6.162617,6.262872,6.161615
707.000014,6.176811,6.277916,6.176021
708.000014,6.190003,6.291976,6.189458
709.000014,6.201206,6.304002,6.200919
710.000014,6.209307,6.312779,6.209174
710.500026,6.214840,6.318792,6.214869
711.000026,6.217808,6.321920,6.217693
711.500026,6.220334,6.324680,6.220374
712.000026,6.222978,6.327577,6.223009
712.500026,6.225184,6.330142,6.225504
713.000026,6.227493,6.332708,6.227765
713.500026,6.230288,6.335601,6.230486
714.000026,6.233334,6.338900,6.233583
714.500026,6.235965,6.341714,6.236379
715.000026,6.238474,6.344537,6.239169
715.500026,6.241773,6.347960,6.242439
716.000026,6.245346,6.351817,6.246044
716.500026,6.248892,6.355727,6.249709
717.000026,6.252896,6.360218,6.253974
717.500026,6.257931,6.365702,6.259205
718.000026,6.263841,6.372023,6.265138
718.500026,6.269656,6.378317,6.271018
719.000026,6.275596,6.384745,6.277031
719.500026,6.281993,6.391738,6.283681
720.000026,6.288501,6.399078,6.290711
720.500026,6.294736,6.405957,6.297280
721.000026,6.299903,6.411531,6.302546
721.500026,6.304360,6.416060,6.306724
722.000026,6.308540,6.420553,6.310853
722.500026,6.313095,6.425447,6.315557
723.000026,6.317478,6.430036,6.320072
723.500026,6.320478,6.433161,6.323128
724.000026,6.322532,6.435517,6.325274
724.500026,6.324249,6.437656,6.327205
725.000026,6.326640,6.440471,6.329871
725.500026,6.328940,6.443084,6.332294
726.000026,6.331016,6.445526,6.334491
726.500026,6.333448,6.448286,6.336968
727.000026,6.337410,6.452495,6.340885
727.500026,6.342961,6.458318,6.346402
728.000026,6.348818,6.464496,6.352273
728.500026,6.354508,6.470592,6.358130
729.000026,6.360198,6.476804,6.364010
729.500026,6.366152,6.483412,6.370280
730.000026,6.372014,6.489920,6.376354
730.500026,6.377874,6.496330,6.382337
731.000026,6.383475,6.502358,6.387995
731.500026,6.388623,6.507980,6.393272
732.000026,6.392900,6.512652,6.397741
732.500026,6.396369,6.516602,6.401423
733.000026,6.399602,6.520249,6.404935
733.500026,6.403037,6.524161,6.408531
734.000026,6.406635,6.528239,6.412331
734.500026,6.409750,6.531861,6.415607
735.000026,6.412120,6.534651,6.418169
735.500026,6.413728,6.536544,6.419867
736.000026,6.415033,6.538276,6.421417
736.500026,6.416408,6.539796,6.422826
737.000026,6.417844,6.541512,6.424390
737.500026,6.419422,6.543174,6.426036
738.000026,6.420977,6.544995,6.427653
738.500026,6.422695,6.547029,6.429528
739.000026,6.425061,6.549518,6.431740
739.500026,6.427976,6.552643,6.434726
740.000026,6.432344,6.557086,6.438987
740.500026,6.437579,6.562716,6.444306
741.000026,6.443300,6.569403,6.450518
741.500026,6.449563,6.576712,6.457388
742.000026,6.456266,6.584674,6.464839
742.500026,6.463402,6.592827,6.472466
743.000026,6.470668,6.601223,6.480164
743.500026,6.477843,6.609473,6.487744
744.000026,6.484624,6.617287,6.495073
744.500026,6.490462,6.623979,6.501348
745.000026,6.495441,6.629799,6.506802
745.500026,6.500422,6.635513,6.512142
746.000026,6.505389,6.641212,6.517435
746.500026,6.509723,6.646250,6.522010
747.000026,6.513119,6.650204,6.525462
747.500026,6.516020,6.653635,6.528468
748.000026,6.518962,6.656917,6.531497
748.500026,6.521652,6.659966,6.534328
749.000026,6.524305,6.662963,6.537256
749.500026,6.527212,6.666367,6.540466
750.000026,6.530159,6.669834,6.543725
750.500026,6.532372,6.672561,6.546161
751.000026,6.533806,6.674334,6.547727
751.500026,6.534923,6.675690,6.549005
752.000026,6.536256,6.677233,6.550367
752.500026,6.538359,6.679663,6.552580
753.000026,6.541228,6.682860,6.555561
753.500026,6.544671,6.686670,6.559044
754.000026,6.547546,6.689943,6.562021
754.500026,6.550712,6.693580,6.565225
755.000026,6.555183,6.698667,6.569938
755.500026,6.561892,6.706004,6.576876
756.000026,6.569858,6.714870,6.585249
756.500026,6.577573,6.723604,6.593413
757.000026,6.584619,6.731766,6.600880
757.500026,6.591283,6.739351,6.607879
758.000026,6.598427,6.747434,6.615379
758.500026,6.605255,6.755193,6.622589
759.000026,6.611090,6.762202,6.628858
759.500026,6.615273,6.767485,6.633610
760.000026,6.618752,6.772071,6.637625
760.500026,6.622885,6.777101,6.642210
761.000026,6.627674,6.782605,6.647272
761.500026,6.632034,6.787634,6.651942
762.000026,6.634238,6.790427,6.654473
762.500026,6.635619,6.792448,6.656112
763.000026,6.638052,6.795339,6.658684
763.500026,6.642124,6.799832,6.662812
764.000026,6.646303,6.804335,6.667115
764.500026,6.648992,6.807548,6.670007
765.000026,6.650205,6.809241,6.671398
765.500026,6.650765,6.810312,6.672113
766.000026,6.651368,6.811205,6.672804
766.500026,6.652806,6.813003,6.674487
767.000026,6.654427,6.815031,6.676442
767.500026,6.656176,6.817278,6.678499
768.000026,6.657664,6.819209,6.680178
768.500026,6.659170,6.821224,6.681818
769.000026,6.661611,6.823983,6.684342
769.500026,6.664296,6.827300,6.687386
770.000026,6.668657,6.832050,6.691900
770.500026,6.673692,6.837736,6.697176
771.000026,6.680460,6.845139,6.703963
771.500026,6.687301,6.853097,6.711252
772.000026,6.694279,6.861469,6.718812
772.500026,6.701047,6.869680,6.726382
773.000026,6.708191,6.878184,6.734155
773.500026,6.715566,6.886929,6.742121
774.000026,6.722849,6.895766,6.750006
774.500026,6.728874,6.903458,6.756758
775.000026,6.733631,6.909752,6.762334
