?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.041067,0.041374,0.041149
20.000000,0.149819,0.150335,0.149772
30.000000,0.269957,0.270956,0.270324
40.000000,0.389114,0.390369,0.390024
50.000000,0.465766,0.467646,0.467518
60.000000,0.557364,0.559442,0.559114
70.000000,0.635014,0.637292,0.636398
80.000000,0.712827,0.714996,0.713604
90.000000,0.807962,0.809652,0.807752
100.000000,0.920277,0.921348,0.919029
110.000000,1.064435,1.064948,1.062139
120.000000,1.218926,1.219447,1.216482
130.000000,1.388497,1.389123,1.386038
140.000000,1.551068,1.551902,1.549054
150.000000,1.700858,1.702562,1.700294
160.000000,1.824424,1.826807,1.825129
170.000000,1.950119,1.953238,1.952270
180.000000,2.056054,2.058821,2.057702
190.000000,2.159392,2.161822,2.160175
200.000000,2.244632,2.246477,2.243626
210.000000,2.328825,2.330634,2.326482
220.000000,2.410588,2.412058,2.406730
230.000000,2.492274,2.493639,2.486919
240.000000,2.578059,2.578947,2.571069
250.000000,2.668653,2.669573,2.660160
260.000000,2.754709,2.755383,2.744508
270.000000,2.838105,2.838931,2.826498
280.000000,2.917156,2.918435,2.904488
290.000000,2.999025,3.000907,2.985411
300.000000,3.087174,3.089860,3.072631
310.000000,3.175385,3.178672,3.159942
320.000000,3.262467,3.266600,3.246267
330.000000,3.340950,3.345852,3.324005
340.000000,3.422642,3.428351,3.404681
350.000000,3.504380,3.511184,3.485633
360.000000,3.588484,3.596290,3.568706
370.000000,3.675431,3.684398,3.655019
380.000000,3.763083,3.773290,3.742062
390.000000,3.853560,3.865347,3.832006
400.000000,3.937279,3.950631,3.915224
410.000000,4.020307,4.035190,3.997840
420.000000,4.102481,4.119059,4.079730
430.000000,4.191929,4.210301,4.168698
440.000000,4.281567,4.301713,4.257677
450.000000,4.370625,4.392433,4.346216
460.000000,4.451594,4.475245,4.426818
470.000000,4.509590,4.534547,4.484672
471.000014,4.542818,4.568719,4.517871
472.000014,4.555960,4.582208,4.531016
473.000014,4.567581,4.594165,4.542641
474.000014,4.578073,4.604897,4.553122
475.000014,4.587202,4.614391,4.562426
476.000014,4.594229,4.621690,4.569534
477.000014,4.599690,4.627300,4.574932
478.000014,4.604438,4.631980,4.579439
479.000014,4.608390,4.635921,4.583165
480.000014,4.614691,4.642260,4.589461
481.000014,4.623486,4.651479,4.598539
482.000014,4.634727,4.663059,4.609891
483.000014,4.646379,4.674922,4.621362
484.000014,4.657374,4.686131,4.632297
485.000014,4.667320,4.696453,4.642371
486.000014,4.675751,4.705313,4.650992
487.000014,4.683296,4.712843,4.658241
488.000014,4.689683,4.719163,4.664385
489.000014,4.696746,4.726215,4.671291
