?? [s],?1.dY [mm],?2.dY [mm],?3.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],? 1-4.dY [mm]
0,0,0,0,0,0,0,0
10,0.013161,0.013364,0.012762,0.012971,0.013342,0.012871,0.013116
20,0.155214,0.154992,0.153637,0.155192,0.154672,0.15457,0.155154
30,0.315786,0.314657,0.312049,0.315881,0.315801,0.315375,0.316015
40,0.373382,0.373294,0.370653,0.373418,0.373252,0.373655,0.373432
50,0.484665,0.485087,0.482262,0.484548,0.484614,0.484897,0.484643
60,0.588631,0.588862,0.585861,0.588364,0.588353,0.588244,0.58836
70,0.714051,0.714464,0.711272,0.713944,0.714104,0.713938,0.713886
80,0.823885,0.824632,0.820568,0.823966,0.824018,0.82444,0.824192
90,0.982227,0.982058,0.977536,0.982155,0.98222,0.982191,0.982155
100,1.158312,1.157993,1.152887,1.158234,1.158075,1.158356,1.15838
110,1.335629,1.335163,1.330207,1.335179,1.335212,1.33542,1.335702
120,1.492594,1.491775,1.486815,1.492149,1.492194,1.492616,1.492168
130,1.645964,1.646142,1.641717,1.645939,1.645614,1.64576,1.645874
140,1.771846,1.771966,1.767504,1.771601,1.771632,1.771543,1.771154
150,1.88657,1.887513,1.882538,1.8863,1.886195,1.886431,1.886751
160,1.9768,1.97826,1.972763,1.97651,1.976407,1.976357,1.976495
170,2.065363,2.06847,2.062687,2.065252,2.065383,2.065636,2.065676
180,2.185172,2.188744,2.182393,2.184647,2.18441,2.185181,2.185462
190,2.280175,2.284163,2.276694,2.279819,2.279602,2.279909,2.280401
200,2.368391,2.373052,2.364797,2.368037,2.367886,2.367768,2.368581
210,2.460917,2.466792,2.457394,2.46072,2.460296,2.461225,2.461715
220,2.557908,2.564606,2.554221,2.557302,2.557413,2.557958,2.558323
230,2.647412,2.654876,2.643605,2.646593,2.646781,2.647242,2.648155
240,2.784915,2.794285,2.782087,2.784341,2.784174,2.783617,2.786605
250,2.880987,2.891599,2.878511,2.880449,2.880746,2.880476,2.882597
260,2.958906,2.970554,2.955926,2.958431,2.958548,2.958663,2.960801
270,3.047919,3.060559,3.044126,3.047273,3.04744,3.04719,3.049854
280,3.121036,3.135417,3.117427,3.120763,3.120768,3.120642,3.12356
290,3.225691,3.241496,3.221228,3.224764,3.224524,3.224609,3.227621
300,3.312596,3.330615,3.308918,3.311913,3.311788,3.311953,3.315667
310,3.385829,3.405124,3.381665,3.384941,3.384909,3.385381,3.388642
320,3.467916,3.489573,3.463763,3.466775,3.466478,3.467615,3.471436
330,3.550148,3.573823,3.546566,3.549104,3.548937,3.550351,3.553877
340,3.639011,3.665029,3.635683,3.638409,3.63784,3.63947,3.643605
350,3.741335,3.769767,3.738143,3.740565,3.739717,3.741832,3.746027
360,3.818501,3.849174,3.814931,3.817435,3.816574,3.818942,3.822924
370,3.893993,3.927069,3.891389,3.893149,3.891945,3.894704,3.899366
380,3.978193,4.013596,3.975761,3.977214,3.976298,3.979107,3.983624
390,4.077356,4.115565,4.075055,4.07599,4.07512,4.078643,4.08337
400,4.072607,4.107096,4.068683,4.071523,4.070483,4.07342,4.077659
410,4.125977,4.163655,4.12194,4.124476,4.12334,4.126382,4.131431
420,4.226396,4.268015,4.223532,4.225669,4.223759,4.227537,4.232464
430,4.311064,4.355651,4.308039,4.309814,4.30801,4.312424,4.317315
440,4.390042,4.437634,4.387416,4.388602,4.386534,4.39155,4.39678
450,4.47009,4.520296,4.467809,4.468543,4.466822,4.471738,4.47721
460,4.569377,4.623858,4.567602,4.567559,4.56632,4.571611,4.577261
470,4.649939,4.708048,4.649209,4.648405,4.646737,4.652628,4.658491
480,4.737964,4.798844,4.736788,4.735965,4.734106,4.740426,4.746553
490,4.828108,4.893664,4.827521,4.82635,4.824364,4.830442,4.837075
500,4.904129,4.972541,4.903496,4.901936,4.899742,4.906945,4.913536
510,4.979526,5.051638,4.979117,4.977104,4.975085,4.982869,4.989246
520,5.070763,5.147093,5.071009,5.068678,5.066528,5.074265,5.081588
530,5.155735,5.236532,5.15618,5.153515,5.151335,5.159296,5.166849
540,5.239447,5.324953,5.24016,5.237284,5.234444,5.243362,5.25087
550,5.325419,5.416093,5.326134,5.323476,5.320309,5.329918,5.337699
560,5.415872,5.512054,5.416326,5.413238,5.410367,5.421025,5.428895
570,5.486454,5.587414,5.486404,5.483775,5.48102,5.49129,5.49989
580,5.565993,5.672733,5.565701,5.56353,5.560161,5.571046,5.579925
590,5.660954,5.774642,5.659521,5.658079,5.654929,5.666648,5.675318
591.000014,5.660075,5.774383,5.658995,5.657614,5.654329,5.666124,5.674686
592.000014,5.666081,5.780542,5.664445,5.663079,5.660073,5.672097,5.680146
593.000014,5.673397,5.787867,5.671602,5.670271,5.667066,5.678641,5.68726
594.000014,5.677404,5.792636,5.675496,5.674169,5.67119,5.682673,5.691102
595.000014,5.691126,5.807687,5.689534,5.6882,5.685035,5.696625,5.705784
596.000014,5.702993,5.820967,5.701467,5.700216,5.697397,5.709285,5.717638
597.000014,5.716094,5.834508,5.714414,5.713403,5.70975,5.72207,5.730616
598.000014,5.726681,5.846088,5.72453,5.723698,5.720445,5.732216,5.741865
599.000014,5.734881,5.855307,5.73254,5.732084,5.728561,5.740587,5.749715
600.000014,5.743675,5.86502,5.741486,5.740973,5.737467,5.749826,5.758645
601.000014,5.749588,5.87161,5.747184,5.746962,5.74339,5.755526,5.764195
602.000014,5.756736,5.879234,5.754108,5.753726,5.75038,5.76244,5.77142
603.000014,5.766059,5.88915,5.762872,5.762767,5.759562,5.771718,5.78119
604.000014,5.767661,5.891728,5.765003,5.764833,5.761389,5.773402,5.782727
605.000014,5.782527,5.908083,5.779683,5.779719,5.776084,5.788803,5.797794
606.000014,5.784893,5.910691,5.782,5.782466,5.778621,5.79103,5.799955
607.000014,5.792501,5.918819,5.789507,5.789395,5.786015,5.798623,5.807095
608.000014,5.805745,5.932848,5.802394,5.802487,5.799038,5.811548,5.820761
609.000014,5.810385,5.939166,5.807444,5.807578,5.804234,5.816568,5.826076
610.000014,5.819793,5.949774,5.81681,5.8173,5.813554,5.826347,5.8356
611.000014,5.832619,5.963258,5.829268,5.829831,5.826437,5.838888,5.847877
612.000014,5.839015,5.970622,5.835298,5.835928,5.832734,5.845167,5.853969
613.000014,5.848758,5.981628,5.844931,5.845442,5.842277,5.854792,5.864502
614.000014,5.85803,5.991906,5.854071,5.85534,5.851486,5.864015,5.873724
615.000014,5.868982,6.003867,5.864645,5.865989,5.862095,5.87546,5.884175
616.000014,5.879878,6.01601,5.875512,5.876809,5.873321,5.885956,5.895449
617.000014,5.880936,6.018026,5.876514,5.877896,5.874426,5.887159,5.896525
618.000014,5.889025,6.027114,5.884466,5.885765,5.882224,5.895186,5.904542
619.000014,5.895298,6.034145,5.890637,5.89214,5.888402,5.901393,5.910833
620.000014,5.898122,6.038045,5.8937,5.895167,5.891571,5.904263,5.914118
621.000014,5.906959,6.047977,5.902216,5.904308,5.900212,5.913609,5.922933
622.000014,5.921699,6.064025,5.916866,5.918434,5.914926,5.928449,5.937496
623.000014,5.930687,6.074765,5.92616,5.927783,5.924097,5.937319,5.9471
624.000014,5.942266,6.08822,5.937425,5.939626,5.935511,5.948967,5.958836
625.000014,5.954422,6.102036,5.949604,5.951485,5.947751,5.96111,5.970217
626.000014,5.960275,6.109328,5.955134,5.957523,5.954041,5.967007,5.976463
627.000014,5.967877,6.117957,5.962546,5.964727,5.961043,5.974437,5.98412
628.000014,5.976805,6.1283,5.971017,5.973379,5.969972,5.98305,5.993027
629.000014,5.978141,6.130403,5.972584,5.974987,5.971124,5.984815,5.994897
630.000014,5.980738,6.133989,5.975029,5.977839,5.974339,5.987287,5.99699
631.000014,5.986998,6.140753,5.981119,5.984282,5.980274,5.99398,6.00333
632.000014,5.9873,6.142024,5.98148,5.984475,5.980594,5.994283,6.003982
633.000014,5.995055,6.150227,5.988629,5.991874,5.987804,6.001625,6.011084
634.000014,6.008817,6.165858,6.002714,6.0059,6.002294,6.015643,6.025688
635.000014,6.019004,6.178356,6.012882,6.015623,6.012064,6.025861,6.035716
636.000014,6.035721,6.197737,6.029283,6.032694,6.02864,6.042819,6.052312
637.000014,6.051386,6.217019,6.044704,6.048453,6.044552,6.058367,6.068519
