?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.059906,0.059434,0.058375
20.000000,0.166314,0.165316,0.162445
30.000000,0.283821,0.282323,0.278038
40.000000,0.384768,0.382946,0.377803
50.000000,0.468431,0.466314,0.460522
60.000000,0.544854,0.542473,0.536280
70.000000,0.597005,0.594603,0.587940
80.000000,0.668969,0.666496,0.659257
90.000000,0.752677,0.750208,0.741884
100.000000,0.873226,0.870741,0.862194
110.000000,0.996462,0.994140,0.985478
120.000000,1.152479,1.149973,1.141566
130.000000,1.306539,1.304030,1.295242
140.000000,1.469971,1.467405,1.458460
150.000000,1.636531,1.634216,1.625122
160.000000,1.778894,1.776705,1.767276
170.000000,1.895808,1.893667,1.883944
180.000000,1.989159,1.987602,1.976824
190.000000,2.079839,2.078902,2.067475
200.000000,2.178155,2.178253,2.165996
210.000000,2.274195,2.275143,2.262268
220.000000,2.373945,2.375776,2.361585
230.000000,2.464015,2.466503,2.451111
240.000000,2.554770,2.557535,2.541053
250.000000,2.599508,2.600891,2.585174
260.000000,2.615801,2.615611,2.600817
270.000000,2.635673,2.635564,2.620486
280.000000,2.714348,2.716954,2.699466
290.000000,2.814788,2.820237,2.800127
300.000000,2.916033,2.922925,2.901306
310.000000,3.007125,3.015248,2.992183
320.000000,3.098861,3.108722,3.083596
330.000000,3.191515,3.203301,3.176125
340.000000,3.282482,3.295730,3.266523
350.000000,3.377035,3.392010,3.360879
360.000000,3.466740,3.483644,3.450294
370.000000,3.559499,3.578816,3.543124
380.000000,3.645689,3.666791,3.629072
390.000000,3.736898,3.760064,3.719897
400.000000,3.827040,3.852310,3.809784
410.000000,3.915671,3.943473,3.898226
420.000000,3.999961,4.030328,3.982389
430.000000,4.086880,4.119845,4.069062
440.000000,4.182400,4.218207,4.164304
450.000000,4.277267,4.316048,4.259242
460.000000,4.365819,4.407492,4.347643
470.000000,4.452220,4.496751,4.433905
480.000000,4.534384,4.580735,4.514702
490.000000,4.624080,4.672892,4.603355
500.000000,4.715389,4.766794,4.693672
510.000000,4.802030,4.856698,4.780106
520.000000,4.889627,4.947820,4.867610
530.000000,4.975902,5.037597,4.953584
540.000000,5.061811,5.127249,5.039311
550.000000,5.145305,5.214219,5.122401
560.000000,5.230539,5.303266,5.207300
570.000000,5.325479,5.402764,5.301966
580.000000,5.412876,5.494657,5.389049
590.000000,5.473463,5.558425,5.449349
591.000014,5.504530,5.591100,5.480167
592.000014,5.509805,5.596736,5.485343
593.000014,5.515757,5.603037,5.491263
594.000014,5.519467,5.607122,5.494926
595.000014,5.530756,5.618771,5.506257
596.000014,5.542041,5.630707,5.517375
597.000014,5.557732,5.646946,5.532897
598.000014,5.569783,5.659956,5.544850
599.000014,5.581012,5.671662,5.555874
600.000014,5.592081,5.683658,5.567113
601.000014,5.598632,5.690640,5.573675
602.000014,5.605393,5.698158,5.580696
603.000014,5.608953,5.702017,5.584154
604.000014,5.612842,5.706186,5.587939
605.000014,5.617888,5.711421,5.592825
606.000014,5.623668,5.717442,5.598471
607.000014,5.635952,5.730240,5.610506
608.000014,5.649576,5.744687,5.624157
609.000014,5.663752,5.759592,5.638103
610.000014,5.675620,5.772286,5.650013
611.000014,5.683541,5.780842,5.657766
612.000014,5.690636,5.788653,5.665042
613.000014,5.695866,5.794490,5.670409
614.000014,5.701395,5.800401,5.675882
615.000014,5.708266,5.807767,5.682650
616.000014,5.717417,5.817188,5.691373
617.000014,5.729234,5.829977,5.703351
618.000014,5.740023,5.841327,5.713999
619.000014,5.749239,5.851159,5.723154
620.000014,5.756475,5.858745,5.730203
