?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.061084,0.061227,0.060530
20.000000,0.152138,0.152224,0.150546
30.000000,0.271746,0.272764,0.270758
40.000000,0.368739,0.370727,0.368936
50.000000,0.476683,0.479949,0.478426
60.000000,0.538281,0.541381,0.540057
70.000000,0.593726,0.597061,0.595665
80.000000,0.694502,0.698536,0.697645
90.000000,0.833338,0.838997,0.837748
100.000000,1.005468,1.011713,1.010458
110.000000,1.152212,1.158039,1.156264
120.000000,1.315195,1.320867,1.318824
130.000000,1.478454,1.483657,1.480931
140.000000,1.633351,1.638252,1.634421
150.000000,1.776533,1.780603,1.776147
160.000000,1.893118,1.897169,1.891922
170.000000,1.998210,2.002903,1.996805
180.000000,2.094328,2.100080,2.092495
190.000000,2.192205,2.198927,2.190081
200.000000,2.290955,2.298269,2.288307
210.000000,2.394289,2.402423,2.390936
220.000000,2.449876,2.456967,2.446342
230.000000,2.466791,2.472504,2.463344
240.000000,2.485441,2.490660,2.481915
250.000000,2.572196,2.579562,2.568057
260.000000,2.679073,2.688835,2.674006
270.000000,2.791026,2.802290,2.785401
280.000000,2.873179,2.885693,2.867265
290.000000,2.960768,2.974118,2.954109
300.000000,3.041447,3.056009,3.033779
310.000000,3.131860,3.147788,3.122899
320.000000,3.234908,3.252531,3.224574
330.000000,3.329957,3.349340,3.318618
340.000000,3.421786,3.442845,3.409258
350.000000,3.509908,3.533474,3.496721
360.000000,3.602037,3.627458,3.587539
370.000000,3.696077,3.723883,3.680444
380.000000,3.784560,3.814121,3.767640
390.000000,3.875952,3.908011,3.858123
400.000000,3.968857,4.003455,3.950240
410.000000,4.065956,4.103242,4.046944
420.000000,4.158567,4.198361,4.138634
430.000000,4.249709,4.292167,4.229090
440.000000,4.341137,4.386560,4.319532
450.000000,4.429459,4.478356,4.407504
460.000000,4.516453,4.568417,4.493671
470.000000,4.576917,4.631566,4.553640
471.000015,4.611867,4.668019,4.588491
472.000015,4.619026,4.675680,4.595647
473.000015,4.630086,4.687077,4.606777
474.000015,4.643191,4.700611,4.619780
475.000015,4.656403,4.714404,4.632982
476.000015,4.666629,4.725235,4.643116
477.000015,4.675077,4.734330,4.651696
478.000015,4.682333,4.741702,4.658676
479.000015,4.688246,4.748134,4.664747
480.000015,4.693462,4.753567,4.669565
481.000015,4.699173,4.759588,4.675248
482.000015,4.706605,4.767171,4.682483
483.000015,4.718098,4.778692,4.693745
484.000015,4.730629,4.791858,4.706487
485.000015,4.744100,4.805632,4.719655
486.000015,4.755063,4.817514,4.730880
487.000015,4.764814,4.827922,4.740650
488.000015,4.773869,4.837314,4.749640
489.000015,4.782480,4.845735,4.757644
490.000015,4.789778,4.853003,4.764419
491.000015,4.794556,4.858157,4.769286
492.000015,4.798617,4.862973,4.774006
493.000015,4.804210,4.869089,4.780060
494.000015,4.814756,4.880011,4.790328
495.000015,4.828174,4.893992,4.803501
496.000015,4.841550,4.908257,4.816808
497.000015,4.852827,4.920349,4.828230
498.000015,4.861448,4.929631,4.836811
499.000015,4.869521,4.937922,4.844672
500.000015,4.875293,4.944181,4.850523
501.000015,4.880062,4.948956,4.855004
502.000015,4.885172,4.954149,4.859853
503.000015,4.892962,4.962121,4.867232
504.000015,4.904637,4.974709,4.879121
505.000015,4.918284,4.989275,4.892984
506.000015,4.931575,5.003331,4.906435
507.000015,4.943956,5.015935,4.918588
508.000015,4.954439,5.027119,4.929095
509.000015,4.963338,5.036528,4.938014
510.000015,4.969842,5.043837,4.944625
511.000015,4.975737,5.049830,4.950123
512.000015,4.981237,5.055450,4.955169
513.000015,4.985622,5.059765,4.959187
514.000015,4.991550,5.066130,4.965143
515.000015,5.000283,5.075421,4.974302
516.000015,5.012863,5.088717,4.986973
517.000015,5.026934,5.103443,5.001100
518.000015,5.039745,5.116982,5.013767
519.000015,5.051268,5.129312,5.025165
520.000015,5.061092,5.139744,5.034800
521.000015,5.069451,5.148982,5.043120
522.000015,5.076510,5.156664,5.050258
523.000015,5.081535,5.162453,5.055598
524.000015,5.086294,5.167588,5.060465
525.000015,5.090298,5.171400,5.064156
526.000015,5.095709,5.177031,5.069288
527.000015,5.102519,5.184179,5.075856
528.000015,5.113680,5.196194,5.087254
529.000015,5.128081,5.210952,5.101292
530.000015,5.144368,5.228394,5.117588
531.000015,5.158148,5.243109,5.131209
532.000015,5.169843,5.255995,5.143120
533.000015,5.179927,5.266725,5.153040
534.000015,5.188727,5.276244,5.161720
535.000015,5.195400,5.283658,5.168394
536.000015,5.200182,5.289018,5.173285
537.000015,5.205554,5.294798,5.178463
538.000015,5.210899,5.300375,5.183448
539.000015,5.216998,5.306415,5.189213
540.000015,5.223623,5.313568,5.195819
541.000015,5.232939,5.323299,5.205094
542.000015,5.243992,5.335084,5.216069
543.000015,5.254401,5.346132,5.226457
544.000015,5.263945,5.356543,5.236114
545.000015,5.273092,5.366287,5.244981
546.000015,5.282718,5.376991,5.254842
547.000015,5.292396,5.387470,5.264283
548.000015,5.301682,5.397842,5.273854
549.000015,5.311012,5.408062,5.283014
550.000015,5.319334,5.417485,5.291746
551.000015,5.326039,5.425061,5.298264
552.000015,5.331685,5.430769,5.303546
553.000015,5.337380,5.437081,5.309076
554.000015,5.344520,5.444659,5.316274
555.000015,5.355692,5.457035,5.327527
556.000015,5.369331,5.471301,5.340672
557.000015,5.384843,5.487580,5.355747
558.000015,5.397235,5.501410,5.368456
559.000015,5.408456,5.513810,5.379673
560.000015,5.417462,5.524242,5.388892
561.000015,5.425360,5.532536,5.396071
562.000015,5.431392,5.539144,5.401750
563.000015,5.436622,5.545001,5.406594
564.000015,5.441024,5.550281,5.411006
565.000015,5.445151,5.555611,5.415518
566.000015,5.451188,5.562168,5.421495
567.000015,5.461846,5.573714,5.432220
568.000015,5.475736,5.588424,5.445935
569.000015,5.489568,5.603578,5.459698
570.000015,5.500353,5.615251,5.470040
571.000015,5.508158,5.624017,5.477580
572.000015,5.513834,5.631427,5.483523
573.000015,5.519107,5.637985,5.488962
574.000015,5.523967,5.643673,5.493541
575.000015,5.530830,5.650412,5.499571
576.000015,5.536928,5.656986,5.505141
577.000015,5.545723,5.666848,5.513836
578.000015,5.556216,5.678527,5.524368
579.000015,5.569481,5.693086,5.537536
580.000015,5.582258,5.707519,5.550238
581.000015,5.592600,5.720011,5.560424
582.000015,5.600805,5.729766,5.568194
583.000015,5.607529,5.737687,5.574509
584.000015,5.612391,5.743084,5.578849
585.000015,5.616556,5.747970,5.582540
586.000015,5.621171,5.753365,5.586782
587.000015,5.627834,5.761108,5.593220
588.000015,5.636812,5.771832,5.602441
589.000015,5.648104,5.784623,5.613617
590.000015,5.658636,5.796405,5.623956
590.500027,5.667478,5.805924,5.632421
591.000027,5.672838,5.812110,5.637401
591.500027,5.677458,5.817959,5.642038
592.000027,5.681427,5.823350,5.646202
592.500027,5.685747,5.829022,5.650435
593.000027,5.689528,5.833931,5.654016
593.500027,5.693452,5.838627,5.657279
594.000027,5.696766,5.842246,5.660123
594.500027,5.699435,5.845328,5.662459
595.000027,5.701810,5.848152,5.664507
595.500027,5.704179,5.850984,5.666475
596.000027,5.707251,5.854580,5.669116
596.500027,5.710496,5.858445,5.672171
597.000027,5.713954,5.862766,5.675543
597.500027,5.717386,5.866936,5.678708
598.000027,5.720356,5.871328,5.681912
598.500027,5.723983,5.876059,5.685581
599.000027,5.728620,5.881828,5.690460
599.500027,5.734819,5.888191,5.695956
600.000027,5.741115,5.894987,5.701668
600.500027,5.747210,5.901861,5.707317
601.000027,5.752732,5.908787,5.712865
601.500027,5.758441,5.916097,5.718602
602.000027,5.764566,5.923332,5.724182
602.500027,5.771064,5.930661,5.729936
603.000027,5.777280,5.938047,5.735728
603.500027,5.782499,5.944779,5.740568
604.000027,5.786590,5.950388,5.744229
604.500027,5.789934,5.954892,5.746966
605.000027,5.793370,5.959657,5.750013
605.500027,5.796653,5.964527,5.753266
606.000027,5.799731,5.968922,5.756340
606.500027,5.802813,5.972783,5.758922
607.000027,5.805467,5.976098,5.761218
607.500027,5.808420,5.979384,5.763390
608.000027,5.810145,5.981916,5.765108
608.500027,5.811812,5.984240,5.766267
609.000027,5.813061,5.986145,5.767360
609.500027,5.814842,5.988508,5.768724
610.000027,5.817052,5.991236,5.770748
610.500027,5.819106,5.993892,5.772605
611.000027,5.821367,5.996786,5.774619
611.500027,5.824297,6.000296,5.777202
