?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],17.eps1 [%],18.eps1 [%],19.eps1 [%],20.eps1 [%]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.015338,-0.017117,0.037406,0.014114,0.013646,0.025869,0.017881,0.001699,0.000522,0.009716,0.005458,0.018726,0.005066,-0.001331,0.014834,0.011567,0.008104,0.010385,0.023381,0.016646
20.000000,0.076317,0.018500,0.087917,0.045606,0.045110,0.085192,0.147650,0.024814,0.027483,0.067827,0.020046,0.055081,0.025570,0.038257,0.034967,0.030064,0.048639,0.059538,0.032245,0.035737
30.000000,0.220293,0.105265,0.147112,0.233343,0.159096,0.197094,0.269974,0.086312,0.088215,0.141881,0.055069,0.125079,0.070388,0.138528,0.116534,0.086769,0.192317,0.151827,0.050940,0.079824
40.000000,0.207214,0.172272,0.136902,0.248414,0.141808,0.215123,0.314370,0.096747,0.109511,0.183358,0.055180,0.129304,0.100258,0.172263,0.140766,0.083711,0.225489,0.219109,0.061668,0.099441
50.000000,0.383829,0.270488,0.196749,0.405079,0.297225,0.261999,0.478895,0.205309,0.180726,0.252170,0.151646,0.173710,0.185965,0.272071,0.211153,0.156078,0.318603,0.302089,0.111543,0.143338
60.000000,0.330158,0.238650,0.219018,0.271477,0.303306,0.235832,0.459421,0.225712,0.161390,0.183253,0.124328,0.135020,0.218790,0.253261,0.173205,0.153155,0.211228,0.332479,0.189101,0.134746
70.000000,0.509554,0.300718,0.293548,0.377521,0.407469,0.295949,0.557978,0.336451,0.216410,0.267445,0.170645,0.171579,0.260406,0.334439,0.206032,0.198107,0.277151,0.357478,0.184022,0.141352
80.000000,0.505089,0.319694,0.298660,0.395394,0.451327,0.344043,0.581406,0.314550,0.200304,0.265956,0.154061,0.187098,0.271914,0.342784,0.209337,0.198965,0.273033,0.372605,0.225069,0.137403
90.000000,0.575845,0.348206,0.257819,0.536272,0.430930,0.360398,0.627902,0.324406,0.234528,0.346763,0.180835,0.238785,0.239793,0.348256,0.235713,0.218257,0.386651,0.338465,0.147450,0.147542
100.000000,0.572314,0.361628,0.236256,0.557117,0.416616,0.328905,0.676853,0.298045,0.245092,0.328250,0.187901,0.257299,0.229575,0.348702,0.237757,0.225645,0.417333,0.367914,0.141906,0.147642
110.000000,0.548694,0.384693,0.214055,0.517023,0.290931,0.305212,0.559679,0.320193,0.274116,0.317796,0.192356,0.267853,0.182388,0.321867,0.239439,0.211064,0.439256,0.341361,0.079686,0.131130
120.000000,0.538514,0.405491,0.189332,0.517587,0.294170,0.294765,0.562412,0.328901,0.258111,0.309400,0.198401,0.252818,0.183971,0.336765,0.238234,0.195613,0.449747,0.369362,0.085695,0.133888
130.000000,0.553334,0.436761,0.152517,0.499154,0.305396,0.314836,0.556001,0.383639,0.245725,0.260939,0.205780,0.269906,0.189477,0.300507,0.233434,0.204905,0.470820,0.326777,0.096899,0.138410
140.000000,0.499952,0.425906,0.202330,0.445037,0.370929,0.286610,0.412020,0.392070,0.178034,0.205356,0.169015,0.231646,0.224742,0.261914,0.198624,0.158224,0.411413,0.298793,0.084230,0.149832
150.000000,0.492576,0.392753,0.231634,0.310600,0.321223,0.278097,0.266010,0.396294,0.124878,0.153167,0.144899,0.206758,0.216689,0.170997,0.182826,0.144045,0.295203,0.244868,0.074957,0.152477
160.000000,0.486922,0.333532,0.272880,0.257716,0.304376,0.303835,0.233918,0.367743,0.078818,0.158025,0.137863,0.162705,0.223593,0.176258,0.173111,0.136354,0.200463,0.231062,0.085589,0.173298
170.000000,0.486268,0.368237,0.312753,0.273574,0.216271,0.341129,0.398861,0.415347,0.106784,0.203734,0.176995,0.192749,0.229963,0.207620,0.206728,0.178621,0.242844,0.231824,0.134328,0.171036
180.000000,0.442122,0.417527,0.316529,0.316324,0.162699,0.332342,0.517041,0.458409,0.147606,0.194023,0.166166,0.197188,0.206576,0.212512,0.210907,0.179457,0.293446,0.227103,0.173229,0.180025
190.000000,0.358498,0.407194,0.303763,0.383070,0.153180,0.314740,0.445355,0.478975,0.190642,0.180434,0.142945,0.180839,0.161606,0.180646,0.184107,0.158283,0.344976,0.208115,0.219149,0.166526
200.000000,0.391423,0.343368,0.235254,0.328728,0.193093,0.310385,0.297982,0.436080,0.172777,0.156401,0.122396,0.160677,0.120331,0.148857,0.159330,0.116629,0.358345,0.181991,0.200132,0.204996
210.000000,0.447150,0.363332,0.292545,0.305880,0.220488,0.312428,0.133554,0.402473,0.161337,0.156543,0.173655,0.199302,0.171614,0.184043,0.168458,0.121338,0.388475,0.201139,0.176703,0.186425
220.000000,0.492010,0.463348,0.322396,0.328353,0.244371,0.353902,0.235370,0.420355,0.158046,0.188099,0.180073,0.279936,0.205424,0.226611,0.238731,0.177409,0.436015,0.255868,0.139816,0.184518
230.000000,0.447759,0.457575,0.315263,0.323957,0.216401,0.343399,0.298748,0.467559,0.181328,0.157684,0.148147,0.255877,0.187945,0.197681,0.202442,0.185249,0.417620,0.300520,0.168591,0.168998
240.000000,0.427143,0.437469,0.324563,0.348391,0.256719,0.344556,0.304752,0.475200,0.170220,0.153367,0.154795,0.247932,0.190051,0.237805,0.196368,0.190054,0.398517,0.301514,0.169404,0.178895
250.000000,0.465943,0.435402,0.311350,0.330721,0.271948,0.360126,0.247888,0.507066,0.217576,0.159378,0.169132,0.259019,0.196299,0.273596,0.199385,0.179264,0.424333,0.315187,0.169949,0.201590
260.000000,0.403565,0.476211,0.273360,0.355841,0.377213,0.371157,0.281141,0.494724,0.224839,0.183288,0.169100,0.255716,0.217255,0.359901,0.221666,0.213428,0.485309,0.310366,0.180181,0.203830
270.000000,0.392988,0.472609,0.187570,0.302288,0.421929,0.363175,0.395714,0.497567,0.242139,0.153779,0.136282,0.247614,0.202449,0.283479,0.170142,0.192362,0.481845,0.284184,0.212324,0.231426
280.000000,0.384137,0.440612,0.243578,0.207321,0.470480,0.306949,0.377162,0.450553,0.144844,0.090961,0.164608,0.229150,0.215566,0.227044,0.138432,0.150710,0.411239,0.245965,0.224598,0.216242
290.000000,0.495760,0.524863,0.330503,0.265917,0.448581,0.342073,0.326278,0.434525,0.134585,0.045004,0.197478,0.327621,0.278325,0.225290,0.196061,0.162238,0.353802,0.270882,0.204093,0.205865
300.000000,0.509036,0.562609,0.346615,0.316963,0.403870,0.407703,0.250839,0.442865,0.164136,0.061532,0.199266,0.372985,0.324809,0.291276,0.282961,0.202226,0.402780,0.331758,0.202276,0.201564
310.000000,0.486017,0.577262,0.268769,0.389349,0.366001,0.478414,0.237631,0.468465,0.221671,0.098689,0.159920,0.366207,0.347901,0.359272,0.321221,0.251633,0.502608,0.370192,0.207995,0.217893
320.000000,0.466955,0.578089,0.205743,0.415185,0.433061,0.493177,0.352402,0.498372,0.243287,0.176773,0.167516,0.356400,0.355039,0.410936,0.329998,0.291387,0.586687,0.374114,0.225674,0.237562
330.000000,0.435257,0.601587,0.245075,0.460488,0.553252,0.530960,0.439918,0.505886,0.247331,0.190642,0.176364,0.353236,0.366861,0.453428,0.320607,0.343430,0.588277,0.371421,0.246376,0.242722
340.000000,0.411835,0.667185,0.267168,0.477725,0.669508,0.539549,0.552472,0.485992,0.250542,0.181390,0.218727,0.378868,0.373711,0.496824,0.325242,0.373466,0.555725,0.373877,0.264564,0.244378
350.000000,0.366603,0.661669,0.316423,0.496371,0.703770,0.556299,0.648853,0.486206,0.257171,0.159254,0.222681,0.368606,0.384328,0.505374,0.333900,0.401265,0.563264,0.384041,0.289744,0.265029
360.000000,0.349258,0.722105,0.334389,0.462740,0.737625,0.518676,0.627964,0.498794,0.259249,0.184513,0.209612,0.367543,0.403249,0.549098,0.353765,0.398498,0.608129,0.409435,0.311257,0.307022
370.000000,0.337176,0.848007,0.406130,0.432262,0.764436,0.517306,0.537742,0.538998,0.262017,0.168192,0.169957,0.363260,0.443439,0.543264,0.350921,0.419159,0.635430,0.440375,0.337377,0.362167
380.000000,0.400232,0.933515,0.480789,0.393652,0.763818,0.514323,0.415562,0.553255,0.265727,0.157658,0.166200,0.364400,0.443962,0.553914,0.353731,0.418718,0.614937,0.480334,0.361304,0.392958
390.000000,0.459201,0.961628,0.594771,0.371451,0.792561,0.574541,0.415535,0.573743,0.272366,0.121140,0.194834,0.363706,0.428358,0.557659,0.362647,0.456250,0.606616,0.489573,0.404338,0.413232
400.000000,0.530442,0.887059,0.673887,0.355004,0.788572,0.615668,0.406157,0.577427,0.292309,0.107767,0.237736,0.381000,0.416402,0.574081,0.385855,0.464098,0.605257,0.490027,0.450818,0.430759
410.000000,0.545516,0.869014,0.715881,0.317214,0.785352,0.634397,0.403250,0.604094,0.291538,0.098029,0.280504,0.399404,0.448459,0.580040,0.407160,0.485317,0.624271,0.503776,0.486099,0.472471
411.000014,0.584366,0.868603,0.714650,0.349803,0.768680,0.603403,0.460369,0.620360,0.268872,0.113066,0.296869,0.390080,0.452030,0.541582,0.412909,0.476298,0.616113,0.542149,0.483910,0.493070
412.000014,0.605955,0.904489,0.780242,0.370532,0.775438,0.605216,0.468801,0.622442,0.280113,0.103689,0.302456,0.369982,0.444849,0.540022,0.427397,0.477402,0.603269,0.567428,0.472066,0.490747
413.000014,0.622833,0.908787,0.800285,0.362876,0.795075,0.619381,0.468568,0.612368,0.270049,0.096852,0.293680,0.371740,0.430082,0.549907,0.438230,0.466718,0.595755,0.546499,0.488494,0.475558
414.000014,0.600235,0.865404,0.774179,0.335155,0.794766,0.637293,0.426043,0.607656,0.302065,0.112797,0.286355,0.383998,0.440729,0.566669,0.448796,0.462158,0.589898,0.520767,0.514629,0.472185
415.000014,0.562168,0.792575,0.668358,0.319836,0.771557,0.617957,0.452789,0.626816,0.272370,0.144605,0.293672,0.396854,0.463170,0.538830,0.435020,0.461314,0.609401,0.528068,0.541329,0.502171
416.000014,0.562898,0.751360,0.624912,0.336126,0.749779,0.602062,0.453427,0.640006,0.282305,0.179457,0.306369,0.403350,0.468342,0.510417,0.432954,0.456038,0.634499,0.566855,0.543047,0.532936
417.000014,0.608619,0.764529,0.602797,0.345416,0.733218,0.596360,0.464815,0.655266,0.278116,0.192044,0.324076,0.407502,0.462831,0.510562,0.435545,0.449890,0.683100,0.604305,0.540345,0.542038
418.000014,0.647192,0.785952,0.589187,0.348912,0.724443,0.592834,0.433370,0.657814,0.293879,0.171938,0.319622,0.400968,0.448459,0.512703,0.442022,0.440263,0.668887,0.606319,0.530993,0.541728
419.000014,0.650658,0.826170,0.572224,0.327825,0.724431,0.607956,0.428653,0.667629,0.318248,0.157514,0.302261,0.388752,0.435367,0.523446,0.446817,0.443442,0.652039,0.584531,0.532583,0.521685
420.000014,0.628121,0.822598,0.587665,0.343349,0.734880,0.609655,0.455255,0.651325,0.295904,0.163692,0.319937,0.400190,0.454007,0.564433,0.445747,0.446652,0.634678,0.574492,0.533076,0.532368
421.000014,0.636855,0.807792,0.563556,0.351376,0.730945,0.607649,0.495190,0.644867,0.298437,0.169637,0.328499,0.415851,0.468704,0.565434,0.438804,0.450289,0.648992,0.605369,0.543614,0.546917
422.000014,0.651776,0.776107,0.547121,0.381107,0.719374,0.597338,0.478403,0.631305,0.280878,0.170712,0.356129,0.421233,0.468714,0.562979,0.430514,0.451668,0.650367,0.627911,0.538678,0.563364
423.000014,0.669661,0.782249,0.552594,0.347125,0.719734,0.621114,0.450595,0.643291,0.305512,0.142761,0.327896,0.403834,0.437671,0.520345,0.434305,0.449582,0.632112,0.619864,0.546060,0.540613
424.000014,0.641301,0.790661,0.580914,0.334766,0.728831,0.616679,0.440809,0.651845,0.300695,0.160008,0.325817,0.409816,0.413855,0.522074,0.449124,0.456283,0.617459,0.574672,0.561467,0.521366
425.000014,0.614258,0.774802,0.576415,0.329551,0.725138,0.618371,0.472907,0.658075,0.271347,0.161132,0.314624,0.430132,0.433317,0.513545,0.454256,0.445382,0.639023,0.557255,0.583682,0.522875
426.000014,0.628917,0.742175,0.495436,0.362435,0.729708,0.595974,0.475675,0.680899,0.262915,0.176259,0.343598,0.472289,0.458370,0.516754,0.453556,0.440042,0.660683,0.566256,0.593017,0.548151
427.000014,0.675384,0.726268,0.491508,0.363873,0.719288,0.604820,0.460025,0.676075,0.271684,0.170256,0.356239,0.482180,0.462622,0.519646,0.449629,0.440753,0.665716,0.590939,0.594206,0.557459
428.000014,0.739322,0.758758,0.506887,0.337821,0.880397,0.610445,0.445215,0.695886,0.307987,0.156520,0.368515,0.475303,0.437377,0.539363,0.462573,0.437304,0.651166,0.589388,0.591089,0.553314
429.000014,0.714674,0.760434,0.508616,0.330510,0.820763,0.619755,0.465358,0.688814,0.306982,0.153291,0.352120,0.474188,0.421705,0.527297,0.465257,0.449058,0.647004,0.575793,0.596206,0.560509
430.000014,0.727596,0.769555,0.435785,0.333465,0.806164,0.610551,0.469891,0.725006,0.297541,0.199103,0.366872,0.493465,0.429230,0.490480,0.466675,0.442387,0.688700,0.581560,0.607049,0.564952
431.000014,0.749978,0.751044,0.385623,0.337776,0.622766,0.610309,0.462995,0.716077,0.320209,0.221018,0.372813,0.525621,0.433026,0.454069,0.466021,0.448477,0.701088,0.610156,0.616868,0.585629
