?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],A 1.eps1 [%],C1.eps1 [%],A 1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.089215,0.108820,0.053652,0.080569,0.113685,0.046978,0.077838,0.050418,0.068849,0.071245,0.019132,0.014074,0.043499,0.042855
20.000000,0.111173,0.152594,0.083291,0.150404,0.165441,0.094570,0.123483,0.090303,0.106786,0.116756,0.038070,0.027543,0.167204,0.167767
30.000000,0.197341,0.194874,0.086720,0.210138,0.256205,0.137399,0.104498,0.149381,0.160988,0.142884,0.045362,0.042479,0.321329,0.323971
40.000000,0.200356,0.140258,0.073189,0.213131,0.251298,0.149655,0.072156,0.123066,0.182445,0.081549,0.032955,0.039261,0.465946,0.471577
50.000000,0.276850,0.190748,0.113166,0.256647,0.326821,0.160378,0.132409,0.202801,0.255367,0.128986,0.028100,0.045166,0.592076,0.598510
60.000000,0.264423,0.213070,0.100591,0.210040,0.365003,0.152257,0.141894,0.216582,0.240553,0.136451,0.019545,0.025383,0.711197,0.717371
70.000000,0.275481,0.239631,0.124614,0.153001,0.389588,0.153825,0.161527,0.291580,0.208245,0.209627,0.033908,0.038243,0.850364,0.855427
80.000000,0.252556,0.273488,0.152114,0.134136,0.364345,0.158472,0.163610,0.268288,0.198701,0.225716,0.043149,0.034434,0.962950,0.966887
90.000000,0.183897,0.206805,0.123490,0.100943,0.250783,0.119848,0.143464,0.169192,0.132148,0.172723,0.054877,0.034988,1.094095,1.096238
100.000000,0.176988,0.234463,0.120673,0.150405,0.265125,0.095429,0.121057,0.107924,0.166125,0.136666,0.049220,0.018946,1.212916,1.212752
