?? [s],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],17.eps1 [%],18.eps1 [%],19.eps1 [%],20.eps1 [%]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.019902,0.078871,0.040667,0.049043,0.014273,-0.000444,0.028796,0.016771,0.000576,0.024124
20.000000,0.079492,0.112293,0.107066,0.116651,0.072050,0.096942,0.077916,0.055002,0.067035,0.085129
30.000000,0.111521,0.179989,0.236568,0.109922,0.124535,0.062926,0.148014,0.136648,0.094190,0.145342
40.000000,0.122572,0.133207,0.233348,0.115466,0.200695,0.151150,0.161611,0.177819,0.121071,0.222616
50.000000,0.108338,0.157779,0.254886,0.170704,0.279783,0.193904,0.176592,0.178813,0.106388,0.248747
60.000000,0.084569,0.131714,0.220845,0.167621,0.221564,0.183728,0.104488,0.158777,0.083091,0.196193
70.000000,0.091776,0.176618,0.290374,0.136910,0.156774,0.158457,0.088194,0.184329,0.089379,0.149579
80.000000,0.115358,0.205030,0.331206,0.101783,0.114367,0.221165,0.100704,0.251771,0.090536,0.144418
90.000000,0.112372,0.201287,0.285256,0.124667,0.188772,0.246657,0.140564,0.199674,0.093745,0.157013
100.000000,0.100127,0.183300,0.245618,0.142510,0.208164,0.176692,0.172111,0.150931,0.066966,0.198236
110.000000,0.105038,0.182780,0.229382,0.104979,0.136220,0.070250,0.150071,0.154573,0.072534,0.210942
120.000000,0.105853,0.191740,0.306422,0.075027,0.055798,0.129499,0.120868,0.246036,0.066034,0.284297
130.000000,0.125551,0.215583,0.383597,0.071441,0.108099,0.187366,0.129330,0.274747,0.068814,0.260913
140.000000,0.113728,0.206601,0.356928,0.130636,0.163766,0.161750,0.113109,0.192742,0.052498,0.276129
150.000000,0.134981,0.253374,0.361027,0.141174,0.238314,0.118823,0.166366,0.170880,0.063084,0.277400
160.000000,0.114227,0.221968,0.327530,0.104517,0.168727,0.110927,0.166182,0.213652,0.101897,0.293691
170.000000,0.103051,0.227716,0.321665,0.091079,0.157095,0.108334,0.184521,0.245360,0.087408,0.260738
180.000000,0.274260,0.243189,0.574166,0.267269,0.171543,0.092196,0.261994,0.247446,0.519330,0.179249
190.000000,0.518110,0.326937,0.890638,0.462549,0.277330,0.121646,0.346031,0.239834,0.549179,0.174709
200.000000,0.735303,0.381935,1.219102,0.606089,0.359099,0.154977,0.439366,0.282037,0.621344,0.167853
210.000000,0.746366,0.377184,1.298632,0.585695,0.369922,0.188893,0.376968,0.288989,0.208708,0.221907
220.000000,0.733742,0.361975,1.291852,0.629826,0.360496,0.216719,0.366474,0.257836,0.225435,0.233178
230.000000,0.690183,0.361973,1.277169,0.626876,0.419315,0.225105,0.401173,0.247795,0.193889,0.276371
240.000000,0.714316,0.391237,1.189152,0.637445,0.388127,0.206124,0.435283,0.200506,0.195394,0.200820
250.000000,0.683979,0.428986,1.228524,0.642454,0.365195,0.166112,0.413822,0.221447,0.168296,0.182993
260.000000,0.768176,0.418413,1.269364,0.727129,0.378662,0.196235,0.378305,0.224482,0.224531,0.210565
270.000000,0.762424,0.361176,1.260723,0.737355,0.417493,0.186694,0.409381,0.234645,0.216948,0.289643
280.000000,0.749048,0.352339,1.181271,0.729332,0.398463,0.217802,0.429382,0.202807,0.204084,0.221304
290.000000,0.690228,0.375270,1.196911,0.691555,0.297366,0.198780,0.446925,0.182421,0.169835,0.123393
300.000000,0.686696,0.430034,1.274517,0.721362,0.278027,0.222616,0.408143,0.216020,0.211035,0.125794
310.000000,0.746330,0.410536,1.345434,0.722799,0.335157,0.248858,0.418200,0.247540,0.713540,0.174362
320.000000,0.774711,0.401871,1.349410,0.718106,0.382214,0.273107,0.424524,0.262801,0.759301,0.290292
330.000000,0.787143,0.382240,1.305943,0.734635,0.376737,0.286403,0.430919,0.253433,0.795300,0.294289
340.000000,0.759763,0.381209,1.241026,0.727431,0.337248,0.262533,0.421721,0.240989,0.348650,0.336402
350.000000,0.770654,0.410619,1.226257,0.767341,0.284962,0.282062,0.411179,0.240533,0.350227,0.291992
360.000000,0.777155,0.398778,1.223126,0.779994,0.268341,0.261320,0.450556,0.228845,0.330692,0.244213
370.000000,0.796656,0.413831,1.251625,0.817338,0.302978,0.339190,0.480570,0.228906,0.299911,0.205854
380.000000,0.782679,0.399386,1.271638,0.801125,0.398846,0.345487,0.517949,0.198755,0.284670,0.188738
390.000000,0.766595,0.405428,1.296653,0.810951,0.462977,0.376130,0.523577,0.180145,0.240741,0.204372
400.000000,0.769571,0.448478,1.324936,0.802132,0.548208,0.317143,0.533799,0.172090,0.248388,0.245672
410.000000,0.845053,0.458254,1.369789,0.810716,0.538395,0.345748,0.543821,0.195732,0.244256,0.266184
411.000014,0.915167,0.486148,1.437593,0.789196,0.535564,0.369080,0.555192,0.190277,0.273718,0.254191
