?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.037545,0.021020,0.013275,0.008283,0.008167,0.023010,0.002607,0.004627,0.005209,0.011057,0.013858,0.009235,0.010714,0.004887,0.018859,0.014288
20.000000,0.070094,0.039741,0.042223,0.047161,0.031758,0.051410,0.028086,0.011014,0.042854,0.026744,0.029002,0.038092,0.031960,0.024404,0.032106,0.046820
30.000000,0.092394,0.045942,0.047156,0.030394,0.037437,0.055966,0.026602,0.015175,0.023740,0.030325,0.021595,0.038687,0.026718,0.021307,0.052676,0.050203
40.000000,0.067846,0.047574,0.055988,0.021954,0.053398,0.054451,0.030418,0.028160,0.036183,0.041378,0.013039,0.054164,0.019571,0.025298,0.052987,0.058167
50.000000,0.056660,0.052394,0.051993,0.037930,0.058642,0.042501,0.024518,0.042867,0.034230,0.050732,0.013646,0.059847,0.010602,0.022869,0.078902,0.060998
60.000000,0.054108,0.059007,0.053853,0.024947,0.053614,0.048172,0.024160,0.057378,0.053624,0.071754,0.026460,0.072462,0.012361,0.030087,0.059219,0.077634
70.000000,0.070655,0.056890,0.057460,0.058042,0.042976,0.055586,0.017722,0.047520,0.056434,0.067647,0.035582,0.067304,0.015619,0.032729,0.046013,0.081069
80.000000,0.067925,0.067252,0.058356,0.056517,0.028915,0.070583,0.006802,0.042981,0.072871,0.072657,0.040423,0.068188,0.029431,0.037692,0.024786,0.067806
90.000000,0.065239,0.071473,0.051104,0.067725,0.036207,0.072731,0.000210,0.035690,0.074537,0.056172,0.039043,0.043646,0.028029,0.038370,0.028813,0.060307
100.000000,0.080811,0.067177,0.041406,0.023809,0.033868,0.066933,-0.006545,0.036095,0.080625,0.055438,0.045272,0.045028,0.027118,0.052214,0.027020,0.062849
110.000000,0.092818,0.061029,0.044531,0.038711,0.043360,0.059779,-0.000867,0.041374,0.079505,0.066526,0.040480,0.044331,0.024886,0.048169,0.029207,0.067629
120.000000,0.096642,0.063367,0.052162,0.023096,0.056188,0.051960,0.008897,0.033625,0.070560,0.052688,0.027835,0.059212,0.029597,0.040299,0.035617,0.073927
130.000000,0.071822,0.063005,0.049382,0.058412,0.046110,0.043051,0.023877,0.034462,0.051162,0.046014,0.012351,0.046451,0.045790,0.017639,0.049394,0.072475
140.000000,0.071643,0.063832,0.048508,0.038871,0.034016,0.052961,0.019033,0.018351,0.033767,0.025060,0.000562,0.040166,0.044976,0.016694,0.053568,0.083386
150.000000,0.062212,0.056207,0.039391,0.090149,0.027527,0.049215,0.005491,0.025128,0.032760,0.029336,0.015200,0.039361,0.049231,0.023851,0.052044,0.089349
160.000000,0.064637,0.056742,0.041326,0.077720,0.037149,0.037829,0.010271,0.021739,0.035784,0.025582,0.020851,0.057461,0.032412,0.030353,0.061906,0.120908
170.000000,0.067639,0.052877,0.028971,0.073269,0.050674,0.037395,0.018608,0.030663,0.053570,0.037491,0.034653,0.061459,0.034201,0.033453,0.059985,0.171297
180.000000,0.083464,0.061891,0.029016,0.037003,0.060505,0.049601,0.019645,0.023735,0.069536,0.060966,0.032550,0.067662,0.032930,0.039318,0.062991,0.242470
190.000000,0.086066,0.062689,0.020165,0.036243,0.067561,0.057148,0.018853,0.024367,0.056696,0.075879,0.030169,0.053990,0.031904,0.048076,0.055739,0.297467
200.000000,0.090153,0.057043,0.025151,0.041019,0.056122,0.046070,0.018500,0.028314,0.034100,0.057620,0.027056,0.052592,0.042661,0.042648,0.065828,0.310116
210.000000,0.101970,0.043783,0.029643,0.046662,0.050357,0.031392,0.023279,0.035359,0.029248,0.034729,0.025583,0.057063,0.060269,0.030889,0.079626,0.325764
220.000000,0.114747,0.053583,0.038841,0.043933,0.050011,0.041268,0.003296,0.036353,0.053399,0.031477,0.025402,0.056353,0.092753,0.028140,0.081574,0.303295
230.000000,0.109932,0.067189,0.043110,0.040124,0.051681,0.055869,0.008134,0.026888,0.058593,0.029722,0.024102,0.057066,0.101332,0.028821,0.076365,0.292681
240.000000,0.085079,0.078134,0.040722,0.024875,0.039139,0.066366,0.009687,0.030487,0.054907,0.023836,0.026820,0.047563,0.108039,0.032766,0.066868,0.255949
250.000000,0.088186,0.065668,0.033373,0.025719,0.043986,0.057832,0.032072,0.041465,0.059168,0.015610,0.027359,0.054279,0.104097,0.028551,0.069717,0.231940
260.000000,0.088988,0.063188,0.038339,0.045154,0.044939,0.051137,0.038225,0.043704,0.066677,0.031575,0.030113,0.057923,0.111525,0.035659,0.078892,0.213297
270.000000,0.104282,0.061447,0.043627,0.060831,0.052776,0.059197,0.044015,0.039718,0.071284,0.037378,0.031143,0.059591,0.129599,0.038151,0.080088,0.182493
280.000000,0.107608,0.079409,0.038374,0.073697,0.051583,0.075635,0.027768,0.036439,0.056922,0.032213,0.033144,0.061696,0.144813,0.043847,0.077204,0.159370
290.000000,0.117245,0.075020,0.024504,0.081528,0.051058,0.086305,0.024908,0.043053,0.052824,0.021912,0.045627,0.061039,0.151278,0.052267,0.094692,0.141364
300.000000,0.113782,0.088524,0.019465,0.126677,0.054307,0.097957,0.029746,0.041885,0.041244,0.031371,0.043540,0.069284,0.154788,0.062719,0.104644,0.155568
310.000000,0.107405,0.078222,0.024902,0.149526,0.052315,0.102448,0.047242,0.038243,0.054627,0.046292,0.048170,0.073597,0.161830,0.068572,0.127020,0.177523
320.000000,0.113395,0.095522,0.029980,0.145934,0.062828,0.105694,0.056808,0.031743,0.059155,0.065703,0.047770,0.080001,0.175199,0.073342,0.142693,0.192586
330.000000,0.125127,0.094332,0.037709,0.121233,0.073047,0.106607,0.060853,0.041685,0.085250,0.070850,0.052228,0.072203,0.163779,0.061431,0.170420,0.203410
340.000000,0.127087,0.104758,0.041476,0.106761,0.083563,0.106289,0.062192,0.058191,0.110885,0.090766,0.052949,0.078066,0.139089,0.062346,0.198210,0.223000
350.000000,0.128600,0.107344,0.040088,0.139336,0.094320,0.113096,0.050474,0.070361,0.126621,0.093440,0.053129,0.083358,0.112600,0.064618,0.231837,0.223357
360.000000,0.122057,0.117703,0.046781,0.388008,0.086726,0.160766,0.060315,0.094902,0.165521,0.154108,0.067049,0.155148,0.191116,0.075797,0.289112,0.268184
370.000000,0.121432,0.115842,0.060252,0.646520,0.072612,0.216446,0.088766,0.105634,0.197967,0.195319,0.085393,0.206476,0.280013,0.077485,0.332904,0.306125
380.000000,0.119907,0.114875,0.071885,0.909150,0.066632,0.259994,0.131894,0.143503,0.242129,0.239962,0.096667,0.249922,0.375140,0.066402,0.347549,0.368835
390.000000,0.136141,0.122586,0.076699,0.920056,0.060702,0.267326,0.150951,0.132741,0.255189,0.239212,0.105427,0.241280,0.372583,0.082384,0.360664,0.373563
400.000000,0.144337,0.133038,0.074681,0.926014,0.070411,0.269045,0.142636,0.150248,0.250805,0.238007,0.103248,0.241399,0.382172,0.080458,0.386825,0.380223
410.000000,0.145462,0.141458,0.082089,0.918361,0.070577,0.271985,0.136428,0.150168,0.263212,0.244207,0.105608,0.261596,0.380309,0.095126,0.418780,0.381840
420.000000,0.137270,0.146182,0.084578,0.947976,0.086227,0.278307,0.137888,0.174468,0.274112,0.266282,0.104909,0.274710,0.392252,0.088678,0.420136,0.383546
430.000000,0.139713,0.147876,0.092537,0.976286,0.094795,0.286694,0.140847,0.182591,0.288642,0.288259,0.115147,0.299417,0.394082,0.091232,0.421843,0.381435
440.000000,0.144419,0.150369,0.090746,0.974489,0.107573,0.297261,0.126720,0.183899,0.288586,0.314880,0.124172,0.307257,0.396993,0.098603,0.436633,0.384532
450.000000,0.154133,0.148063,0.088526,0.959280,0.111018,0.293708,0.118611,0.173852,0.281903,0.320596,0.139387,0.323150,0.392103,0.103579,0.450916,0.403915
460.000000,0.153117,0.148214,0.094743,0.951663,0.127672,0.295800,0.133921,0.185508,0.291010,0.304363,0.150422,0.333908,0.389302,0.111661,0.474929,0.410854
