?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.006592,0.013484,0.004761,0.005722,0.013830,-0.003386,0.001202,0.016673,0.005638,0.001414,0.025586,0.002595,0.009002,0.027058,0.011255,0.026251
20.000000,0.028016,0.028762,0.044285,0.038939,0.026109,0.001443,0.003236,0.023335,0.028971,0.018618,0.034029,0.019877,0.019438,0.035755,0.034045,0.046448
30.000000,0.025013,0.030497,0.033908,0.052871,0.035208,-0.004166,-0.000623,0.036064,0.021503,0.026249,0.044381,0.008136,0.009864,0.045438,0.028929,0.042976
40.000000,0.065371,0.022631,0.029583,0.050116,0.026410,0.000112,-0.001659,0.027027,0.029207,0.030210,0.033107,0.004786,0.015711,0.027038,0.033714,0.022490
50.000000,0.104979,0.021447,0.013960,0.044384,0.030992,-0.011107,-0.005825,0.034764,0.033772,0.031321,0.046067,0.001604,0.025998,0.025026,0.025908,0.015654
60.000000,0.134940,0.031513,0.021748,0.028068,0.031885,-0.017286,-0.005886,0.037267,0.045124,0.020598,0.051644,0.010611,0.053738,0.028235,0.034987,0.018188
70.000000,0.151823,0.032683,0.025657,0.030696,0.023274,-0.013896,-0.002095,0.033415,0.038146,0.013027,0.053484,0.015878,0.069377,0.028895,0.032776,0.015044
80.000000,0.168484,0.024592,0.012826,0.031163,0.003116,0.005990,0.010482,0.034926,0.033861,0.012174,0.064186,0.017419,0.075807,0.029623,0.038218,0.017617
90.000000,0.194983,0.011857,0.008569,0.025169,-0.024306,0.028815,0.015556,0.031496,0.026220,0.023983,0.076351,0.017102,0.062916,0.023984,0.037178,0.018138
100.000000,0.200173,0.013849,0.018070,0.038775,-0.015922,0.015182,-0.000249,0.045736,0.037540,0.027072,0.086996,0.027688,0.071159,0.021068,0.039451,0.024908
110.000000,0.195675,0.018992,0.024999,0.038520,-0.007666,0.013322,-0.007061,0.043363,0.038528,0.026384,0.079923,0.041580,0.069254,0.022411,0.065439,0.020017
120.000000,0.226579,0.023289,0.042015,0.039099,0.004959,-0.004052,-0.016362,0.047791,0.050420,0.014003,0.082976,0.048242,0.100654,0.018950,0.079158,0.017897
130.000000,0.247268,0.015467,0.042243,0.046934,-0.011021,0.020757,0.003763,0.044186,0.046027,0.013270,0.095610,0.044198,0.083420,0.030436,0.079340,0.016925
140.000000,0.258468,0.009448,0.047796,0.052560,-0.011823,0.021428,0.004763,0.049812,0.060061,0.007143,0.118506,0.043166,0.111145,0.033445,0.061855,0.019309
150.000000,0.255327,0.006734,0.044314,0.063967,-0.006640,0.023281,0.002327,0.054424,0.056748,0.013357,0.129365,0.049248,0.101449,0.040000,0.049713,0.018881
160.000000,0.262556,0.008321,0.048663,0.091254,0.003518,0.008820,-0.011555,0.059842,0.078425,0.020024,0.133555,0.055317,0.112168,0.037806,0.052250,0.017575
170.000000,0.292739,0.017825,0.056678,0.134667,0.007060,0.000518,-0.014297,0.068094,0.079316,0.028282,0.136131,0.071629,0.117177,0.033557,0.063827,0.029979
180.000000,0.312425,0.013208,0.056619,0.176543,-0.007317,0.001708,-0.015999,0.066640,0.087661,0.021754,0.146919,0.062524,0.114090,0.036199,0.060931,0.035673
190.000000,0.329299,0.022314,0.062258,0.176569,0.001916,-0.009414,-0.023106,0.085380,0.077124,0.021484,0.150256,0.057417,0.114413,0.030834,0.059941,0.044735
