?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],B1.eps1 [%]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.013702,0.014486,0.009247,0.010934,-0.000585,0.014780,0.024015,0.001300,0.025984,0.084037,0.006256,0.010817,-0.115733,0.002289,0.010824,-0.041208,0.002185
20.000000,0.022724,0.030412,0.020250,0.043737,0.006400,0.044709,0.072998,0.029717,0.087219,0.180391,0.029456,0.025397,-0.044964,0.014327,0.027512,0.022757,0.024990
30.000000,0.049096,0.028988,0.016185,0.079035,0.023865,0.049088,0.117980,0.050715,0.114980,0.264257,0.028232,0.025219,-0.045219,0.000240,0.039484,-0.071589,0.030287
40.000000,0.052640,0.020379,0.013433,0.104651,0.031703,0.048919,0.139117,0.068430,0.127783,0.285854,0.036458,0.025446,-0.031110,-0.004037,0.039129,-0.071107,0.034607
50.000000,0.060079,0.021333,0.028081,0.104879,0.043483,0.031833,0.098861,0.078807,0.115065,0.308207,0.046474,0.038997,0.215484,0.000071,0.039940,-0.034662,0.038963
60.000000,0.062908,0.016294,0.028174,0.094245,0.031508,0.040185,0.068594,0.069298,0.121860,0.307059,0.048865,0.045845,-0.088159,0.002142,0.037212,0.056747,0.038576
70.000000,0.089766,0.073238,0.186397,0.102632,0.056546,0.074513,0.062422,0.071419,0.111482,0.325393,0.047219,0.042382,0.291343,0.000730,0.039872,0.116093,0.032907
80.000000,0.094016,0.116611,0.345669,0.109681,0.064201,0.114897,0.107879,0.056093,0.110257,0.257416,0.037788,0.026545,0.069299,-0.008662,0.048173,0.126948,0.027068
90.000000,0.089706,0.176169,0.500731,0.128543,0.080339,0.142790,0.135321,0.049857,0.096376,0.163665,0.040059,0.011963,0.119062,-0.007242,0.052648,0.102868,0.021884
100.000000,0.064961,0.158919,0.494201,0.128078,0.075748,0.140134,0.120617,0.047725,0.110104,0.059948,0.039241,0.004572,-0.282570,-0.003191,0.047177,0.100835,0.036052
110.000000,0.077916,0.151926,0.489395,0.122531,0.085224,0.145409,0.106072,0.049654,0.101350,0.023015,0.034697,0.017760,-0.290197,0.007336,0.047365,0.082500,0.046600
120.000000,0.071902,0.135646,0.474122,0.129970,0.078712,0.147956,0.121596,0.042508,0.103440,0.058715,0.030218,0.013687,-0.341418,0.012434,0.046981,0.075447,0.041426
130.000000,0.082620,0.148684,0.474390,0.121194,0.080005,0.152251,0.139369,0.035522,0.090026,0.060401,0.026390,0.027202,-0.370000,0.013930,0.061264,0.109526,0.029397
140.000000,0.070688,0.148067,0.476836,0.138026,0.082006,0.145745,0.158853,0.048346,0.101118,0.087076,0.029203,0.016517,-0.373088,0.005599,0.057616,0.106323,0.003433
150.000000,0.085433,0.140521,0.489385,0.114841,0.078616,0.146532,0.161174,0.055895,0.098598,0.145550,0.031129,0.025184,-0.376415,0.005975,0.065896,0.134264,-0.000187
160.000000,0.103926,0.127327,0.478616,0.120808,0.084893,0.149568,0.197053,0.059055,0.099887,0.165702,0.025373,0.009831,-0.331742,0.006870,0.085197,0.112170,0.005406
170.000000,0.117691,0.131879,0.478494,0.124644,0.069602,0.155908,0.214337,0.046364,0.095562,0.222778,0.029245,0.014285,-0.315005,0.007572,0.084161,0.117812,0.008102
180.000000,0.111812,0.165118,0.468195,0.141235,0.087243,0.158038,0.196879,0.048536,0.095638,0.154462,0.029436,0.010419,-0.314772,0.007715,0.089750,0.098340,0.017471
190.000000,0.097655,0.168278,0.472277,0.163673,0.073704,0.161863,0.174791,0.053653,0.099475,0.206942,0.046307,0.025523,-0.371375,0.010009,0.092974,0.102650,0.009000
200.000000,0.089315,0.160064,0.457543,0.146422,0.090925,0.153819,0.137400,0.065317,0.099109,0.216916,0.046153,0.032817,-0.389686,0.013043,0.111031,0.112747,0.003229
210.000000,0.079551,0.145661,0.464366,0.132236,0.070153,0.170360,0.192590,0.096451,0.092443,0.230348,0.102497,0.041937,-0.340680,0.073401,0.110188,0.175450,-0.027968
220.000000,0.091569,0.155323,0.468840,0.159045,0.073729,0.180552,0.257458,0.120572,0.075717,0.217950,0.148387,0.045176,-0.190793,0.131427,0.095314,0.224178,-0.045938
230.000000,0.127381,0.163836,0.474169,0.196747,0.064183,0.208619,0.332272,0.152445,0.076989,0.306610,0.201820,0.041434,-0.072835,0.184884,0.097804,0.250740,-0.061237
240.000000,0.149932,0.175378,0.465016,0.252507,0.071094,0.198094,0.361405,0.157896,0.085228,0.410462,0.206682,0.051783,0.031807,0.173678,0.098633,0.234033,-0.059015
250.000000,0.145115,0.178108,0.471784,0.248577,0.059904,0.196384,0.358801,0.161651,0.094701,0.370540,0.210474,0.056581,-0.004041,0.165660,0.091833,0.271004,-0.059939
260.000000,0.127870,0.196068,0.477964,0.277060,0.051692,0.195661,0.371974,0.148743,0.081295,0.212961,0.211363,0.058039,-0.051662,0.170448,0.091051,0.405027,-0.052701
