?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.015756,0.010793,0.005755,0.037624,0.021227,0.009119,0.340569,0.017101,0.020293,0.122795,0.010670,0.006599,-0.009639,0.015954,0.004340,0.025354
20.000000,0.047111,0.032038,0.033718,0.077791,0.039437,0.029927,0.755534,0.035507,0.035904,0.186957,0.024449,0.028324,0.003493,0.049977,0.036097,0.038944
30.000000,0.043136,0.038651,0.030101,0.092059,0.053550,0.032517,0.753356,0.040009,0.039809,0.186451,0.032930,0.025940,-0.020804,0.061113,0.032937,0.054101
40.000000,0.037111,0.043508,0.047347,0.092740,0.046859,0.035570,0.635369,0.046183,0.037290,0.146056,0.052083,0.011854,0.030502,0.072545,0.036343,0.042308
50.000000,0.038174,0.045394,0.048671,0.090356,0.042642,0.044137,0.655480,0.048775,0.054446,0.116359,0.077499,0.011341,0.071201,0.078189,0.014857,0.053365
60.000000,0.042326,0.046010,0.045874,0.075551,0.029694,0.046384,0.679609,0.059938,0.066342,0.122824,0.085183,0.022571,0.109366,0.072283,0.030781,0.046019
70.000000,0.051631,0.054756,0.030877,0.095591,0.025731,0.061481,0.680959,0.042318,0.076709,0.059549,0.066607,0.046673,0.103964,0.071023,0.022423,0.058670
80.000000,0.046165,0.051175,0.028134,0.114997,0.034006,0.062236,0.284380,0.035908,0.066202,0.071285,0.053192,0.047563,0.095039,0.080554,0.021407,0.076021
90.000000,0.038824,0.072345,0.043968,0.125654,0.050504,0.067076,0.265410,0.021392,0.053951,0.082948,0.049808,0.038607,0.101996,0.102117,0.001271,0.074905
100.000000,0.032009,0.065538,0.052404,0.089678,0.062674,0.061627,-0.121622,0.038183,0.040427,0.115576,0.060544,0.037108,0.085399,0.120785,0.003859,0.064181
110.000000,0.029952,0.074472,0.055321,0.101320,0.068624,0.056989,-0.108432,0.050942,0.053093,0.106341,0.071462,0.055868,0.111448,0.128285,-0.012055,0.054930
120.000000,0.043738,0.057901,0.043302,0.105239,0.051994,0.063841,-0.128201,0.050918,0.063557,0.133146,0.076132,0.049916,0.114475,0.117040,-0.002775,0.067137
130.000000,0.046821,0.060357,0.046070,0.121001,0.043245,0.055274,0.277077,0.037608,0.066194,0.214259,0.080140,0.056242,0.139528,0.103775,0.000629,0.077647
140.000000,0.054531,0.056735,0.069517,0.218224,0.023826,0.058624,0.613370,0.025261,0.061317,0.278336,0.072152,0.044631,0.174511,0.094180,0.016438,0.074546
150.000000,0.049218,0.064626,0.097270,0.330549,0.041153,0.088787,0.633309,0.036483,0.056107,0.318213,0.074957,0.071385,0.280959,0.103573,0.014585,0.086320
160.000000,0.053954,0.080672,0.126014,0.436046,0.070152,0.116294,0.579006,0.064826,0.059643,0.279762,0.080691,0.093330,0.352102,0.104281,0.022442,0.094499
170.000000,0.051347,0.099745,0.131500,0.438110,0.090238,0.159027,0.597632,0.083573,0.068836,0.288896,0.086642,0.103393,0.369039,0.102508,0.028114,0.102545
180.000000,0.067136,0.093639,0.131264,0.442755,0.068931,0.144153,0.558220,0.080901,0.085321,0.272338,0.097739,0.103374,0.330037,0.096688,0.039116,0.104208
190.000000,0.073440,0.079110,0.135381,0.436322,0.036860,0.126186,0.537998,0.065243,0.084139,0.242591,0.117873,0.099570,0.309293,0.112691,0.040561,0.113123
200.000000,0.081238,0.061361,0.125240,0.301999,0.029644,0.094657,0.514740,0.064178,0.070517,0.162575,0.118430,0.102535,0.318162,0.101428,0.049941,0.105369
210.000000,0.073649,0.075593,0.130438,0.290340,0.053729,0.076873,0.564102,0.064981,0.063386,0.137610,0.104160,0.097790,0.356645,0.105963,0.052470,0.112515
220.000000,0.082230,0.091169,0.137913,0.264383,0.079658,0.096442,0.599692,0.077731,0.064095,0.150442,0.077224,0.084004,0.387536,0.086111,0.052122,0.118227
230.000000,0.091595,0.102713,0.154740,0.403041,0.089407,0.105653,0.593449,0.088955,0.082269,0.216251,0.077585,0.072672,0.388761,0.098111,0.050736,0.125763
240.000000,0.097042,0.103528,0.147930,0.475452,0.089069,0.123389,0.547377,0.102479,0.077797,0.187733,0.098095,0.092478,0.378077,0.102959,0.044499,0.122793
250.000000,0.083139,0.120993,0.137360,0.511762,0.097026,0.107025,0.485456,0.106526,0.089582,0.129175,0.114093,0.105919,0.378947,0.111327,0.054071,0.126279
260.000000,0.089420,0.136897,0.126705,0.392898,0.110279,0.125914,0.144982,0.115970,0.083526,0.113206,0.123898,0.117115,0.378889,0.103193,0.054353,0.123865
270.000000,0.104055,0.148978,0.148153,0.332380,0.127501,0.122215,0.144320,0.136597,0.088230,0.150238,0.137244,0.121986,0.401521,0.114525,0.068947,0.132643
280.000000,0.134170,0.139753,0.143397,0.334303,0.130884,0.134836,0.169619,0.147440,0.090422,0.153067,0.139650,0.132412,0.423523,0.113910,0.069900,0.135800
