?? [s],? 1.eps1 [%],? 2.eps1 [%],? 3.eps1 [%],? 4.eps1 [%]
0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.015602,0.019487,0.015351,0.015721
20.000000,0.036414,0.033788,0.017450,0.033780
30.000000,0.053587,0.021401,0.027154,0.035790
40.000000,0.053952,0.024338,0.020747,0.031395
50.000000,0.058118,0.029686,0.033001,0.039349
60.000000,0.065419,0.041284,0.043547,0.035795
70.000000,0.070172,0.026189,0.036937,0.037821
80.000000,0.066858,0.025064,0.035029,0.034921
90.000000,0.053814,0.024624,0.003313,0.054286
100.000000,0.055764,0.014548,0.016653,0.066017
110.000000,0.050532,0.009041,0.025615,0.062537
120.000000,0.070842,-0.004978,0.055887,0.058650
130.000000,0.083520,0.000013,0.062847,0.059951
140.000000,0.091545,-0.010832,0.089029,0.071015
150.000000,0.095319,-0.002852,0.072546,0.078188
160.000000,0.102740,-0.002966,0.083703,0.070845
170.000000,0.113995,0.030929,0.045660,0.092425
180.000000,0.116466,0.045752,0.046818,0.104280
190.000000,0.122052,0.068750,0.041331,0.117224
200.000000,0.126805,0.067888,0.064022,0.099626
210.000000,0.124828,0.087823,0.079806,0.082439
220.000000,0.115195,0.082558,0.066594,0.085606
230.000000,0.122972,0.071878,0.068113,0.090070
240.000000,0.142319,0.059474,0.071767,0.107402
250.000000,0.148842,0.068556,0.075568,0.113530
260.000000,0.157557,0.099802,0.069482,0.114749
270.000000,0.157444,0.090843,0.067718,0.099857
280.000000,0.160907,0.084574,0.070209,0.092251
290.000000,0.158147,0.083989,0.078724,0.096962
300.000000,0.148397,0.113623,0.069021,0.114910
310.000000,0.154273,0.136113,0.083849,0.127152
320.000000,0.159023,0.124418,0.088578,0.139487
330.000000,0.173278,0.104036,0.109433,0.147076
340.000000,0.181017,0.101772,0.106522,0.148249
350.000000,0.188774,0.145621,0.124603,0.152366
360.000000,0.197641,0.182960,0.120812,0.163837
370.000000,0.209297,0.223701,0.138845,0.198500
380.000000,0.216593,0.228545,0.154266,0.218339
390.000000,0.233059,0.243050,0.193753,0.229177
400.000000,0.257783,0.239575,0.209061,0.241911
410.000000,0.283035,0.250820,0.203948,0.264421
420.000000,0.297783,0.273142,0.224356,0.294822
430.000000,0.313179,0.309337,0.249545,0.306208
440.000000,0.337048,0.326974,0.284395,0.327349
450.000000,0.359909,0.353775,0.288540,0.340827
460.000000,0.375825,0.363022,0.313195,0.356637
470.000000,0.385864,0.393864,0.312898,0.368271
471.000014,0.391446,0.392275,0.318963,0.374526
472.000014,0.389124,0.394806,0.325641,0.372476
473.000014,0.391033,0.389545,0.336628,0.366363
474.000014,0.399612,0.398312,0.355209,0.378761
475.000014,0.406165,0.391905,0.356211,0.394709
476.000014,0.427528,0.390420,0.379604,0.402822
477.000014,0.429137,0.378976,0.373662,0.398971
478.000014,0.428698,0.407245,0.347793,0.390846
479.000014,0.409886,0.400408,0.322683,0.402536
480.000014,0.416823,0.424278,0.323747,0.414285
481.000014,0.412006,0.398271,0.352322,0.407453
482.000014,0.412107,0.398620,0.379713,0.400650
483.000014,0.416552,0.401181,0.388084,0.389525
484.000014,0.435265,0.420445,0.386497,0.399944
485.000014,0.450152,0.427012,0.387310,0.389952
486.000014,0.448170,0.412527,0.396079,0.397384
487.000014,0.448871,0.410895,0.403803,0.401757
488.000014,0.455037,0.418083,0.405869,0.421187
489.000014,0.454770,0.429726,0.408397,0.425069
490.000014,0.462403,0.422488,0.392461,0.426894
491.000014,0.459431,0.413176,0.405923,0.426460
492.000014,0.460393,0.431364,0.381906,0.431416
